total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,"NAD Caba",1737,1980-11-30,29.893150684931506,M,SRB,A,131.25,+105 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,150,-155,158,158,190,-200,NA,190,348
1,NA,NA,COLEIRO Kimberly,8365,1994-09-05,16.12876712328767,W,MLT,A,83.72,+75 kg Women,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,32,36,38,38,40,46,50,50,88
1,NA,NA,LUMBRERAS FERNANDEZ David,8001,1994-03-03,16.638356164383563,M,ESP,A,102.31,105 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,115,120,-126,120,140,-145,145,145,265
2,NA,NA,LITVINOV David,7601,1993-09-23,17.07945205479452,M,ISR,B,98.68,105 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,115,-120,-120,115,-125,125,-130,125,240
1,NA,NA,KARAGOZ Nurdan,3857,1987-01-25,23.73972602739726,W,TUR,A,47,48 kg Women,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,-65,65,70,70,85,90,95,95,165
NA,NA,NA,GATT Nicole,10091,1997-01-11,13.778082191780822,W,MLT,A,43.88,48 kg Women,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,-35,-35,-35,NA,30,35,-37,35,NA
1,NA,NA,ALEMANNO Sara,3716,1986-09-30,24.06027397260274,W,ITA,A,56.78,58 kg Women,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,73,-76,-76,73,90,94,-98,94,167
1,NA,NA,ASIK Mustafa,4720,1989-01-05,21.794520547945204,M,TUR,B,59.33,62 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,85,-90,90,90,110,115,118,118,208
1,NA,NA,MARTINEZ SANTIAGO Irene,7584,1993-09-14,17.104109589041094,W,ESP,A,62.08,63 kg Women,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,75,78,-80,78,82,-87,-87,82,160
2,NA,NA,GRECH Clint,3941,1987-04-11,23.53150684931507,M,MLT,A,68.22,69 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,-86,86,-90,86,107,-112,-112,107,193
1,NA,NA,SCAGLIA Rosario,8286,1994-07-27,16.23835616438356,M,ITA,B,68.78,69 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,-95,-95,95,95,120,125,-130,125,220
3,NA,NA,CAMILLERI Emmanuel,190,1970-05-13,40.443835616438356,M,MLT,B,62.24,69 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,70,-73,73,73,83,87,90,90,163
4,NA,NA,AGIUS Ryan,5296,1990-03-04,20.635616438356166,M,MLT,B,64.84,69 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,69,72,-75,72,85,90,-95,90,162
5,NA,NA,KARATSAOUSIDIS Giannis,10490,1997-07-02,13.306849315068494,M,CYP,B,64.7,69 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,43,48,-50,48,53,58,60,60,108
1,NA,NA,PAVLIC Petra,6370,1992-02-03,18.715068493150685,W,SLO,A,67.54,69 kg Women,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,45,-48,-48,45,55,60,64,64,109
1,NA,NA,KOFMAN Svetlana,4842,1989-04-04,21.55068493150685,W,ISR,A,71.01,75 kg Women,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,60,63,-66,63,75,-80,-80,75,138
1,NA,NA,AMANATIDIS Alexandros,3972,1987-05-12,23.446575342465753,M,CYP,A,76.38,77 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,-125,-125,125,125,-153,153,156,156,281
2,NA,NA,ORESEK Jernej,5580,1990-09-11,20.112328767123287,M,SLO,A,76.96,77 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,102,110,-113,110,120,128,-130,128,238
3,NA,NA,PULIS Rodmar,8423,1994-09-29,16.063013698630137,M,MLT,B,76.1,77 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,72,76,-80,76,93,98,101,101,177
1,NA,NA,DAVIDOV Yuri,4268,1988-01-13,22.77260273972603,M,ISR,A,84.69,85 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,115,123,-130,123,135,145,-152,145,268
2,NA,NA,ALACAM Faruk,4386,1988-04-26,22.49041095890411,M,TUR,A,79.33,85 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,115,-120,-120,115,140,145,150,150,265
NA,NA,NA,CHEBIKIN Volodimir,3564,1986-04-29,24.482191780821918,M,ISR,A,81.21,85 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,130,-135,-135,130,-160,-160,-160,NA,NA
1,NA,NA,MANNELLA Clemente,4470,1988-07-11,22.28219178082192,M,ITA,A,86.85,94 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,125,130,-135,130,155,160,-165,160,290
2,NA,NA,SEZGIN Ferdi,7977,1994-02-18,16.673972602739727,M,TUR,A,86.83,94 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,120,125,128,128,150,157,161,161,289
3,NA,NA,ELWADDANI Abdulmoneim,6084,1991-09-06,19.126027397260273,M,LBA,A,89.05,94 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,125,-130,130,130,140,150,-155,150,280
4,NA,NA,GASPAROTTO Mauro,7490,1993-07-27,17.23835616438356,M,ITA,A,93.4,94 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,115,120,-126,120,148,156,160,160,280
5,NA,NA,COLEIRO Noel,489,1974-01-02,36.8027397260274,M,MLT,A,86,94 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,-95,100,105,105,125,130,-138,130,235
6,NA,NA,DOMINKO Stefan,755,1976-03-24,34.58082191780822,M,SLO,B,85.9,94 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,90,95,100,100,117,-123,-123,117,217
7,NA,NA,SALIBA Christian,6801,1992-09-16,18.0986301369863,M,MLT,B,85.59,94 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,86,91,-96,91,115,121,-125,121,212
8,NA,NA,BORG Stephen,791,1976-07-02,34.30684931506849,M,MLT,B,89.59,94 kg Men,0,1,120,V. MEDITERRANEAN CUP,2010-10-22,90,-95,95,95,115,-120,-120,115,210
