total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,DETENAMO Itte,3400,1986-09-22,24.2,M,NRU,A,153.18,+105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,-175,-175,175,175,210,220,228,228,403
2,2,2,PERA Samuel Raphael,10617,1989-03-11,21.8,M,COK,A,127.72,+105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,140,150,-160,150,170,180,190,190,340
3,5,3,SANDEEP Kumar,12102,1980-01-01,30.9,M,IND,A,118.86,+105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,132,137,-140,137,170,185,-190,185,322
4,4,4,ABD RASHID Abdul Azim Najmi,29,1986-08-07,24.3,M,MAS,A,136.9,+105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,140,-150,-150,140,175,182,-185,182,322
5,3,5,NEMANI Daniel,9710,1981-04-10,29.7,M,NIU,A,137.32,+105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,135,-140,142,142,166,171,-176,171,313
6,6,6,VOMPU Prabhakar,14310,1991-12-29,19,M,IND,A,108.94,+105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,122,127,130,130,156,160,170,170,300
7,7,7,POILAGI Michel,10866,1995-04-25,15.6,M,NCL,A,116.28,+105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,60,67,-75,67,75,80,85,85,152
1,1,1,PETERS Luisa Fatiaki Taitapu,10686,1993-06-27,17.5,W,COK,A,89.68,+75 kg Women,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,63,66,-72,66,84,88,90,90,156
1,1,1,LIU Zheng,7912,1991-08-06,19.3,M,CHN,A,104.18,105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,145,150,-155,150,175,180,-185,180,330
2,2,2,"NARENDER B.",9613,1984-08-20,26.3,M,IND,A,104.08,105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,-130,130,-133,130,156,160,-170,160,290
3,4,3,ZULKIFLI Zafril,15187,1988-10-04,22.2,M,MAS,A,104.92,105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,125,-131,-131,125,-155,155,-160,155,280
4,3,4,SHAW Gordon,12510,1994-06-23,16.5,M,RSA,A,100.76,105 kg Men,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,120,125,-130,125,-140,140,-148,140,265
1,1,2,AZIZAH Binti Fadzil,1304,1991-01-14,19.9,W,MAS,A,47.98,48 kg Women,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,65,-68,68,68,83,-85,-86,83,151
2,2,1,KHUMUKCHAM Sanjita Chanu,6773,1994-01-02,16.9,W,IND,A,47.62,48 kg Women,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,-62,62,65,65,-83,83,-87,83,148
3,3,3,SHABIRA Molla,12447,1990-01-01,20.9,W,BAN,A,47.6,48 kg Women,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,55,62,-66,62,65,71,-76,71,133
1,1,1,ZHANG Junjun,15057,1990-07-15,20.4,W,CHN,A,52.82,53 kg Women,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,-80,80,85,85,110,115,117,117,202
2,2,2,FEBRIANTI Citra,4080,1988-02-22,22.8,W,INA,A,52.2,53 kg Women,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,84,-87,-87,84,105,110,-111,110,194
3,3,3,LAOSIRIKUL Pensiri,7487,1984-01-17,26.9,W,THA,A,49.08,53 kg Women,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,75,81,-85,81,100,105,-110,105,186
4,4,4,MATSA Santoshi,8643,1994-03-10,16.8,W,IND,A,52.52,53 kg Women,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,65,67,71,71,85,90,92,92,163
5,6,5,KRISANI Pramila,7210,1996-01-09,14.9,W,IND,A,52.78,53 kg Women,0,1,124,IWF CONTINENTAL CLUBS GRAND PRIX,2010-12-11,62,65,67,67,-83,83,87,87,154
