total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,KOSHNICHARSKI Kiril,NA,1984-07-28,NA,NA,A,+105 kg Men,0,1,138,175,180,-182.5,180,210,215,NA,215,395
2,2,4,PAPAGERIDIS Dimitrios,NA,1986-04-11,NA,NA,A,+105 kg Men,0,1,138,170,175,177.5,177.5,200,205,207.5,207.5,385
3,5,3,KLIANYE Aliaksandr,NA,1984-02-19,NA,NA,A,+105 kg Men,0,1,138,155,162.5,167.5,167.5,200,210,-212.5,210,377.5
4,7,2,SONG Young-hoon,NA,1984-08-19,NA,NA,A,+105 kg Men,0,1,138,155,160,165,165,-205,205,212.5,212.5,377.5
5,4,5,KADANETS David,NA,1986-01-01,NA,NA,A,+105 kg Men,0,1,138,162.5,167.5,170,170,202.5,-207.5,-212.5,202.5,372.5
6,6,6,DIMITROV Tzevetan,NA,1985-05-17,NA,NA,A,+105 kg Men,0,1,138,-160,160,167.5,167.5,200,-207.5,-207.5,200,367.5
7,9,7,JONIKAITIS Imantas,NA,1986-03-06,NA,NA,A,+105 kg Men,0,1,138,140,145,-150,145,-185,185,-190,185,330
8,10,8,KUCERA Kamil,NA,1985-03-19,NA,NA,A,+105 kg Men,0,1,138,135,140,145,145,175,180,185,185,330
9,11,9,LENDZIOSZEK Mateusz,NA,1986-08-14,NA,NA,A,+105 kg Men,0,1,138,-145,145,-152.5,145,-185,-185,185,185,330
10,8,10,ELGHOZLANY Ibrahim,NA,1984-04-15,NA,NA,A,+105 kg Men,0,1,138,140,145,-147.5,145,170,175,180,180,325
11,12,11,HAEKAL Khalid,NA,1986-08-06,NA,NA,A,+105 kg Men,0,1,138,130,-135,135,135,165,172.5,-175,172.5,307.5
NA,3,NA,SHARIFI SEDEH Rashid,NA,1984-09-21,NA,NA,A,+105 kg Men,0,1,138,-172.5,-172.5,172.5,172.5,-207.5,-207.5,-207.5,NA,NA
1,1,1,LOGINOVA Olga,NA,1985-12-02,NA,NA,A,+75 kg Women,0,1,138,100,-105,105,105,125,130,135,135,240
2,2,2,PARK Hye-Hyun,NA,1986-09-23,NA,NA,A,+75 kg Women,0,1,138,90,97.5,100,100,115,122.5,-132.5,122.5,222.5
3,3,3,EL SAYED Sally,NA,1985-12-01,NA,NA,A,+75 kg Women,0,1,138,95,-100,-100,95,120,-122.5,-122.5,120,215
4,4,6,UFNAL Magdalena,NA,1984-11-10,NA,NA,A,+75 kg Women,0,1,138,90,95,-97.5,95,110,115,-122.5,115,210
5,7,4,WILLIAMS Natalie,NA,1986-04-23,NA,NA,A,+75 kg Women,0,1,138,90,-95,-95,90,112.5,117.5,-125,117.5,207.5
6,6,5,SILVA HEREDIA Tania Irasema,NA,1986-10-25,NA,NA,A,+75 kg Women,0,1,138,90,-95,-95,90,110,115,-117.5,115,205
7,5,8,LEE Jae-In,NA,1985-02-16,NA,NA,A,+75 kg Women,0,1,138,-90,90,-95,90,-110,110,-112.5,110,200
8,10,7,BUSSARD Jenna,NA,1986-06-18,NA,NA,A,+75 kg Women,0,1,138,80,85,-90,85,105,112.5,-117.5,112.5,197.5
9,8,11,BOUTROS Jamila,NA,1984-01-26,NA,NA,A,+75 kg Women,0,1,138,80,85,87.5,87.5,95,-100,100,100,187.5
10,9,10,GRABOVETSKAYA Mariya,NA,1987-04-10,NA,NA,A,+75 kg Women,0,1,138,75,80,85,85,95,100,-105,100,185
11,13,9,LAWES Caitlin,NA,1984-06-29,NA,NA,A,+75 kg Women,0,1,138,75,80,-82.5,80,102.5,-107.5,-107.5,102.5,182.5
12,11,12,HAJAYEVA Inna,NA,1986-11-14,NA,NA,A,+75 kg Women,0,1,138,70,75,80,80,90,95,-100,95,175
13,12,13,SIDIROPOULOU Eleni,NA,1984-05-14,NA,NA,A,+75 kg Women,0,1,138,80,-85,-85,80,-90,-90,90,90,170
1,1,1,LUKANIN Igor,NA,1986-05-29,NA,NA,A,105 kg Men,0,1,138,165,170,175,175,200,205,210,210,385
2,7,2,JUGHELI Ahed,NA,1982-10-10,NA,NA,A,105 kg Men,0,1,138,-160,-160,160,160,202.5,-207.5,-207.5,202.5,362.5
3,5,3,VATAI Viktor,NA,1984-09-05,NA,NA,A,105 kg Men,0,1,138,160,-165,-165,160,200,-205,-205,200,360
4,6,4,ZHANG Zhicheng,NA,1985-01-17,NA,NA,A,105 kg Men,0,1,138,155,160,-165,160,-200,200,-207.5,200,360
5,4,6,GOHARIZADEHFARD Gavad,NA,1984-03-05,NA,NA,A,105 kg Men,0,1,138,155,160,165,165,-195,195,-205,195,360
6,8,5,THOMAS Christian,NA,1985-08-27,NA,NA,A,105 kg Men,0,1,138,147.5,152.5,157.5,157.5,190,197.5,-202.5,197.5,355
7,9,7,ZENKEVICIUS Robertas,NA,1985-05-02,NA,NA,A,105 kg Men,0,1,138,-150,150,155,155,180,187.5,192.5,192.5,347.5
8,10,10,TAKAHASHI Toshiro,NA,1984-01-05,NA,NA,A,105 kg Men,0,1,138,145,150,155,155,180,-185,-185,180,335
9,11,11,KASZUBOWSKI Krzysztof,NA,1985-02-11,NA,NA,A,105 kg Men,0,1,138,140,145,150,150,170,-175,175,175,325
10,15,9,RAMADAN Nehad Moh.,NA,1985-04-04,NA,NA,A,105 kg Men,0,1,138,135,140,-145,140,175,182.5,-185,182.5,322.5
11,13,12,KIENAST Zbyszko,NA,1985-02-13,NA,NA,A,105 kg Men,0,1,138,135,140,-145,140,-170,170,175,175,315
12,12,13,GIBBS Cody,NA,1985-04-21,NA,NA,A,105 kg Men,0,1,138,-137.5,137.5,142.5,142.5,-165,165,-170,165,307.5
13,14,14,RIZO GUIZAR Hector Francisco,NA,1984-05-13,NA,NA,A,105 kg Men,0,1,138,135,140,-145,140,160,-165,-165,160,300
NA,2,NA,RYZHANKOU Maksim,NA,1984-02-25,NA,NA,A,105 kg Men,0,1,138,170,175,-177.5,175,-200,NA,NA,NA,NA
NA,3,NA,SHPIHANOVICH Mikita,NA,1984-05-11,NA,NA,A,105 kg Men,0,1,138,165,170,-175,170,-195,-195,-195,NA,NA
NA,NA,8,BAYAM Mustafa,NA,1985-02-23,NA,NA,A,105 kg Men,0,1,138,-162.5,-162.5,-162.5,NA,180,190,-195,190,NA
NA,NA,NA,DAVOODI Mohsen,NA,1985-09-22,NA,NA,A,105 kg Men,1,1,138,162.5,167.5,172.5,NA,200,-205,-205,NA,NA
1,1,1,GAO Wei,NA,1985-04-01,NA,NA,A,48 kg Women,0,1,138,80,85,90,90,105,110,-117,110,200
2,2,3,PAGLIARO Genny Caterina,NA,1988-10-15,NA,NA,A,48 kg Women,0,1,138,72.5,-75,-75,72.5,-87.5,87.5,-90,87.5,160
3,3,4,MOHAMED Sayed Enga,NA,1985-03-06,NA,NA,A,48 kg Women,0,1,138,70,-72.5,72.5,72.5,87.5,-90,-90,87.5,160
4,4,5,BILMEZ Ozlem,NA,1986-06-04,NA,NA,A,48 kg Women,0,1,138,65,70,-72.5,70,85,-87.5,-87.5,85,155
5,5,6,SUMIDA Shoko,NA,1985-04-18,NA,NA,A,48 kg Women,0,1,138,-67.5,67.5,-70,67.5,85,-87.5,-87.5,85,152.5
6,6,7,HU Yu-Ju,NA,1985-12-24,NA,NA,A,48 kg Women,0,1,138,62.5,65,67.5,67.5,77.5,-82.5,82.5,82.5,150
7,7,8,PIPILIARIDOU Maria,NA,1986-09-30,NA,NA,A,48 kg Women,0,1,138,57.5,62.5,-65,62.5,72.5,75,-77.5,75,137.5
8,9,9,MIRANOVICH Iryna,NA,1984-08-05,NA,NA,A,48 kg Women,0,1,138,47.5,-52.5,-52.5,47.5,65,67.5,70,70,117.5
NA,8,NA,KASHKYLINA Lazat,NA,1988-01-23,NA,NA,A,48 kg Women,0,1,138,55,-60,-60,55,-75,-75,-75,NA,NA
NA,NA,2,VALENCIA HERNANDEZ Carolina,NA,1985-02-08,NA,NA,A,48 kg Women,0,1,138,-67.5,-67.5,-70,NA,82.5,87.5,90,90,NA
1,1,1,DENG Jianying,NA,1986-07-19,NA,NA,A,53 kg Women,0,1,138,90,95,-98,95,-117.5,117.5,-125,117.5,212.5
2,2,4,TROTSENKO Nataliya,NA,1984-11-07,NA,NA,A,53 kg Women,0,1,138,-80,80,-82.5,80,95,-100,-100,95,175
3,3,2,KAYA Ozlem,NA,1984-10-15,NA,NA,A,53 kg Women,0,1,138,-70,70,75,75,95,97.5,-100,97.5,172.5
4,9,3,TIRADO Eloisa,NA,1987-01-13,NA,NA,A,53 kg Women,0,1,138,70,-75,-77.5,70,92.5,97.5,-100,97.5,167.5
5,4,6,TUNADAGI Bediha,NA,1985-08-20,NA,NA,A,53 kg Women,0,1,138,70,72.5,75,75,90,-95,-97.5,90,165
6,5,5,CHEREMSHANOVA Svetlana,NA,1985-08-21,NA,NA,A,53 kg Women,0,1,138,67.5,-72.5,72.5,72.5,87.5,90,92.5,92.5,165
6,5,5,CHEREMSHANOVA Svetlana,NA,1985-08-21,NA,NA,A,53 kg Women,0,1,138,67.5,-72.5,72.5,72.5,87.5,90,92.5,92.5,165
7,7,7,NOEL BARDIS Melanie Marie Anna,NA,1986-05-13,NA,NA,A,53 kg Women,0,1,138,67.5,70,-72.5,70,85,87.5,-90,87.5,157.5
8,10,8,ROWINSKA Malwina,NA,1986-11-06,NA,NA,A,53 kg Women,0,1,138,67.5,70,-72.5,70,85,-87.5,87.5,87.5,157.5
9,6,9,TSENG Tzu-Jung,NA,1988-05-17,NA,NA,A,53 kg Women,0,1,138,65,70,-72.5,70,82.5,85,-90,85,155
10,8,10,DAVIS Amber,NA,1986-06-17,NA,NA,A,53 kg Women,0,1,138,67.5,70,-75,70,82.5,85,-87.5,85,155
11,11,15,LECHAT Estelle,NA,1984-08-07,NA,NA,A,53 kg Women,0,1,138,67.5,-70,-70,67.5,82.5,-87.5,-87.5,82.5,150
12,15,11,GILSDORF Emma,NA,1986-07-26,NA,NA,A,53 kg Women,0,1,138,62.5,65,-67.5,65,80,85,-87.5,85,150
13,12,12,KUO Chen-Yu,NA,1986-11-16,NA,NA,A,53 kg Women,0,1,138,60,-65,65,65,77.5,82.5,-90,82.5,147.5
14,13,13,DOZOIS-PREVOST Marilou,NA,1986-05-11,NA,NA,A,53 kg Women,0,1,138,65,-70,-70,65,82.5,-87.5,-87.5,82.5,147.5
15,14,14,HETZYG Malwina,NA,1988-07-23,NA,NA,A,53 kg Women,0,1,138,62.5,65,-67.5,65,80,-82.5,82.5,82.5,147.5
16,16,16,ORENDAIN BECERRA Alejandra Leticia,NA,1987-10-06,NA,NA,A,53 kg Women,0,1,138,-62.5,62.5,65,65,80,82.5,-85,82.5,147.5
17,18,17,YAMASAKI Erika Yuriko Iris,NA,1987-09-02,NA,NA,A,53 kg Women,0,1,138,57.5,-62.5,62.5,62.5,75,80,-82.5,80,142.5
18,20,18,PENUNURI VERDUGO Francia Natalie,NA,1984-09-19,NA,NA,A,53 kg Women,0,1,138,60,-65,-65,60,80,-82.5,-82.5,80,140
19,17,19,DENSMORE Rosemary,NA,1984-05-25,NA,NA,A,53 kg Women,0,1,138,60,-62.5,62.5,62.5,-75,75,-80,75,137.5
20,19,21,VAMVAKIDOU Kyriaki,NA,1987-01-26,NA,NA,A,53 kg Women,0,1,138,62.5,-65,-65,62.5,75,-77.5,NA,75,137.5
21,22,20,ARCHONTIDOU Eirini,NA,1987-01-24,NA,NA,A,53 kg Women,0,1,138,57.5,-60,-60,57.5,70,75,-77.5,75,132.5
22,21,22,ALEMANNO Sara,NA,1986-09-30,NA,NA,A,53 kg Women,0,1,138,57.5,-60,60,60,72.5,-75,-75,72.5,132.5
1,1,1,LI Zhen,NA,1986-01-18,NA,NA,A,56 kg Men,0,1,138,120,130.5,-135,130.5,142.5,-152.5,-152.5,142.5,272.5
2,3,2,BILGIN Erol,NA,1987-02-20,NA,NA,A,56 kg Men,0,1,138,105,110,115,115,-135,135,-137.5,135,250
3,2,3,JI Hun-Min,NA,1984-03-26,NA,NA,A,56 kg Men,0,1,138,112.5,117.5,-120,117.5,132.5,-137.5,-137.5,132.5,250
4,5,4,MARCHAN Olivier,NA,1986-04-18,NA,NA,A,56 kg Men,0,1,138,100,102.5,-105,102.5,125,127.5,-130,127.5,230
5,7,5,TSAI Sheng-Fen,NA,1984-10-27,NA,NA,A,56 kg Men,0,1,138,95,100,-105,100,-127.5,127.5,-132.5,127.5,227.5
6,4,8,ALAGOZ Adem,NA,1984-09-20,NA,NA,A,56 kg Men,0,1,138,95,100,105,105,115,120,-125,120,225
7,6,6,SAAD Ahmed Ahmed Mohamed,NA,1986-11-01,NA,NA,A,56 kg Men,0,1,138,95,100,-102.5,100,120,125,-130,125,225
8,8,7,SUDA Toshiyuki,NA,1984-11-18,NA,NA,A,56 kg Men,0,1,138,95,-100,-100,95,117.5,122.5,-125,122.5,217.5
9,10,9,YAMAUCHI Bryce,NA,1985-03-26,NA,NA,A,56 kg Men,0,1,138,90,-95,-95,90,115,-122.5,-122.5,115,205
10,11,10,LASKER Felix,NA,1984-03-19,NA,NA,A,56 kg Men,0,1,138,85,-90,-90,85,100,105,-117.5,105,190
11,12,11,VASILIADES Constantine,NA,1985-04-09,NA,NA,A,56 kg Men,0,1,138,75,80,85,85,97.5,105,-112.5,105,190
11,12,11,VASILIADES Constantine,NA,1985-04-09,NA,NA,A,56 kg Men,0,1,138,75,80,85,85,97.5,105,-112.5,105,190
NA,9,NA,CANTO Harvey,NA,1984-12-02,NA,NA,A,56 kg Men,0,1,138,90,-95,-95,90,-117.5,-117.5,-117.5,NA,NA
1,1,2,WANG Li,NA,1985-09-10,NA,NA,A,58 kg Women,0,1,138,100,-105,105,105,122.5,-125,-125,122.5,227.5
2,3,1,SHAINOVA Marina,NA,1986-03-14,NA,NA,A,58 kg Women,0,1,138,85,90,92.5,92.5,115,117.5,122.5,122.5,215
3,2,3,YOON Jin Hee,NA,1986-08-04,NA,NA,A,58 kg Women,0,1,138,85,90,92.5,92.5,107.5,115,-117.5,115,207.5
4,4,4,TODOROVA Violeta,NA,1986-02-28,NA,NA,A,58 kg Women,0,1,138,-80,-80,80,80,95,-100,-100,95,175
5,6,5,MAGDI Mai,NA,1986-06-17,NA,NA,A,58 kg Women,0,1,138,80,-82.5,-82.5,80,90,-95,95,95,175
6,5,7,DASDELEN Aygul Alev,NA,1985-02-08,NA,NA,A,58 kg Women,0,1,138,80,-85,-85,80,92.5,-97.5,-97.5,92.5,172.5
7,7,9,SHIMONO Ayako,NA,1985-05-21,NA,NA,A,58 kg Women,0,1,138,72.5,-75,75,75,90,-95,-95,90,165
8,9,6,NICOLAIESCU Mariana,NA,1986-08-04,NA,NA,A,58 kg Women,0,1,138,65,70,-72.5,70,87.5,92.5,-95,92.5,162.5
9,8,11,NIZNIKA Zinaida,NA,1987-11-30,NA,NA,A,58 kg Women,0,1,138,67.5,70,72.5,72.5,87.5,-90,-90,87.5,160
10,10,8,DASZKIEWICZ Malgorzata,NA,1986-01-29,NA,NA,A,58 kg Women,0,1,138,67.5,-70,70,70,85,90,-92.5,90,160
11,12,10,TKACHENKA Volha,NA,1986-01-03,NA,NA,A,58 kg Women,0,1,138,-70,70,-72.5,70,-90,90,NA,90,160
12,13,12,VEGA MORALES Geralee,NA,1986-07-22,NA,NA,A,58 kg Women,0,1,138,65,-72.5,-72.5,65,82.5,87.5,-90,87.5,152.5
12,13,12,VEGA MORALES Geralee,NA,1986-07-22,NA,NA,A,58 kg Women,0,1,138,65,-72.5,-72.5,65,82.5,87.5,-90,87.5,152.5
13,11,13,TSOUKALIS maria,NA,1987-05-10,NA,NA,A,58 kg Women,0,1,138,62.5,67.5,70,70,75,80,-82.5,80,150
1,3,1,DU Binghao,NA,1984-06-17,NA,NA,A,62 kg Men,0,1,138,-117.5,117.5,122.5,122.5,150,157.5,162.5,162.5,285
2,2,2,LEE Se-Min,NA,1985-11-19,NA,NA,A,62 kg Men,0,1,138,117.5,125,127.5,127.5,142.5,147.5,152.5,152.5,280
3,4,3,IVANOV Leonid,NA,1984-06-01,NA,NA,A,62 kg Men,0,1,138,115,120,122.5,122.5,145,150,-152.5,150,272.5
4,1,7,MICULESCU Ninel,NA,1985-05-15,NA,NA,A,62 kg Men,0,1,138,120,125,127.5,127.5,145,-147.5,NA,145,272.5
5,5,6,HUDAYBERGENOV Tolkunbek,NA,1986-01-04,NA,NA,A,62 kg Men,0,1,138,110,115,-117.5,115,142.5,147.5,-150,147.5,262.5
6,7,4,MIHAYLOV Plamen,NA,1986-03-08,NA,NA,A,62 kg Men,0,1,138,112.5,-117.5,-117.5,112.5,145,150,-152.5,150,262.5
7,6,8,ZUKOWSKI Sebastian,NA,1984-03-20,NA,NA,A,62 kg Men,0,1,138,110,115,-117.5,115,145,-147.5,-150,145,260
8,9,5,QERIMAJ Erkand,NA,1988-08-10,NA,NA,A,62 kg Men,0,1,138,110,-115,-115,110,145,150,-152.5,150,260
9,8,9,UECHI Katsuhiko,NA,1986-01-18,NA,NA,A,62 kg Men,0,1,138,-110,-110,110,110,-145,145,-152.5,145,255
10,11,11,WU Tsung-Ling,NA,1986-01-20,NA,NA,A,62 kg Men,0,1,138,105,-112.5,-112.5,105,127.5,132.5,135,135,240
11,10,13,VELICIU Ioan Forin,NA,1985-08-25,NA,NA,A,62 kg Men,0,1,138,107.5,-112.5,-112.5,107.5,125,-130,130,130,237.5
12,12,14,AVCI Abdurezzak,NA,1984-01-08,NA,NA,A,62 kg Men,0,1,138,100,105,-110,105,130,-140,-140,130,235
