total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,3,KARASIOU Siarhei,2023,1981-12-05,19.56986301369863,M,BLR,A,124.76,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,180,185,-190,185,217.5,225,-232.5,225,410
2,2,2,TSIAMRUK Alexander,1823,1981-02-06,20.397260273972602,M,BLR,A,113.09,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,175,-180,180,180,217.5,225,-232.5,225,405
3,5,4,KOZLOV Andrey,2294,1982-09-27,18.75890410958904,M,RUS,A,116.59,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,162.5,170,-175,170,200,210,215,215,385
4,3,6,AN Yong-Kwon,2310,1982-10-15,18.70958904109589,M,KOR,A,139.25,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,165,175,180,180,195,205,-210,205,385
5,4,7,DING Xin,2378,1983-01-01,18.495890410958904,M,CHN,A,145.3,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-175,175,-182.5,175,202.5,-212.5,-212.5,202.5,377.5
6,6,5,LINNIK Alexei,2338,1982-11-27,18.59178082191781,M,RUS,A,119.8,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,165,170,-175,170,205,-215,-217.5,205,375
7,7,8,GANZLER Gabor,1967,1981-09-17,19.786301369863015,M,HUN,A,130.84,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-160,160,165,165,200,-205,-205,200,365
8,8,9,BULAUSKAS Aurimas,2374,1983-01-01,18.495890410958904,M,LTU,A,137.29,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,152.5,-160,-160,152.5,192.5,-197.5,197.5,197.5,350
9,9,10,MASSOUD Mohamed Ehsan Attia,2737,1984-01-11,17.46849315068493,M,EGY,A,124.1,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,145,150,-155,150,182.5,190,195,195,345
10,10,12,KAMKAR Soheil,1912,1981-06-22,20.024657534246575,M,IRI,A,130.49,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,142.5,-150,150,150,185,192.5,-197.5,192.5,342.5
11,11,13,MOREAU Joshua,2084,1982-01-03,19.49041095890411,M,USA,A,119.4,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,140,145,-147.5,145,-172.5,172.5,180,180,325
12,12,15,BRAN Joel,2039,1981-12-23,19.52054794520548,M,GUA,A,122.36,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,125,132.5,137.5,137.5,165,172.5,175,175,312.5
13,14,14,KELLY Damon Joseph,2687,1983-12-01,17.58082191780822,M,AUS,A,143.99,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,125,130,-135,130,167.5,177.5,-182.5,177.5,307.5
14,13,16,GARZA RAMOS Edgar,2199,1982-05-20,19.115068493150684,M,MEX,A,117.87,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,125,130,135,135,155,160,-165,160,295
NA,NA,1,KOLOKOLTSEV Oleksiy,1829,1981-02-14,20.375342465753423,M,UKR,A,113.59,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-182.5,-182.5,-182.5,NA,220,230,-240.5,230,NA
NA,NA,11,AMANO Mitsuru,1816,1981-01-25,20.43013698630137,M,JPN,A,119.86,+105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-140,-140,-140,NA,187.5,-192.5,192.5,192.5,NA
1,1,1,HAWORTH Cheryl,2507,1983-04-19,18.2,W,USA,A,145.74,+75 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,112.5,117.5,122.5,122.5,140,147.5,152.5,152.5,275
2,2,2,VARGA Viktoria,1873,1981-04-17,20.205479452054796,W,HUN,A,95.45,+75 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-110,110,115,115,135,145,NA,145,260
3,3,3,JANG Mi-ran,2641,1983-10-09,17.726027397260275,W,KOR,A,100.63,+75 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-105,105,110,110,140,-145,-145,140,250
4,4,4,RODITI Aikaterini,2531,1983-05-23,18.106849315068494,W,GRE,A,92.63,+75 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-95,95,100,100,115,-125,125,125,225
5,5,5,KASAPI Vasiliki,2483,1983-03-22,18.276712328767122,W,GRE,A,107.18,+75 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,95,100,-102.5,100,115,120,-122.5,120,220
6,6,6,SOFFE Keisha-Dean,2295,1982-09-28,18.756164383561643,W,NZL,A,102.4,+75 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,87.5,92.5,-95,92.5,110,-117.5,-117.5,110,202.5
7,7,8,DREGER Marta,2895,1984-07-31,16.91780821917808,W,POL,A,80.03,+75 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-80,80,82.5,82.5,95,100,102.5,102.5,185
8,8,7,CHACON Cecilia,2069,1982-01-01,19.495890410958904,W,MEX,A,111.41,+75 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,75,-80,-80,75,95,100,105,105,180
1,1,1,DOLEGA Marcin,2238,1982-07-18,18.953424657534246,M,POL,A,103.54,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,175,-180,-180,175,200,205,210,210,385
2,3,2,VOROTYNTSEV Sergei,1782,1981-01-01,20.495890410958904,M,UKR,A,104.02,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,157.5,-165,165,165,195,202.5,207.5,207.5,372.5
3,4,3,RYZHANKOU Maksim,2780,1984-02-25,17.345205479452055,M,BLR,A,100.08,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-162.5,162.5,-167.5,162.5,-197.5,197.5,205,205,367.5
4,2,6,LAPTEV Vladimir,2059,1982-01-01,19.495890410958904,M,RUS,A,102.81,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-165,165,-170,165,185,-192.5,-192.5,185,350
5,5,5,BURGENER Casey,2263,1982-08-15,18.876712328767123,M,USA,A,104.29,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,155,160,162.5,162.5,-187.5,-187.5,187.5,187.5,350
6,6,4,KONSTANTINIDIS Vasileios,4200,1987-12-07,13.564383561643835,M,GRE,A,96.26,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,147.5,152.5,-157.5,152.5,180,190,-197.5,190,342.5
7,10,7,HAGGAG Mohamed,1766,1981-01-01,20.495890410958904,M,EGY,A,100.5,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,140,145,-150,145,-175,175,180,180,325
8,7,12,RABIEI Vahid,2336,1982-11-23,18.602739726027398,M,IRI,A,102.94,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,140,145,150,150,-170,170,-175,170,320
9,11,9,OCORO Edwin,2064,1982-01-01,19.495890410958904,M,COL,A,103.71,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-145,145,-150,145,170,175,-180,175,320
10,12,10,CHEVAUX Lenny,1976,1981-09-29,19.753424657534246,M,FRA,A,104.04,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,140,145,-147.5,145,175,-180,-180,175,320
11,13,8,MATYKIEWICZ Tomas,2344,1982-12-04,18.572602739726026,M,CZE,A,98.67,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,140,-145,-145,140,172.5,177.5,-180,177.5,317.5
12,8,11,HERGER Edward,2013,1981-11-16,19.621917808219177,M,USA,A,99.35,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,147.5,-152.5,-152.5,147.5,-167.5,170,-175,170,317.5
13,9,14,ZARGANI Ghader,1786,1981-01-01,20.495890410958904,M,IRI,A,97.18,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,140,-145,145,145,165,-172.5,-172.5,165,310
14,14,15,BAKER Heinz,2053,1982-01-01,19.495890410958904,M,NZL,A,103.49,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-140,140,-145,140,160,-170,-170,160,300
15,15,13,MANABE Naoyuki,1857,1981-03-25,20.268493150684932,M,JPN,A,104.54,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,130,-135,-140,130,170,-175,-175,170,300
16,17,16,SMIT Riaan,2341,1982-12-01,18.58082191780822,M,RSA,A,103.72,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,115,120,125,125,145,150,155,155,280
17,18,17,TAKHAR Ratandip,1996,1981-10-25,19.682191780821917,M,CAN,A,95.95,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,110,115,-120,115,145,150,-155,150,265
18,16,18,RIZO GUIZAR Hector Francisco,2830,1984-05-13,17.134246575342466,M,MEX,A,94.52,105 kg Men,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,115,120,125,125,135,-140,-140,135,260
1,1,3,PERIS Revert Gema,2508,1983-04-20,18.197260273972603,W,ESP,A,47.14,48 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,72.5,75,77.5,77.5,85,90,-92.5,90,167.5
2,2,1,GRACIA Betsabe,2030,1981-12-11,19.553424657534247,W,MEX,A,46.76,48 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,70,-72.5,72.5,72.5,87.5,-92.5,92.5,92.5,165
3,3,2,KARDANOVA Ragnetta,2407,1983-01-01,18.495890410958904,W,RUS,A,47,48 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,67.5,70,72.5,72.5,85,90,-95,90,162.5
4,4,5,TOCINO Maria Jose,2226,1982-06-22,19.024657534246575,W,ESP,A,46.82,48 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,67.5,70,-72.5,70,80,-82.5,-85,80,150
5,9,4,HENRRIQUEZ GONZALEZ Inmara Tibisay,1972,1981-09-23,19.76986301369863,W,VEN,A,47.93,48 kg Women,0,1,152,27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2001-07-01,-57.5,57.5,-60,57.5,80,85,-87.5,85,142.5
