total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,SALIMIKORDASIABI Behdad,NA,1989-12-08,NA,NA,A,+105 kg Men,0,1,190,201,209,214,214,241,250,-260,250,464
2,3,2,ANOUSHIRAVANI HAMLABAD Sajjad,NA,1984-05-12,NA,NA,A,+105 kg Men,0,1,190,-193,193,198,198,228,233,241,241,439
3,6,3,JEON Sang-Guen,NA,1981-02-28,NA,NA,A,+105 kg Men,0,1,190,183,192,-196,192,232,241,-254,241,433
4,2,4,SHYMECHKO Ihor,NA,1986-05-27,NA,NA,A,+105 kg Men,0,1,190,195,200,-203,200,-223,223,230,230,430
5,4,10,AN Yong-Kwon,NA,1982-10-15,NA,NA,A,+105 kg Men,0,1,190,183,196,-198,196,-222,222,NA,222,418
6,7,8,PROSHAK Oleg,NA,1983-11-06,NA,NA,A,+105 kg Men,0,1,190,180,185,190,190,215,-222,225,225,415
7,5,9,"NAGY Peter",NA,1986-01-16,NA,NA,A,+105 kg Men,0,1,190,186,192,-196,192,215,223,-226,223,415
8,10,5,VELAGIC Almir,NA,1981-08-22,NA,NA,B,+105 kg Men,0,1,190,176,180,183,183,216,221,228,228,411
9,17,6,DETENAMO Itte,NA,1986-09-22,NA,NA,A,+105 kg Men,0,1,190,175,-180,180,180,222,228,-232,228,408
10,8,14,ELSAYED Abdelrahman Mohamed A. A.,NA,1989-05-19,NA,NA,A,+105 kg Men,0,1,190,185,190,-192,190,217,-225,-226,217,407
11,12,13,TURMANIDZE Irakli,NA,1984-12-13,NA,NA,B,+105 kg Men,0,1,190,180,-185,-188,180,210,215,218,218,398
12,24,7,CHEN Shih-Chieh,NA,1989-11-27,NA,NA,B,+105 kg Men,0,1,190,170,-178,-178,170,215,227,NA,227,397
13,18,12,TOYCHYYEV Hojamuhammet,NA,1992-01-16,NA,NA,B,+105 kg Men,0,1,190,-170,170,177,177,210,218,-223,218,395
14,13,16,HAKOBYAN Hayk,NA,1990-06-14,NA,NA,B,+105 kg Men,0,1,190,170,180,-185,180,210,215,-220,215,395
15,14,17,VORNIK Dzmitry,NA,1988-08-22,NA,NA,C,+105 kg Men,0,1,190,170,175,180,180,205,210,215,215,395
16,19,15,SARAIVA REIS Fernando,NA,1990-03-10,NA,NA,C,+105 kg Men,0,1,190,170,176,-181,176,207,212,217,217,393
17,11,20,OTA Kazuomi,NA,1986-07-01,NA,NA,B,+105 kg Men,0,1,190,177,182,-185,182,211,-215,-215,211,393
18,25,11,KOBALADZE George,NA,1976-05-24,NA,NA,C,+105 kg Men,0,1,190,165,169,NA,169,215,220,NA,220,389
18,25,11,KOBALADZE George,NA,1976-05-24,NA,NA,C,+105 kg Men,0,1,190,165,169,NA,169,215,220,NA,220,389
19,15,24,TALAKHADZE Lasha,NA,1993-10-02,NA,NA,B,+105 kg Men,0,1,190,175,180,-187,180,-207,207,NA,207,387
20,16,25,ZHARNASEK Yauheni,NA,1987-08-09,NA,NA,B,+105 kg Men,0,1,190,175,180,-183,180,-206,206,NA,206,386
