total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,WATTHANAKASIKAM Surapong,3943,1983-04-09,28.6,M,THA,A,133.42,+105 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,160,0,0,0,201,361
2,NA,NA,ABD RASHID Abdul Azim Najmi,1563,1986-08-07,25.3,M,MAS,A,129.07,+105 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,155,0,0,0,190,345
3,NA,NA,RICHARD Pep Agosto,4363,1984-09-13,27.2,M,PHI,A,112.22,+105 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,140,0,0,0,190,330
4,NA,NA,ZULKIFLI Zafril,1705,1988-10-04,23.1,M,MAS,A,110.21,+105 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,130,0,0,0,170,300
1,NA,NA,KURNIATI Novita Sherly,4373,1993-11-28,18,W,INA,A,86.05,+75 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,101,0,0,0,123,224
2,NA,NA,YASIN Riska Anjani,3491,1993-02-07,18.8,W,INA,A,87.31,+75 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,101,0,0,0,117,218
1,NA,NA,NUCHPUM Khunchai,666,1980-10-20,31.1,M,THA,A,101.4,105 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,157,0,0,0,196,353
2,NA,NA,SAPUTRA Bayu,3430,1991-02-16,20.7,M,INA,A,100.2,105 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,152,0,0,0,186,338
3,NA,NA,MOHD Firdahuz Razak,1550,1987-02-22,24.7,M,MAS,A,100.4,105 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,151,0,0,0,177,328
4,NA,NA,ELISHA Louis Tan Kim Ho,3432,1992-10-23,19.1,M,MAS,A,102.42,105 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,137,0,0,0,165,302
5,NA,NA,KYAW Tun Aung,4362,1992-03-28,19.6,M,MYA,A,100.52,105 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,127,0,0,0,150,277
1,NA,NA,KHAMSRI Panida,1216,1989-01-13,22.8,W,THA,A,47.76,48 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,84,0,0,0,103,187
2,NA,NA,PHAM Thuy Dung,4365,1987-02-17,24.7,W,VIE,A,47.59,48 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,74,0,0,0,93,167
3,NA,NA,MASHITOH,1222,1989-02-08,22.8,W,INA,A,47.19,48 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,73,0,0,0,88,161
4,NA,NA,MA Aye Cho,4366,1993-03-10,18.7,W,MYA,A,47.49,48 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,73,0,0,0,85,158
5,NA,NA,TEREJA Pereira,4364,1992-07-29,19.3,W,TLS,A,47.16,48 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,35,0,0,0,45,80
1,NA,NA,JAROENRATTANATARAKOON Prapawadee,787,1984-05-29,27.5,W,THA,A,52.54,53 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,90,0,0,0,115,205
2,NA,NA,FEBRIANTI Citra,764,1988-02-22,23.7,W,INA,A,52.02,53 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,88,0,0,0,115,203
3,NA,NA,NGUYEN Thi Thuy,1967,1990-08-23,21.2,W,VIE,A,51.88,53 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,85,0,0,0,115,200
4,NA,NA,LWIN Aye Thanda Lw.,1968,1991-03-26,20.6,W,MYA,A,52.36,53 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,85,0,0,0,106,191
5,NA,NA,AZIZAH Binti Fadzil,1707,1991-01-14,20.8,W,MAS,A,51.51,53 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,79,0,0,0,97,176
6,NA,NA,WONG Kar Mun Helena,1434,1988-04-11,23.6,W,SGP,A,52.69,53 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,70,0,0,0,83,153
7,NA,NA,ROJAS Kelle Kay,1013,1991-04-06,20.6,W,PHI,A,48.4,53 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,65,0,0,0,87,152
8,NA,NA,LORTOUNGDAUE Mailor,4367,1993-12-08,17.9,W,LAO,A,51.86,53 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,45,0,0,0,62,107
9,NA,NA,BINTI SYD ANUAR Sharifah Inani Najwa,1435,1990-01-01,21.9,W,MAS,A,52.92,53 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,77,0,0,0,NA,NA
1,NA,NA,TRAN Le Quoc Toan,1934,1989-04-05,22.6,M,VIE,A,55.68,56 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,125,0,0,0,155,280
2,NA,NA,SETIADI Jadi,1046,1985-02-02,26.8,M,INA,A,55.68,56 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,124,0,0,0,154,278
3,NA,NA,THACH Kim Tuan,319,1994-01-15,17.8,M,VIE,A,55.3,56 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,124,0,0,0,147,271
4,NA,NA,COLONIA Nestor,1933,1992-02-16,19.7,M,PHI,A,55,56 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,110,0,0,0,148,258
5,NA,NA,PYAE Phyo,1932,1989-12-14,21.9,M,MYA,A,55.66,56 kg Men,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,107,0,0,0,120,227
1,NA,NA,GULNOI Rattikan,1712,1993-07-17,18.3,W,THA,A,57.84,58 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,98,0,0,0,125,223
2,NA,NA,DIAZ Hidilyn,1020,1991-02-20,20.7,W,PHI,A,56.92,58 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,95,0,0,0,120,215
3,NA,NA,PRAMITA Okta Dwi,793,1986-10-15,25.1,W,INA,A,57.43,58 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,91,0,0,0,116,207
4,NA,NA,VUONG Thi Huyen,4368,1992-06-22,19.4,W,VIE,A,54.2,58 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,85,0,0,0,110,195
5,NA,NA,FRENCEAY Titus,3463,1991-01-12,20.8,W,MAS,A,56.98,58 kg Women,0,1,192,26TH SOUTHEAST ASIAN (SEA) GAMES,2011-11-11,0,0,0,75,0,0,0,101,176
