total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,2,HIMANSHU Kumar Chang,NA,1992-01-15,NA,NA,A,+105 kg Men,0,1,213,115,125,NA,125,145,NA,NA,145,270
2,2,1,PRENDERGAST Samuel,NA,1994-10-17,NA,NA,A,+105 kg Men,0,1,213,105,110,115,115,137,143,147,147,262
3,3,3,SALIMU Lauititi,NA,1995-12-04,NA,NA,A,+105 kg Men,0,1,213,80,88,92,92,-105,105,110,110,202
1,1,1,SIMANU Iuniarra,NA,1993-06-25,NA,NA,A,+75 kg Women,0,1,213,92,96,-99,96,115,121,125,125,221
2,3,2,PETERS Luisa Fatiaki Taitapu,NA,1993-06-27,NA,NA,A,+75 kg Women,0,1,213,73,76,80,80,86,92,98,98,178
3,2,3,AMALAPURAPU Siromani,NA,1993-10-10,NA,NA,A,+75 kg Women,0,1,213,70,75,80,80,86,92,-99,92,172
4,4,4,HARRY Lorraine Henao,NA,1996-02-20,NA,NA,A,+75 kg Women,0,1,213,65,70,-75,70,85,-90,-92,85,155
5,5,5,PAGE Courtney,NA,1996-04-03,NA,NA,A,+75 kg Women,0,1,213,-55,55,58,58,75,-79,-79,75,133
1,1,3,NITIN Singh Rawat,NA,1992-05-29,NA,NA,A,105 kg Men,0,1,213,-122,122,130,130,152,-160,-160,152,282
2,2,4,KARANDEEP Singh,NA,1992-02-13,NA,NA,A,105 kg Men,0,1,213,117,122,127,127,150,-157,-157,150,277
3,4,1,CORREOS David,NA,1992-12-08,NA,NA,A,105 kg Men,0,1,213,113,116,-120,116,150,153,159,159,275
4,3,2,SETI Fitu,NA,1992-06-20,NA,NA,A,105 kg Men,0,1,213,110,115,119,119,147,-152,155,155,274
1,1,1,MOSS Charlotte Louise,NA,1995-09-05,NA,NA,A,48 kg Women,0,1,213,35,38,41,41,48,-52,52,52,93
1,1,1,KATILA Venkata Lakshmi,NA,1993-05-20,NA,NA,A,53 kg Women,0,1,213,57,64,66,66,80,85,-88,85,151
1,2,1,MOORAYIL SURESH Karthik,NA,1992-03-24,NA,NA,A,56 kg Men,0,1,213,87,-94,94,94,111,120,125,125,219
2,1,2,BRECHTEFELD Elson Edward,NA,1994-03-02,NA,NA,A,56 kg Men,0,1,213,97,-102,-102,97,120,-125,-125,120,217
3,3,3,OALA Fred Karoho,NA,1996-09-12,NA,NA,B,56 kg Men,0,1,213,-75,75,80,80,102,107,108,108,188
4,4,4,NORMAN James Sahutta,NA,1996-06-29,NA,NA,B,56 kg Men,0,1,213,64,68,72,72,90,95,100,100,172
5,6,5,POURTOOSSI Martin,NA,1995-05-24,NA,NA,B,56 kg Men,0,1,213,70,-74,-74,70,88,-92,92,92,162
6,7,6,WU Joshua Luke James Vain Kyang,NA,1996-11-14,NA,NA,B,56 kg Men,0,1,213,63,67,70,70,85,-90,90,90,160
7,5,8,MCTAGGART Cameron David,NA,1997-09-30,NA,NA,A,56 kg Men,0,1,213,64,67,70,70,75,78,81,81,151
8,8,7,MOREA Ignatius,NA,1995-08-27,NA,NA,B,56 kg Men,0,1,213,65,-70,-70,65,80,-85,85,85,150
9,9,9,KATOATAU Ruben,NA,1997-02-09,NA,NA,A,56 kg Men,0,1,213,45,-55,55,55,65,-71,-71,65,120
1,1,1,"NAMEIRAKPAM Sumanbala Devi",NA,1992-12-01,NA,NA,A,58 kg Women,0,1,213,70,73,76,76,90,-95,-95,90,166
2,2,3,SHEPPARD Bianca,NA,1992-10-22,NA,NA,A,58 kg Women,0,1,213,65,70,-72,70,60,65,70,70,140
3,3,2,KASSMAN Monalisa Naime,NA,1992-11-05,NA,NA,A,58 kg Women,0,1,213,-55,55,58,58,70,-75,-75,70,128
4,4,4,COWEN Sophie,NA,1997-05-16,NA,NA,A,58 kg Women,0,1,213,-42,42,45,45,54,57,60,60,105
1,2,1,SAHOO Achyutananda,NA,1994-02-08,NA,NA,A,62 kg Men,0,1,213,95,-101,-101,95,117,125,-132,125,220
2,1,2,SRINIVASAN Manivannan,NA,1992-09-05,NA,NA,A,62 kg Men,0,1,213,85,90,95,95,110,115,122,122,217
3,3,3,RANGIDIMI Chris Akarba,NA,1995-08-07,NA,NA,B,62 kg Men,0,1,213,65,75,81,81,-100,100,110,110,191
4,4,4,FUKUYAMA Fusakichi Adam,NA,1996-06-23,NA,NA,B,62 kg Men,0,1,213,-75,75,80,80,-107,-107,107,107,187
5,6,5,RANA Bassel Amjad,NA,1996-08-19,NA,NA,B,62 kg Men,0,1,213,72,-77,-77,72,95,98,-101,98,170
6,5,6,ELESIN Boris,NA,1995-09-02,NA,NA,B,62 kg Men,0,1,213,70,75,-80,75,85,90,95,95,170
