total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,2,DEKHA Iryna,9615,1996-05-14,16.28219178082192,W,UKR,A,76.4,+69 kg Women,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,94,99,101,101,110,115,-117,115,216
2,2,3,ROMANOVA Anastasiya,9584,1996-04-25,16.334246575342465,W,UKR,A,74.5,+69 kg Women,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,94,98,100,100,111,-117,-117,111,211
3,4,1,KOLAS Alena,9512,1996-03-26,16.416438356164385,W,BLR,A,102.55,+69 kg Women,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,85,-90,-90,85,110,118,-127,118,203
4,3,4,HULPAN Florina-Sorina,10225,1997-03-07,15.468493150684932,W,ROU,A,71.1,+69 kg Women,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,80,84,86,86,-103,103,106,106,192
5,5,6,RITTMANN Mara,9525,1996-03-31,16.4027397260274,W,GER,A,145.9,+69 kg Women,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,77,80,82,82,95,-96,100,100,182
6,7,5,MOLNAR Martina Szilvia,9357,1996-01-08,16.628415300546447,W,HUN,A,104.05,+69 kg Women,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,75,79,-82,79,94,98,100,100,179
7,6,7,KACZMARCZYK Kinga,10511,1997-07-10,15.126027397260273,W,POL,A,75.5,+69 kg Women,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,75,-79,80,80,95,-100,-100,95,175
8,8,8,SIWIK Tanya,9544,1996-04-07,16.383561643835616,W,FRA,A,83.1,+69 kg Women,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,70,74,-76,74,-88,88,-92,88,162
9,9,9,MESZES Bianka,8726,1995-02-24,17.5,W,HUN,A,106.05,+69 kg Women,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,68,73,-76,73,83,87,-90,87,160
10,10,10,CATALDO Anna Chiara,11511,1998-10-29,13.8224043715847,W,ITA,A,70.3,+69 kg Women,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,60,64,-65,64,73,77,-79,77,141
1,1,1,SAVCHUK Antoniy,9242,1995-11-20,16.762295081967213,M,RUS,A,121.7,+94 kg Men,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,160,164,165,165,191,201,NA,201,366
2,2,2,MZHACHYK Aliaksei,9717,1996-06-30,16.153424657534245,M,BLR,A,106.2,+94 kg Men,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,152,160,164,164,190,-200,-200,190,354
3,5,3,VARDANYAN Misha,9255,1995-11-25,16.74863387978142,M,ARM,A,151,+94 kg Men,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,145,-150,-152,145,188,-200,-200,188,333
4,3,4,BOHDAN Maksim,8815,1995-04-03,17.394520547945206,M,BLR,A,103.55,+94 kg Men,0,1,218,EUROPEAN YOUTH CHAMPIONSHIPS,2012-08-25,145,-150,150,150,177,181,-185,181,331
