total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,TASI TAALA Koale Junior,NA,1995-03-23,NA,NA,A,+105 kg Men,0,1,247,-120,-120,120,120,156,161,-170,161,281
2,NA,NA,PRENDERGAST Samuel,NA,1994-10-17,NA,NA,A,+105 kg Men,0,1,247,120,124,126,126,-150,150,154,154,280
3,NA,NA,LANGI William,NA,1996-01-01,NA,NA,A,+105 kg Men,0,1,247,85,89,92,92,110,115,-120,115,207
1,NA,NA,PETERS Luisa Fatiaki Taitapu,NA,1993-06-27,NA,NA,A,+75 kg Women,0,1,247,75,80,-83,80,95,100,103,103,183
2,NA,NA,SLEEMAN Bonnie Leigh,NA,1993-12-23,NA,NA,A,+75 kg Women,0,1,247,-73,-73,73,73,93,98,-102,98,171
3,NA,NA,PAGE Courtney,NA,1996-04-03,NA,NA,A,+75 kg Women,0,1,247,57,61,64,64,78,80,86,86,150
4,NA,NA,FATE Suliana Nightingale,NA,1997-02-05,NA,NA,A,+75 kg Women,0,1,247,60,64,66,66,78,-84,84,84,150
5,NA,NA,FUIMAONO Temple,NA,1997-01-01,NA,NA,A,+75 kg Women,0,1,247,40,45,50,50,50,55,-60,55,105
6,NA,NA,TAUASI Vitolia Rose Chaynal,NA,1997-12-15,NA,NA,A,+75 kg Women,0,1,247,35,40,-45,40,47,52,58,58,98
7,NA,NA,MAILO Floire,NA,1997-01-01,NA,NA,A,+75 kg Women,0,1,247,-40,40,45,45,50,-55,-55,50,95
1,NA,NA,OPELOGE Petunu,NA,1994-06-27,NA,NA,A,105 kg Men,0,1,247,127,131,135,135,162,171,175,175,310
2,NA,NA,LAGIKULA Petelo Sanele Ireneo,NA,1995-06-07,NA,NA,A,105 kg Men,0,1,247,117,122,126,126,144,150,-155,150,276
2,NA,NA,LAGIKULA Petelo Sanele Ireneo,NA,1995-06-07,NA,NA,A,105 kg Men,0,1,247,117,122,126,126,144,150,-155,150,276
3,NA,NA,POMELILE Joe,NA,1993-01-01,NA,NA,A,105 kg Men,0,1,247,108,113,116,116,140,150,-160,150,266
