total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,JOSEPH Obehi,7981,1994-02-20,19.75890410958904,W,NGR,A,100.69,+75 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,105,0,0,0,140,245
2,NA,NA,SIPAIA Iuniarra,7413,1993-06-25,20.416438356164385,W,SAM,A,111.96,+75 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,100,0,0,0,126,226
3,NA,NA,PETERS Luisa Fatiaki Taitapu,7419,1993-06-27,20.410958904109588,W,COK,A,93.88,+75 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,90,0,0,0,112,202
4,NA,NA,SLEEMAN Bonnie Leigh,7797,1993-12-23,19.92054794520548,W,AUS,A,84.98,+75 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,80,0,0,0,93,173
5,NA,NA,PAGE Courtney,9531,1996-04-03,17.643835616438356,W,AUS,A,101.23,+75 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,69,0,0,0,84,153
1,NA,NA,OPELOGE Petunu,8237,1994-06-27,19.410958904109588,M,SAM,A,95.68,105 kg Men,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,143,0,0,0,178,321
2,NA,NA,HUSSAIN Mohammad Jameer,7242,1993-04-03,20.643835616438356,M,IND,A,96.68,105 kg Men,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,136,0,0,0,179,315
3,NA,NA,KU Azrul Ku Othman,7980,1994-02-20,19.75890410958904,M,MAS,A,104.54,105 kg Men,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,135,0,0,0,169,304
4,NA,NA,MUDHA Rajendra Chaitanya,7643,1993-10-10,20.123287671232877,M,IND,A,96.61,105 kg Men,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,127,0,0,0,168,295
1,NA,NA,SONOWAL Manalisha,8608,1995-01-01,18.895890410958906,W,IND,A,47.59,48 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,65,0,0,0,82,147
2,NA,NA,ABEYSEKARA D. D. D.,10787,1997-11-16,16.02191780821918,W,SRI,A,47.28,48 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,62,0,0,0,74,136
3,NA,NA,OVIA Bea,11150,1998-05-06,15.553424657534247,W,PNG,A,47.95,48 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,45,0,0,0,63,108
4,NA,NA,OVIA Gillian,9882,1996-09-27,17.15890410958904,W,PNG,A,46.67,48 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,45,0,0,0,62,107
5,NA,NA,PARR Robin Bridget,10196,1997-02-24,16.747945205479454,W,AUS,A,45.36,48 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,40,0,0,0,58,98
1,NA,NA,AMALAHA Chika Joy,10746,1997-10-28,16.073972602739726,W,NGR,A,52.82,53 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,80,0,0,0,95,175
2,NA,NA,KRISANI Pramila,9362,1996-01-09,17.873972602739727,W,IND,A,52.1,53 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,71,0,0,0,92,163
3,NA,NA,BILLEN Helena,9235,1995-11-18,18.016438356164382,W,CAN,A,52.75,53 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,65,0,0,0,85,150
4,NA,NA,MOSS Charlotte Louise,9118,1995-09-05,18.21917808219178,W,NZL,A,52.09,53 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,59,0,0,0,72,131
5,NA,NA,GATT Nicole,10091,1997-01-11,16.86849315068493,W,MLT,A,52.37,53 kg Women,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,50,0,0,0,68,118
1,NA,NA,PALANGASINGHE D. K. T. W. K.,7681,1993-10-26,20.07945205479452,M,SRI,A,55.9,56 kg Men,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,106,0,0,0,135,241
2,NA,NA,CHETIA Apurba,8138,1994-05-06,19.553424657534247,M,IND,A,55.8,56 kg Men,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,105,0,0,0,135,240
3,NA,NA,ZULHELMI Bin Md Pisol,7548,1993-08-22,20.257534246575343,M,MAS,A,55.99,56 kg Men,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,100,0,0,0,130,230
4,NA,NA,MOKHTAR Mohamad Anas Malik Bin,8281,1994-07-24,19.336986301369862,M,MAS,A,55.67,56 kg Men,0,1,262,2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2013-11-24,0,0,0,101,0,0,0,124,225
