total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,2,ELJADID ELAZIBI Abdalla Salem,8653,1995-01-21,18.767123287671232,M,LBA,A,130.6,+105 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,120,130,135,135,140,155,162,162,297
2,2,1,IBRAHIM Aidnani,7373,1993-06-04,20.4,M,LBA,A,118.4,+105 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,120,127,-133,127,140,-153,163,163,290
1,1,1,DHIEB Yosra,9107,1995-08-31,18.15890410958904,W,TUN,A,102.8,+75 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,88,-92,92,92,105,112,-115,112,204
2,2,2,SAHRAOUI Fatima Zohra,9883,1996-09-27,17.084931506849315,W,ALG,A,90,+75 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,45,47,-50,47,55,60,65,65,112
3,3,3,NOUHAYLA Makaoui,10881,1998-01-01,15.821917808219178,W,MAR,A,98.2,+75 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,21,25,NA,25,21,25,-35,25,50
1,1,1,BIDANI Walid,8199,1994-06-11,19.38082191780822,M,ALG,A,105,105 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,152,157,163,163,181,186,191,191,354
2,2,2,BAKADI Ayoub,8550,1994-12-17,18.863013698630137,M,MAR,A,99.4,105 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,120,127,-132,127,155,-163,165,165,292
3,3,3,HOLTZHAUSEN Jacobus,9366,1996-01-12,17.791780821917808,M,RSA,A,100,105 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,100,106,110,110,120,126,-131,126,236
4,4,4,TACKIE Theophilus,9050,1995-07-30,18.246575342465754,M,GHA,A,100.4,105 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,100,-105,105,105,120,-125,-125,120,225
1,1,1,LANDOULSI Nouha,11148,1998-05-05,15.482191780821918,W,TUN,A,49.4,53 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,60,65,70,70,78,-85,86,86,156
2,2,2,SEBAR Sara,8968,1995-06-17,18.364383561643837,W,MAR,A,50.6,53 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,55,60,63,63,75,79,-86,79,142
3,3,3,BAFFOE Ruth,8478,1994-11-07,18.972602739726028,W,GHA,A,52.4,53 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,60,62,-65,62,75,77,-78,77,139
4,4,4,BENMILOUD Meryem Nada,10690,1997-09-26,16.087671232876712,W,ALG,A,52.8,53 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,46,51,56,56,63,-71,NA,63,119
5,5,5,KARIM Youssra,10277,1997-03-26,16.59178082191781,W,MAR,A,52.2,53 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,35,45,-50,45,47,55,-63,55,100
1,2,1,AINOUAZANE Abdelkader,8403,1994-09-22,19.0986301369863,M,ALG,A,55.8,56 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,-95,-96,97,97,110,115,-120,115,212
2,1,2,KRAYDI Faouzi,10302,1997-04-06,16.561643835616437,M,TUN,A,55.2,56 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,91,96,98,98,108,113,-117,113,211
3,4,3,SHABI Ahsaan Ali Alhadi,10264,1997-03-22,16.602739726027398,M,LBA,A,55.2,56 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,-70,70,-76,70,90,93,97,97,167
4,3,4,HARFI Issam,10810,1997-12-02,15.904109589041095,M,MAR,A,49.4,56 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,-65,65,71,71,75,85,-90,85,156
1,1,1,MEJRI Oumaima,8341,1994-08-22,19.183561643835617,W,TUN,A,57.6,58 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,-70,70,-76,70,-88,88,-95,88,158
2,2,2,HAMMOU Kheira,10230,1997-03-08,16.64109589041096,W,ALG,A,57,58 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,46,49,51,51,65,-71,71,71,122
3,3,3,LARUE Romentha,11094,1998-04-06,15.561643835616438,W,SEY,A,57.8,58 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,45,-47,50,50,56,60,-64,60,110
1,1,1,MAROUEN Watreni,8869,1995-04-28,18.5013698630137,M,TUN,A,61.6,62 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,111,115,-120,115,142,-147,147,147,262
2,4,3,TOUALBIA Abdelouahab,8874,1995-05-01,18.493150684931507,M,ALG,A,61.8,62 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,97,105,-108,105,120,125,-126,125,230
3,5,2,CONFIANCE Rick Yves,8170,1994-05-24,19.43013698630137,M,SEY,A,61.4,62 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,95,-100,102,102,115,121,125,125,227
4,2,4,MOHAD Fras,8012,1994-03-09,19.638356164383563,M,LBA,A,61.2,62 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,90,100,105,105,111,120,-125,120,225
5,6,5,GASHOUT Mukhtar,8990,1995-06-29,18.33150684931507,M,LBA,A,60.8,62 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,90,100,-106,100,111,-117,-117,111,211
NA,3,NA,SARIAK Nafaa,8519,1994-11-29,18.912328767123288,M,ALG,A,61.8,62 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,105,-110,-110,105,-121,-121,-121,NA,NA
1,1,1,CHERRARA Ikram,11224,1998-06-06,15.394520547945206,W,ALG,A,62,63 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,-60,61,64,64,79,84,-88,84,148
2,2,2,ARKOH Juliana,10603,1997-08-21,16.186301369863013,W,GHA,A,60,63 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,60,62,63,63,75,-77,-77,75,138
1,1,1,BEN HNIA Karem,8492,1994-11-13,18.956164383561642,M,TUN,A,68.8,69 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,135,140,143,143,170,178,NA,178,321
2,2,2,TUBAL Maraj S.Omer,7878,1994-01-10,19.797260273972604,M,LBA,A,68.2,69 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,115,120,-125,120,140,-150,-150,140,260
3,3,3,BELHOUT Adel,7714,1993-11-10,19.964383561643835,M,ALG,A,68,69 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,116,-121,-124,116,135,-145,-146,135,251
4,5,4,HALBANE Abdelilah,9087,1995-08-21,18.186301369863013,M,MAR,A,68.2,69 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,90,96,-100,96,120,125,131,131,227
5,4,5,EL AABIDI Khalid,9132,1995-09-14,18.12054794520548,M,MAR,A,67.8,69 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,85,-95,98,98,115,-120,-122,115,213
1,1,1,HASSINE Ghada,7335,1993-05-17,20.44931506849315,W,TUN,A,65,69 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,92,97,-102,97,110,117,-122,117,214
2,2,2,CHAIMAE Charkaoni,10468,1997-06-19,16.35890410958904,W,MAR,A,65.2,69 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,35,40,-49,40,45,55,-60,55,95
1,1,1,GUEZMIR Sirine,8388,1994-09-16,19.115068493150684,W,TUN,A,73.4,75 kg Women,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,80,85,-88,85,96,NA,NA,96,181
1,1,1,FARDJALLAH Housseyn,7076,1993-01-16,20.78082191780822,M,ALG,A,76.4,77 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,140,-146,-151,140,170,175,-178,175,315
2,2,2,YANOU KETCHANKE Jean Baptiste,7471,1993-07-19,20.276712328767122,M,CMR,A,76.8,77 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,130,137,-141,137,167,173,-177,173,310
3,3,3,NGONGANG TCHUISSI Guy Michel,8716,1995-02-18,18.69041095890411,M,CMR,A,75.2,77 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,120,-125,125,125,150,155,-160,155,280
4,4,4,GRAHAM Brandon,9681,1996-06-14,17.372602739726027,M,RSA,A,76.2,77 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,-105,-105,105,105,-130,130,135,135,240
5,7,5,ABOULHABIB Ayoub,7741,1993-11-21,19.934246575342467,M,MAR,A,74.6,77 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,90,100,-105,100,120,130,134,134,234
6,5,6,SAID Mohamed Elmabrouk,8368,1994-09-06,19.14246575342466,M,LBA,A,69.4,77 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,90,100,-107,100,111,120,-130,120,220
7,6,7,LAHMA Ayub,7135,1993-02-09,20.715068493150685,M,MAR,A,73.4,77 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,-100,100,-107,100,115,-130,-130,115,215
1,1,1,KHALFALLAH Abdelbassit,7040,1993-01-05,20.81095890410959,M,ALG,A,84.4,85 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,110,-121,121,121,140,147,-152,147,268
2,2,2,ELIAS Alanani,9174,1995-10-05,18.063013698630137,M,LBA,A,83.8,85 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,110,-120,-120,110,130,141,-146,141,251
3,3,3,EL MORJANI Ayoub,8933,1995-06-01,18.40821917808219,M,MAR,A,78.6,85 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,90,97,-101,97,122,130,-134,130,227
4,4,4,COME Dereck Christian,9423,1996-02-11,17.70958904109589,M,SEY,A,83.6,85 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,90,96,-101,96,110,116,-121,116,212
1,1,2,LAGSIR Badr-Eddine,8867,1995-04-27,18.504109589041096,M,MAR,A,93,94 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,115,121,124,124,147,154,-160,154,278
2,3,1,CYRILLE FAGAT Tchatchet II,9052,1995-08-01,18.24109589041096,M,CMR,A,85.4,94 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,-120,-121,122,122,155,-160,-160,155,277
3,2,3,KELLOU Mohamed Seghir,9078,1995-08-14,18.205479452054796,M,ALG,A,93,94 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,116,120,123,123,140,147,-155,147,270
4,5,4,LARKYNE Nii Otoo,9217,1995-11-11,17.96164383561644,M,GHA,A,88.2,94 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,-100,100,-105,100,-120,120,125,125,225
5,4,5,SEYIMANI Sythembele,8475,1994-11-04,18.980821917808218,M,RSA,A,92,94 kg Men,0,1,266,AFRICAN JUNIOR CHAMPIONSHIPS,2013-10-28,100,-105,105,105,-105,105,110,110,215
