total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,PETROVA Kamila,10701,1997-10-12,15.6,W,UZB,A,70.3,+69 kg Women,0,1,270,ASIAN YOUTH CHAMPIONSHIPS,2013-05-26,57,62,65,65,75,80,85,85,150
2,2,2,FARAJ Alanood,4029,1996-10-06,16.6,W,UAE,A,74.7,+69 kg Women,0,1,270,ASIAN YOUTH CHAMPIONSHIPS,2013-05-26,50,55,61,61,65,72,-78,72,133
1,2,1,TARAFDAR Chandrika,13424,1996-10-12,16.6,W,IND,A,42.9,44 kg Women,0,1,270,ASIAN YOUTH CHAMPIONSHIPS,2013-05-26,-54,54,-58,54,74,77,-79,77,131
2,11,2,GURSALE Dipali Dattatraya,5015,1996-11-10,16.5,W,IND,A,42.7,44 kg Women,0,1,270,ASIAN YOUTH CHAMPIONSHIPS,2013-05-26,54,57,-60,57,62,66,-69,66,123
3,3,3,ABEYSEKARA D. D. D.,118,1997-11-16,15.5,W,SRI,A,43.4,44 kg Women,0,1,270,ASIAN YOUTH CHAMPIONSHIPS,2013-05-26,-54,-54,54,54,63,65,-69,65,119
4,4,6,RESHMA Jahura Akter,11363,1998-07-11,14.9,W,BAN,A,42.6,44 kg Women,0,1,270,ASIAN YOUTH CHAMPIONSHIPS,2013-05-26,47,-50,50,50,58,-62,-62,58,108
5,5,5,WU Chia Yi,14589,1998-03-26,15.2,W,TPE,A,43.4,44 kg Women,0,1,270,ASIAN YOUTH CHAMPIONSHIPS,2013-05-26,47,-51,-52,47,58,-61,61,61,108
6,6,7,"NASER Nagah Hshem",9621,1999-05-15,14,W,IRQ,A,43.3,44 kg Women,0,1,270,ASIAN YOUTH CHAMPIONSHIPS,2013-05-26,38,42,-45,42,45,50,-52,50,92
7,7,8,ISAA Shoug Ahmed Al Maoani,5878,1999-11-18,13.5,W,UAE,A,40.5,44 kg Women,0,1,270,ASIAN YOUTH CHAMPIONSHIPS,2013-05-26,17,NA,NA,17,20,22,25,25,42
NA,NA,4,DZHUMABAYEVA Yulduz,3698,1998-04-22,15.1,W,TKM,A,43.5,44 kg Women,0,1,270,ASIAN YOUTH CHAMPIONSHIPS,2013-05-26,-50,-52,-52,NA,-63,64,-67,64,NA
