total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,SIMONA Nestakova,13998,1999-07-15,13.8,W,SVK,A,44.94,48 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,27,0,0,0,40,67
1,NA,NA,VEZNIKOVA Veronika,15667,1990-01-31,23.3,W,CZE,A,51.47,53 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,58,0,0,0,72,130
2,NA,NA,CRAIG Gabrielle Alexandria,3381,1985-10-14,27.6,W,IRL,A,51.79,53 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,58,0,0,0,69,127
3,NA,NA,WILL Colette,16003,1992-11-07,20.5,W,SCO,A,50.04,53 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,53,0,0,0,73,126
4,NA,NA,GULAM Noorin Mahomed Rafik,5535,1995-09-06,17.7,W,GBR,A,52.89,53 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,53,0,0,0,63,116
5,NA,NA,ALHADDAD Amna Salman Yousuf Hassan,683,1989-10-21,23.5,W,UAE,A,52.92,53 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,38,0,0,0,48,86
6,NA,NA,BROWN Jill,2327,1981-09-30,31.6,W,SCO,A,52.88,53 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,36,0,0,0,45,81
1,NA,NA,SASARAKOVA Terezia,13459,1991-02-19,22.2,W,SVK,A,57.59,58 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,68,0,0,0,82,150
2,NA,NA,PANJAVI Shila,11480,1991-05-14,22,W,GBR,A,57.03,58 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,62,0,0,0,85,147
3,NA,NA,KERR Vicki,7344,1979-05-15,34,W,GBR,A,57.63,58 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,63,0,0,0,76,139
4,NA,NA,GEROLY Lilla,5094,1995-01-30,18.3,W,HUN,A,57.96,58 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,60,0,0,0,74,134
5,NA,NA,YU Weili,16406,1983-06-24,29.9,W,HKG,A,56.29,58 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,60,0,0,0,70,130
6,NA,NA,MC GLYNN Claire Jean,9595,1987-03-12,26.2,W,IRL,A,57.4,58 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,42,0,0,0,68,110
7,NA,NA,MACINTOSH Nicole,9030,1994-08-30,18.7,W,SCO,A,54.58,58 kg Women,0,1,273,"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX",2013-05-09,0,0,0,43,0,0,0,47,90
