total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,3,1,WILKES Caine Morgan,NA,1987-07-10,NA,NA,A,+105 kg Men,0,1,290,170,178,-183,178,210,218,221,221,399
2,2,4,RENTERIA Fredy Andres,NA,1983-11-16,NA,NA,A,+105 kg Men,0,1,290,172,179,186,186,-210,210,-219,210,396
3,5,3,PUPO Alberto,NA,1987-02-08,NA,NA,A,+105 kg Men,0,1,290,-163,163,170,170,205,212,218,218,388
4,8,2,MORALES NAVAS Yoel Jose,NA,1983-09-10,NA,NA,A,+105 kg Men,0,1,290,155,-161,-161,155,205,212,220,220,375
5,4,5,SALAS MANGUIS Fernando Fabricio,NA,1988-02-10,NA,NA,A,+105 kg Men,0,1,290,160,165,171,171,190,200,-205,200,371
6,9,6,HOIL MAS Luis Alberto,NA,1990-09-07,NA,NA,A,+105 kg Men,0,1,290,150,155,-160,155,-189,190,-197,190,345
7,6,7,LAFARGA Roberto,NA,1992-06-18,NA,NA,A,+105 kg Men,0,1,290,145,150,156,156,175,182,-189,182,338
8,7,8,PROVOST Marc-Olivier,NA,1987-02-24,NA,NA,A,+105 kg Men,0,1,290,150,156,-161,156,175,182,-189,182,338
9,10,9,HERIBERTO Rivera,NA,1993-11-03,NA,NA,A,+105 kg Men,0,1,290,120,130,-135,130,165,175,-182,175,305
10,11,10,HOEK Ulrich Jurgen,NA,1986-07-08,NA,NA,A,+105 kg Men,0,1,290,-115,115,122,122,155,162,168,168,290
11,13,11,CORTEZ Alejandro,NA,1993-05-06,NA,NA,A,+105 kg Men,0,1,290,-118,118,121,121,155,162,-166,162,283
12,14,12,BOLANOS MENDEZ Ricardo Alonso,NA,1993-03-06,NA,NA,A,+105 kg Men,0,1,290,120,-126,-126,120,140,155,-160,155,275
13,12,13,GARCIA SANCHEZ Jose Antonio,NA,1969-04-20,NA,NA,A,+105 kg Men,0,1,290,110,121,-127,121,141,151,-160,151,272
NA,1,NA,SARAIVA REIS Fernando,NA,1990-03-10,NA,NA,A,+105 kg Men,0,1,290,180,187,-191,187,-215,NA,NA,NA,NA
NA,NA,NA,MICHELIN-SALOMON Bralan M.,NA,1986-02-18,NA,NA,A,+105 kg Men,0,1,290,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,KOBALADZE George,NA,1976-05-24,NA,NA,A,+105 kg Men,0,1,290,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,KOBALADZE George,NA,1976-05-24,NA,NA,A,+105 kg Men,0,1,290,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,ESPINOSA Yaniuska Isabel,3820,1986-12-05,W,VEN,A,+75 kg Women,0,1,290,105,111,-115,111,135,140,-142,140,251
2,1,5,MASCORRO OSUNA Tania Guadalupe,NA,1988-11-24,NA,NA,A,+75 kg Women,0,1,290,110,113,-115,113,131,135,-140,135,248
3,4,1,PEREZ REVERON Naryury Alexandra,NA,1992-09-29,NA,NA,A,+75 kg Women,0,1,290,100,-105,105,105,135,-140,140,140,245
4,7,3,AMAECHI Chioma Madonna,NA,1992-03-02,NA,NA,A,+75 kg Women,0,1,290,100,-104,-104,100,130,137,-141,137,237
5,3,6,SALADIN TOLENTINO Veronica Estela,NA,1992-05-21,NA,NA,A,+75 kg Women,0,1,290,100,106,-110,106,123,131,-136,131,237
6,5,7,AYOVI CABEZAS Lisseth Betzaida,NA,1998-08-07,NA,NA,A,+75 kg Women,0,1,290,95,101,-106,101,120,125,-130,125,226
7,6,8,PELIGRIN Odeisis,NA,1990-01-01,NA,NA,A,+75 kg Women,0,1,290,96,-100,100,100,122,-128,-128,122,222
8,10,4,CORTEZ GARCIA Elizabeth Del Rosario,NA,1983-08-01,NA,NA,A,+75 kg Women,0,1,290,86,-92,-96,86,130,136,-139,136,222
9,8,9,CAMPOSECO HERNANDEZ Astrid Roxana,NA,1991-04-27,NA,NA,A,+75 kg Women,0,1,290,86,90,-94,90,110,115,-120,115,205
10,11,10,RODRIGUEZ MIRANDA Keyshla Ivette,NA,1991-11-15,NA,NA,A,+75 kg Women,0,1,290,78,85,-87,85,102,109,112,112,197
11,9,11,MATAMALA ARAYA Nicol Valeska,NA,1988-08-07,NA,NA,A,+75 kg Women,0,1,290,-80,80,87,87,100,107,110,110,197
12,12,12,RAMOS Fatima,NA,1991-11-20,NA,NA,A,+75 kg Women,0,1,290,68,73,76,76,90,95,100,100,176
13,13,13,EDWARDS Kristin Camille A,NA,1986-05-31,NA,NA,A,+75 kg Women,0,1,290,60,-65,65,65,77,82,-86,82,147
14,14,14,MONTERO MATA Isabel Cristina,NA,1994-12-23,NA,NA,A,+75 kg Women,0,1,290,50,-55,55,55,60,NA,NA,60,115
NA,NA,NA,BUENO PLACENCIA Gladis Guadalupe,NA,1994-02-12,NA,NA,A,+75 kg Women,1,1,290,103,107,110,NA,130,-136,136,NA,NA
1,1,2,ARROYO VALDEZ Jorge David,NA,1991-09-23,NA,NA,A,105 kg Men,0,1,290,175,-180,180,180,200,205,-212,205,385
2,2,3,WILSON Ian Burdick,NA,1994-01-08,NA,NA,A,105 kg Men,0,1,290,-167,167,173,173,200,-212,-212,200,373
3,3,6,GREGORIO MACHADO Mateus Filipe,NA,1993-07-05,NA,NA,A,105 kg Men,0,1,290,-167,167,-174,167,192,197,-206,197,364
4,10,1,CISNERO DIAZ Alejandro,NA,1987-03-30,NA,NA,A,105 kg Men,0,1,290,151,-165,-165,151,190,200,206,206,357
5,7,4,FAMILIA CHECO Jose Andres,NA,1990-11-24,NA,NA,A,105 kg Men,0,1,290,150,156,-161,156,190,200,-205,200,356
6,6,5,DAVIS Andrew Michael,NA,1990-09-23,NA,NA,A,105 kg Men,0,1,290,154,158,-162,158,195,198,-203,198,356
7,4,7,GONZALEZ BARRIOS Jesus Abrahan,NA,1991-04-22,NA,NA,A,105 kg Men,0,1,290,160,-168,-168,160,190,-195,-196,190,350
8,5,9,MCKNEE Ivorn Preston,NA,1981-05-14,NA,NA,A,105 kg Men,0,1,290,158,-163,-163,158,190,-196,-205,190,348
9,8,8,MARTE Keven,NA,1992-03-04,NA,NA,A,105 kg Men,0,1,290,150,155,-160,155,180,185,190,190,345
10,9,10,GARCIA BUSTOS Jorge Eduardo,NA,1987-04-22,NA,NA,A,105 kg Men,0,1,290,140,151,154,154,177,185,-191,185,339
11,12,11,PAVON FUNES Cristopher Joel,NA,1993-04-18,NA,NA,A,105 kg Men,0,1,290,-133,-133,133,133,170,175,-178,175,308
12,11,13,LEMUS CALANCHE Gilberto Antonio,NA,1994-02-04,NA,NA,A,105 kg Men,0,1,290,130,-135,135,135,158,163,-165,163,298
13,14,12,VALENCIA MONTESINOS Alex Dario,NA,1986-04-14,NA,NA,A,105 kg Men,0,1,290,120,-130,-130,120,160,168,-172,168,288
14,15,14,MARRA CALABRIA Rodrigo Sebastian,NA,1994-11-10,NA,NA,A,105 kg Men,0,1,290,90,100,-116,100,120,-130,-131,120,220
NA,13,NA,SALAS MONTERO Paul Johan,NA,1996-06-29,NA,NA,A,105 kg Men,0,1,290,115,122,-131,122,-145,-145,-145,NA,NA
NA,NA,NA,PEREZ Junior,NA,1986-02-14,NA,NA,A,105 kg Men,0,1,290,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,VASQUEZ HERNANDEZ Candida,NA,1992-12-02,NA,NA,A,48 kg Women,0,1,290,74,77,79,79,93,-96,96,96,175
2,1,3,SILVESTRE SOSA Georgina Marieli,NA,1991-09-15,NA,NA,A,48 kg Women,0,1,290,75,77,79,79,91,-94,94,94,173
3,5,2,BURGOS ORTIZ Lely Berlitt,NA,1985-06-06,NA,NA,A,48 kg Women,0,1,290,70,73,-76,73,91,95,-97,95,168
4,4,4,KING Morghan Whitney,NA,1985-10-08,NA,NA,A,48 kg Women,0,1,290,71,73,75,75,90,92,-95,92,167
5,3,5,SEGURA SEGURA Ana Iris,NA,1991-07-26,NA,NA,A,48 kg Women,0,1,290,72,75,76,76,-90,90,-94,90,166
6,7,6,LOPEZ RIVERA Jenniffer Katherine,NA,1990-11-20,NA,NA,A,48 kg Women,0,1,290,63,67,70,70,85,-90,90,90,160
7,6,7,REXROAD Kelly Elizabeth,NA,1978-03-30,NA,NA,A,48 kg Women,0,1,290,70,-72,-72,70,-87,87,-90,87,157
8,8,9,DA SILVA Lumma R.,NA,1990-01-26,NA,NA,A,48 kg Women,0,1,290,64,67,-70,67,84,-87,-87,84,151
9,9,8,MURCIA VARGAS Genesis Nohemy,NA,1990-09-18,NA,NA,A,48 kg Women,0,1,290,-63,63,65,65,80,83,85,85,150
10,10,10,RIOS MENDOZA Maria Leonor,NA,1993-01-13,NA,NA,B,48 kg Women,0,1,290,60,63,-65,63,78,-81,81,81,144
11,12,11,REYNOSO LOPEZ DE GALEANO Margoth Y.,NA,1989-02-25,NA,NA,B,48 kg Women,0,1,290,58,-62,-62,58,75,78,-80,78,136
12,13,12,DE LEON VALDEZ Astrid Carolina,NA,1995-03-05,NA,NA,B,48 kg Women,0,1,290,54,57,-59,57,-75,75,-78,75,132
13,14,13,CUEVA URIBE Fiorella Francesca,NA,1998-02-04,NA,NA,B,48 kg Women,0,1,290,48,51,53,53,70,-73,73,73,126
14,11,14,MERCADO LOPEZ Scarleth Elizabeth,NA,1996-08-09,NA,NA,B,48 kg Women,0,1,290,50,55,58,58,67,-73,-73,67,125
15,15,15,ZAMORA ALVAREZ Susana,NA,1996-10-29,NA,NA,B,48 kg Women,0,1,290,40,45,-51,45,50,57,-62,57,102
1,1,2,CONTRERAS Yuderqui Maridalia,NA,1986-03-27,NA,NA,A,53 kg Women,0,1,290,88,93,97,97,110,-113,-113,110,207
2,3,1,VILLAR BARBOZA Rusmeris,NA,1983-03-28,NA,NA,A,53 kg Women,0,1,290,-83,83,-86,83,105,110,-113,110,193
3,2,5,DOS REIS SANTOS Rosane,NA,1987-06-20,NA,NA,A,53 kg Women,0,1,290,78,82,85,85,94,98,-100,98,183
4,4,3,QUINONEZ MARTINEZ Vanessa,NA,1993-01-16,NA,NA,A,53 kg Women,0,1,290,78,-81,-81,78,98,101,103,103,181
5,5,4,SIERRA FIGUEROA Maria Janeth,NA,1995-03-01,NA,NA,A,53 kg Women,0,1,290,70,74,-77,74,94,100,102,102,176
6,7,7,VERON Malvina Soledad,NA,1989-06-11,NA,NA,A,53 kg Women,0,1,290,71,74,-77,74,91,-94,94,94,168
7,8,6,VERA Gabriela Yoshie,NA,1985-10-05,NA,NA,A,53 kg Women,0,1,290,-70,70,-77,70,90,-95,97,97,167
8,6,8,CONTRERAS Stephanie,NA,1986-04-25,NA,NA,A,53 kg Women,0,1,290,69,74,-77,74,-90,90,-94,90,164
9,10,9,OSORIO DE ROSALES Estebana Luz,NA,1988-06-22,NA,NA,A,53 kg Women,0,1,290,65,-70,-70,65,-85,85,89,89,154
10,11,10,GUZMAN PEREZ Gilyeliz Saned,NA,1996-10-28,NA,NA,A,53 kg Women,0,1,290,65,-68,-68,65,85,-88,-88,85,150
11,9,11,GALLEGUILLOS Antonieta N.,NA,1990-01-09,NA,NA,B,53 kg Women,0,1,290,-60,60,65,65,-75,76,81,81,146
