total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,SALIMIKORDASIABI Behdad,12833,1989-12-08,24.8,M,IRI,A,170.87,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,200,210,-215,210,241,255,NA,255,465
2,NA,NA,AI Yunan,348,1991-06-21,23.2,M,CHN,A,149.88,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,190,-195,-195,190,233,235,-245,235,425
3,NA,NA,CHEN Shih-Chieh,2845,1989-11-27,24.8,M,TPE,A,147.9,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,180,187,191,191,230,-233,233,233,424
4,NA,NA,BERSANOV Ibragim,1893,1992-10-25,21.9,M,KAZ,A,117.19,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,187,192,-197,192,218,225,230,230,422
5,NA,NA,TOYCHYYEV Hojamuhammet,14671,1992-01-16,22.7,M,TKM,A,132.56,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,-185,185,189,189,220,226,-232,226,415
6,NA,NA,EFREMOV Ivan,4023,1986-03-09,28.5,M,UZB,A,113.2,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,182,187,192,192,217,222,-230,222,414
7,NA,NA,HAM Sang Il,5489,1989-08-25,25.1,M,KOR,A,127.5,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,170,-177,-177,170,-220,-220,220,220,390
NA,NA,NA,OTA Kazuomi,10935,1986-07-01,28.2,M,JPN,A,144.72,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,175,-180,-182,175,-217,-217,-218,NA,NA
NA,NA,NA,MOULAEI Bahador,9963,1992-03-21,22.5,M,IRI,A,138.39,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,170,177,-183,177,NA,NA,NA,NA,NA
8,NA,NA,CHAO Shih-Chieh,2747,1990-08-19,24.1,M,TPE,B,139.55,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,-165,-165,167,167,-205,205,-208,205,372
9,NA,NA,ALI Mohamad,679,1980-10-03,34,M,SYR,B,117.2,+105 kg Men,0,1,297,2014 ASIAN GAMES,2014-09-19,155,-163,-163,155,200,-212,-212,200,355
