total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,SAVCHUK Antoniy,9242,1995-11-20,19.002739726027396,M,RUS,A,135.25,+105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,170,180,185,185,215,230,NA,230,415
2,2,2,IVANOV Egor,8076,1994-04-10,20.616438356164384,M,RUS,A,125.45,+105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,-161,161,170,170,199,205,NA,205,375
3,4,3,KAJDOCI Tamas,10337,1997-04-21,17.586301369863016,M,SRB,A,127.9,+105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,150,156,-160,156,185,-191,191,191,347
4,3,7,PROSHYNSKYI Mykyta,9133,1995-09-14,19.186301369863013,M,UKR,A,128.75,+105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,151,157,160,160,-185,-185,185,185,345
5,6,4,PETROV Kostadin Dimchev,8234,1994-06-25,20.40821917808219,M,BUL,A,129.1,+105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,140,145,147,147,186,-201,-201,186,333
6,7,6,AUGUSTYNIAK Krystian,9816,1996-08-26,18.23835616438356,M,POL,A,120.15,+105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,142,146,-149,146,180,185,-189,185,331
7,5,8,PAVLIUK Oleksandr,9418,1996-02-10,18.778082191780822,M,UKR,A,107.65,+105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,140,145,147,147,175,-180,181,181,328
8,8,9,BASTUG Bestami,8788,1995-03-17,19.682191780821917,M,TUR,A,112.85,+105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,110,117,-121,117,-150,150,160,160,277
NA,NA,5,BIJELIC Silvio,8303,1994-08-04,20.2986301369863,M,CRO,A,137.1,+105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,-140,-140,-140,NA,-181,186,-190,186,NA
1,1,1,LYSENKO Anastasiia,9267,1995-12-02,18.96986301369863,W,UKR,A,100.25,+75 kg Women,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,105,112,120,120,130,140,145,145,265
2,2,2,IVANOVA Dzhesika,11503,1998-10-26,16.07123287671233,W,BUL,A,75.25,+75 kg Women,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,80,85,87,87,100,105,-110,105,192
3,3,3,GYURUS Barbara,11368,1998-08-12,16.276712328767122,W,HUN,A,110.75,+75 kg Women,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,68,72,76,76,87,92,-97,92,168
NA,NA,NA,ORDZINSKA Katarzyna Iwona,8169,1994-05-23,20.4986301369863,W,POL,A,106.4,+75 kg Women,1,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,90,94,97,NA,105,-111,111,NA,NA
1,2,1,GUYDYA Marchel,8744,1995-03-03,19.720547945205478,M,RUS,A,99.9,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,165,170,175,175,212,219,-225,219,394
2,1,2,MARTIROSYAN Simon,10176,1997-02-17,17.75890410958904,M,ARM,A,104.65,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,176,180,184,184,210,-217,-217,210,394
3,3,4,SAMORAJ Jaroslaw Pawel,8213,1994-06-16,20.432876712328767,M,POL,A,101.3,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,166,171,-175,171,200,-211,-212,200,371
4,5,3,CHKHEIDZE Giorgi,10752,1997-10-30,17.06027397260274,M,GEO,A,104.45,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,157,161,164,164,195,-201,201,201,365
5,4,5,HOFMANN Matthaeus Klaus Lorant Georg,8239,1994-06-28,20.4,M,GER,A,99.5,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,158,163,166,166,188,194,198,198,364
6,7,6,KHETSURIANI Dato,10439,1997-06-05,17.463013698630135,M,GEO,A,101.55,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,145,150,153,153,183,188,192,192,345
7,6,9,FORSTER Philipp,7966,1994-02-14,20.767123287671232,M,AUT,A,104.15,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,-150,150,155,155,185,-190,190,190,345
8,8,10,SHYMCHENKO Vladyslav,8892,1995-05-10,19.534246575342465,M,UKR,A,104.15,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,142,147,151,151,180,186,-191,186,337
9,10,7,MUMMHARDT Philip,9251,1995-11-23,18.994520547945207,M,GER,A,102.45,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,138,142,145,145,177,185,191,191,336
NA,NA,8,ROMAN Andrei-Mircea,9640,1996-05-29,18.482191780821918,M,ROU,A,103.25,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,-155,-156,-156,NA,180,185,190,190,NA
10,9,11,RUIZ I VELASCO Marcos,9907,1996-10-13,18.106849315068494,M,ESP,B,103.6,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,140,145,150,150,165,-172,172,172,322
11,12,12,LUKASHUK Roman,9709,1996-06-28,18.4,M,UKR,B,104.85,105 kg Men,0,1,305,EUROPEAN JUNIOR CHAMPIONSHIPS,2014-11-21,135,-140,140,140,162,167,-170,167,307
