total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,2,1,LEE Yangjae,8633,1995-06-21,19.5,M,KOR,A,130.95,+105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,160,165,170,170,205,210,215,215,385
2,3,3,KENJAEV Davron,7514,1995-01-24,19.9,M,UZB,A,121.6,+105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,145,-150,150,150,170,180,186,186,336
3,5,2,BUTT Muhammad Nooh Dastgir,2503,1998-02-03,16.9,M,PAK,A,148.2,+105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,-135,135,140,140,175,183,190,190,330
4,4,4,NONAKA Masahiro,11164,1996-07-17,18.5,M,JPN,A,139.35,+105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,135,140,-145,140,175,-180,-187,175,315
5,6,6,ABDULATIF Aldei,93,1996-07-19,18.5,M,KUW,A,105.25,+105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,100,110,117,117,-120,120,135,135,252
6,7,5,TOYCHYYEV Nurmuhammet,15502,1998-10-25,16.2,M,TKM,A,122.15,+105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,100,-106,106,106,135,137,-141,137,243
7,9,7,AL-DARRAJI Mohammed Hadi Kadhim,525,1998-07-25,16.4,M,IRQ,A,118.6,+105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,85,95,-106,95,105,110,115,115,210
8,10,8,AL-SHAHRANI Hamad Omair A H,559,1998-10-04,16.2,M,QAT,A,109.45,+105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,40,45,-50,45,50,-55,-60,50,95
NA,1,NA,ABUBAKAROV Selimkhan,177,1997-02-18,17.9,M,KAZ,A,143,+105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,161,166,171,171,-205,-205,-205,NA,NA
NA,8,NA,TURKMAN Fazal Karim,15650,1998-06-01,16.6,M,AFG,A,127.95,+105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,100,106,-107,106,-135,-136,-136,NA,NA
1,2,1,JEONG So-Yeong,6933,1996-03-14,18.8,W,KOR,A,102.85,+75 kg Women,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,100,105,-107,105,-135,135,141,141,246
2,1,2,CHAIDEE Duangaksorn,2881,1997-08-11,17.4,W,THA,A,107.75,+75 kg Women,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,105,107,-110,107,136,139,-141,139,246
3,3,3,SHIMAMOTO Michika,14186,1995-08-22,19.4,W,JPN,A,103.3,+75 kg Women,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,85,89,-92,89,112,116,-120,116,205
4,4,4,AL-SARRAY Hadeer Naeem Ali,557,1996-09-05,18.3,W,IRQ,A,103.2,+75 kg Women,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,65,-77,-77,65,80,90,-95,90,155
5,5,5,ALMHEIRI Sara Malfi Khamis Aldehail,840,1997-07-21,17.4,W,UAE,A,85.55,+75 kg Women,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,30,35,-40,35,35,40,45,45,80
1,1,1,KANRAWANGCHAI Tinnaphop,7280,1995-07-12,19.5,M,THA,A,104.65,105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,140,150,155,155,176,187,193,193,348
2,2,2,GANIEV Azimjon,5067,1996-02-07,18.9,M,UZB,A,98.6,105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,128,133,-137,133,165,171,175,175,308
3,3,3,MOHAMMED Aljawad Ahmed,10317,1995-01-08,20,M,IRQ,A,94.2,105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,120,123,-128,123,-150,150,156,156,279
4,4,4,DUTTA Champak,4227,1995-12-30,19,M,IND,A,103.6,105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,117,-122,122,122,150,-155,155,155,277
5,5,5,SALEM Mohamed,13556,1997-01-01,18,M,UAE,A,95.1,105 kg Men,0,1,308,22nd WOMEN AND 29th MEN ASIAN JUNIOR CHAMPIONSHIPS,2015-01-01,92,100,-106,100,125,-135,135,135,235
