total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,AYOVI CABEZAS Lisseth Betzaida,1474,1998-08-07,16.7,W,ECU,A,114.62,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,100,105,-109,105,125,130,134,134,239
2,4,2,KIM Jihyeon,7547,1998-06-04,16.8,W,KOR,A,127.07,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,89,92,-96,92,120,124,130,130,222
3,2,4,SHYSHANOVA Anastasiia,13923,1998-12-02,16.3,W,UKR,A,73.56,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,88,91,94,94,101,105,108,108,202
4,3,6,NOLASCO HERNANDEZ Lizbeth Gabriela,10884,1999-07-29,15.7,W,MEX,A,74.16,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,84,89,92,92,98,-102,102,102,194
5,8,3,RUIZ VINAS Daniela Michelle,13020,1999-12-04,15.3,W,MEX,A,104.98,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,-78,78,-82,78,105,-110,110,110,188
6,6,7,KAROLAK Magdalena,7180,1999-06-01,15.8,W,POL,A,105.87,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,82,-86,86,86,95,99,102,102,188
7,7,5,RIAZANOVA Daria,12626,2000-08-24,14.6,W,RUS,A,77.99,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,75,78,81,81,98,102,105,105,186
8,5,10,MC MILLAN Shala Sherina,9600,1999-02-16,16.1,W,USA,A,129.48,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,85,90,-96,90,-91,92,NA,92,182
9,9,8,HIRECH Bouchra Fatima Zohra,6069,2000-08-22,14.6,W,ALG,A,74.24,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,68,72,74,74,88,92,95,95,169
10,10,9,SIPOS Jessica Embry,14049,1999-06-23,15.8,W,USA,A,86.4,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,71,-75,-75,71,87,92,-98,92,163
11,11,11,VARGAS VARGAS Katerin Valeska,15554,1998-01-01,17.3,W,CHI,A,88.95,+69 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,-56,56,61,61,-75,75,-80,75,136
NA,NA,NA,KAPUSTINA Tatyana,7123,1998-11-15,16.4,W,KAZ,A,85.23,+69 kg Women,1,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,103,107,110,NA,123,129,133,NA,NA
1,1,1,MEDINA ANDUEZA Josue Said,9647,1998-06-15,16.8,M,MEX,A,108.04,+94 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,145,150,-155,150,180,188,-190,188,338
2,2,3,GABUAEV Murat,4876,1998-04-07,17,M,RUS,A,108.24,+94 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,140,145,150,150,-179,179,-188,179,329
3,3,2,ELGARHY Osama Mohamed Monir Ibrahim,4249,1998-06-02,16.8,M,EGY,A,123.42,+94 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,-144,144,146,146,171,180,-187,180,326
4,4,5,GRETSA Dmitrii,5413,1999-07-08,15.7,M,RUS,A,141.95,+94 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,130,135,-140,135,163,-167,168,168,303
5,5,6,MIKOVICS Attila,9863,1998-10-20,16.5,M,HUN,A,126,+94 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,125,130,-133,130,160,165,-168,165,295
6,6,7,KAWAMURA Masaki,7256,1998-03-25,17,M,JPN,A,146.15,+94 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,118,124,127,127,158,165,-169,165,292
7,7,4,LEE Jun,8393,1999-05-25,15.9,M,KOR,A,107.01,+94 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,-110,110,-120,110,-160,160,170,170,280
8,8,8,CONTRERAS SAMPI Gerardo Yamir,3307,1999-03-26,16,M,PER,A,97.89,+94 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,82,87,90,90,103,108,113,113,203
1,2,1,GAO Yimei,4957,1999-11-20,15.4,W,CHN,A,43.88,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,62,65,67,67,80,84,88,88,155
2,1,5,KHONG My Phuong,7464,1999-07-05,15.8,W,VIE,A,43.44,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,66,68,70,70,-76,-76,76,76,146
3,3,4,ROSA FIGUEIREDO Emily,12906,1998-03-18,17.1,W,BRA,A,43.54,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,60,63,65,65,78,80,-82,80,145
4,5,2,BERRIO ZULUAGA Manuela Andrea,1975,2000-06-18,14.8,W,COL,A,43.86,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,56,59,61,61,78,-81,81,81,142
5,7,3,POPOVICI Alina-Alexandra,12037,2000-10-01,14.5,W,ROU,A,43.22,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,-58,-58,58,58,76,80,-83,80,138
6,6,6,OLESKIEWICZ Sylwia Malgorzata,11115,1999-06-23,15.8,W,POL,A,43.87,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,57,60,-62,60,68,71,75,75,135
7,8,8,CHAVAN Mohini Daryappa,2897,1999-05-20,15.9,M,IND,A,43.91,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,52,-55,55,55,65,69,-71,69,124
7,8,8,CHAVAN Mohini Daryappa,2898,1999-05-20,15.9,W,IND,A,43.91,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,52,-55,55,55,65,69,-71,69,124
8,10,7,JONES Catrin Haf,6861,1999-06-13,15.8,W,GBR,A,43.25,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,47,50,-53,50,62,66,70,70,120
9,11,9,LAHUANAMPA CASTILLO Melina Alicia,8201,1999-12-18,15.3,W,PER,A,43.5,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,45,48,50,50,59,62,65,65,115
10,9,11,CAMPOVERDE ALMEIDA Kerlly Mariuxi,2596,1998-04-28,16.9,W,ECU,A,40.15,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,47,-50,50,50,62,-65,-65,62,112
11,12,10,"NAVARRO MEJIA Maria Alejandra",10656,1998-07-03,16.8,W,NCA,A,42.42,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,45,48,-50,48,63,-67,-67,63,111
12,13,12,WANG Yi-Syuan,15886,2000-09-09,14.6,W,TPE,A,42.59,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,43,46,48,48,52,-56,-56,52,100
NA,4,NA,KARAKOL Gamze,7136,1998-12-15,16.3,W,TUR,A,43.55,44 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,63,-65,-65,63,-81,-81,-81,NA,NA
1,3,1,YANG Lijin,16237,1998-02-11,17.2,W,CHN,A,47.47,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,65,70,-74,70,87,90,-93,90,160
2,1,5,DE SOUZA FACCIOLLA FERREIRA Aline,3693,1999-06-04,15.8,W,BRA,A,47.48,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,68,71,73,73,-84,84,-88,84,157
3,2,6,OLIVEIRA MADEIRA Luana,11124,1998-01-31,17.2,W,BRA,A,47.26,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,68,70,72,72,80,-83,83,83,155
4,9,2,JIMENEZ PALECHOR Julieth Alexandra,6812,1999-03-25,16,W,COL,A,47.95,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,60,63,-65,63,85,87,89,89,152
5,5,4,SINISTERRA TORRES Yenny,14040,2000-05-04,14.9,W,COL,A,47.73,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,62,-65,65,65,77,82,85,85,150
6,7,3,CUEVA URIBE Fiorella Francesca,3429,1998-02-04,17.2,W,PER,A,47.45,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,60,63,-65,63,80,84,86,86,149
7,8,7,GUPTA Pooja,5576,1998-10-08,16.5,W,IND,A,47.71,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,-63,-63,63,63,83,-87,-87,83,146
8,4,10,PENCIU Andreea,11682,2000-09-07,14.6,W,ROU,A,47.21,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,63,65,67,67,73,76,-78,76,143
9,6,9,SEEGERT Megan Marie,13592,1998-07-07,16.8,W,USA,A,47.26,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,64,-67,-67,64,74,-78,78,78,142
10,10,8,FANG Wan-Ling,4503,1999-12-01,15.3,W,TPE,A,46.2,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,55,60,62,62,70,75,78,78,140
11,11,11,REICHARDT Hayley Marie,12504,1999-04-27,15.9,W,USA,A,46.84,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,57,59,-61,59,72,74,-76,74,133
12,12,12,JARRETT Hailee Nicole,6681,1999-12-02,15.3,W,AUS,A,47.08,48 kg Women,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,53,56,-59,56,-67,67,72,72,128
1,2,1,LE Nguyen Quoc Bao,8342,2000-01-01,15.3,M,VIE,A,49.27,50 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,-87,87,91,91,106,111,-115,111,202
2,1,2,GARAEV Zulfat,4963,2000-01-12,15.2,M,RUS,A,49.93,50 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,87,90,92,92,103,109,-111,109,201
3,4,3,GUNGOR Isa,5561,1998-09-13,16.6,M,TUR,A,49.6,50 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,83,-87,-87,83,95,-100,101,101,184
4,3,6,RIVERA BARROS Julian Javier,12686,1999-07-28,15.7,M,ECU,A,49.77,50 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,79,-83,84,84,-100,100,-105,100,184
5,5,5,SINGH Piyush,14029,1999-12-27,15.3,M,IND,A,49.68,50 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,80,-85,-85,80,-100,100,-104,100,180
6,6,4,GASTELO CARRERA George Ulises,5036,1998-02-28,17.1,M,PER,A,49.57,50 kg Men,0,1,312,2015 IWF YOUTH WORLD CHAMPIONSHIPS,2015-04-07,71,75,78,78,91,96,100,100,178
