total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,CHEMERKIN Andrei,NA,1972-02-17,NA,NA,A,+105 kg Men,0,1,316,175,185,190,190,220,230,NA,230,420
2,2,2,KRASNOV Boris,NA,1977-02-05,NA,NA,A,+105 kg Men,0,1,316,167.5,172.5,177.5,177.5,205,210,-215,210,387.5
3,3,3,JEON Sang-Guen,NA,1981-02-28,NA,NA,A,+105 kg Men,0,1,316,150,160,170,170,190,195,-205,195,365
4,5,4,YAKA Takuzo,NA,1979-02-03,NA,NA,A,+105 kg Men,0,1,316,135,-142.5,142.5,142.5,185,192.5,-197.5,192.5,335
5,6,5,YULE Stuart,NA,1976-03-15,NA,NA,A,+105 kg Men,0,1,316,-130,130,135,135,180,-185,-185,180,315
6,4,7,FOREMAN Matthew,NA,1972-07-20,NA,NA,A,+105 kg Men,0,1,316,-142.5,142.5,-150,142.5,160,167.5,NA,167.5,310
7,7,6,BILODEAU Jocelyn,NA,1975-06-17,NA,NA,A,+105 kg Men,0,1,316,130,-135,-135,130,165,170,-175,170,300
1,1,1,WANG Yanmei,NA,1978-06-27,NA,NA,A,+75 kg Women,0,1,316,115,122.5,-128,122.5,150,-161,161,161,282.5
2,2,2,DELGADO Carmenza,NA,1972-05-05,NA,NA,A,+75 kg Women,0,1,316,105,112.5,-117.5,112.5,135,-140,-140,135,247.5
3,3,3,BODAGLO Noreena,NA,1974-05-22,NA,NA,A,+75 kg Women,0,1,316,72.5,77.5,-80,77.5,90,92.5,-97.5,92.5,170
4,4,4,PAPAZOGLOU Maria,NA,1973-12-03,NA,NA,A,+75 kg Women,0,1,316,70,-75,-75,70,90,-95,-95,90,160
1,1,1,PISAREVSKIY Gleb,NA,1976-06-28,NA,NA,A,105 kg Men,0,1,316,170,180,182.5,182.5,200,210,-220,210,392.5
2,2,2,CARRIO Lorenzo,NA,1973-11-07,NA,NA,A,105 kg Men,0,1,316,150,157.5,162.5,162.5,190,197.5,202.5,202.5,365
3,3,3,SANDOR Akos,NA,1977-12-11,NA,NA,A,105 kg Men,0,1,316,155,160,-165,160,195,-202.5,-205,195,355
4,4,4,MAGOULAS Stavros,NA,1976-07-02,NA,NA,A,105 kg Men,0,1,316,155,160,-162.5,160,-192.5,-192.5,192.5,192.5,352.5
5,5,6,REED Alexis,NA,1972-12-20,NA,NA,A,105 kg Men,0,1,316,145,-152.5,-152.5,145,-175,-175,175,175,320
6,7,5,KIM Dong-Hyun,NA,1980-09-02,NA,NA,A,105 kg Men,0,1,316,140,-145,-145,140,175,180,-190,180,320
7,6,7,MURAYAMA Atsushi,NA,1978-10-19,NA,NA,A,105 kg Men,0,1,316,135,140,-142.5,140,-170,-170,170,170,310
8,8,8,ARSICH Jeremy,NA,1979-05-14,NA,NA,A,105 kg Men,0,1,316,105,-110,112.5,112.5,125,-130,-130,125,237.5
1,1,1,LIU Xiuhua,NA,1975-10-05,NA,NA,A,48 kg Women,0,1,316,80,85.5,87.5,87.5,105,110,-112.5,110,197.5
2,2,2,TURCOTTE Karine,NA,1978-08-28,NA,NA,A,48 kg Women,0,1,316,60,-62.5,62.5,62.5,75,80,82.5,82.5,145
3,3,3,KUO Mei-Fang,NA,1977-11-19,NA,NA,A,48 kg Women,0,1,316,-60,60,-65,60,80,-85,-85,80,140
4,4,4,HSU Hsueh-Fen,NA,1980-01-26,NA,NA,A,48 kg Women,0,1,316,-60,-60,60,60,80,-85,-85,80,140
5,5,5,CARELLA Nichol,NA,1979-09-22,NA,NA,A,48 kg Women,0,1,316,42.5,-45,-45,42.5,57.5,-62.5,-62.5,57.5,100
1,1,1,WANG Xiufen,NA,1974-02-20,NA,NA,A,53 kg Women,0,1,316,80,85,90,90,-110,-110,110,110,200
2,2,2,LING I-Hua,NA,1979-11-20,NA,NA,A,53 kg Women,0,1,316,-65,65,70,70,90,-95,95,95,165
3,3,3,REYES Marina,NA,1980-07-12,NA,NA,A,53 kg Women,0,1,316,67.5,70,-72.5,70,77.5,82.5,85,85,155
4,4,4,MARTINEZ Blanca,NA,1973-10-06,NA,NA,A,53 kg Women,0,1,316,67.5,-70,70,70,80,-85,-87.5,80,150
5,5,5,BROCHU Isabelle,NA,1981-07-21,NA,NA,A,53 kg Women,0,1,316,-60,60,62.5,62.5,77.5,-80,-80,77.5,140
6,6,6,SPALA Efstathia,NA,1979-04-12,NA,NA,A,53 kg Women,0,1,316,52.5,-57.5,-57.5,52.5,65,-70,-70,65,117.5
1,1,1,MENG Wenjun,NA,1976-01-25,NA,NA,A,56 kg Men,0,1,316,-115,115,-120,115,135,140,142.5,142.5,257.5
1,1,1,MENG Wenjun,NA,1976-01-25,NA,NA,A,56 kg Men,0,1,316,-115,115,-120,115,135,140,142.5,142.5,257.5
