total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,DETENAMO Itte,3400,1986-09-22,28.8,M,NRU,A,168.94,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,157,161,167,167,200,203,NA,203,370
2,2,2,LUI Lauititi,8105,1995-12-04,19.6,M,SAM,A,134.08,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,155,160,-167,160,192,202,-206,202,362
3,6,3,LITI David Andrew,7869,1996-07-11,19,M,NZL,A,144.47,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,131,135,140,140,172,177,181,181,321
4,4,4,WOOD Philip Lee,14580,1987-03-17,28.3,M,AUS,A,123.62,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,135,141,144,144,167,172,176,176,320
5,3,6,BARAKAUSKAS Andrius Julius,1461,1992-06-03,23.1,M,NZL,A,109.48,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,139,143,145,145,170,-175,-177,170,315
6,5,5,VAOGA Apineru,14093,1991-03-11,24.3,M,ASA,A,122.88,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,132,140,-144,140,164,171,-178,171,311
7,8,7,TEOIAKI Bonteatu Thomas,13522,1990-05-08,25.2,M,KIR,A,115.79,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,115,122,127,127,160,165,170,170,297
8,7,8,LAGIKULA Petelo Sanele Ireneo,7405,1995-06-07,20.1,M,NCL,A,108.3,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,-130,130,-140,130,165,-171,-171,165,295
9,9,9,LANGI Sateki,7476,1989-04-06,26.2,M,TGA,A,110.31,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,120,-125,-125,120,155,-165,-165,155,275
10,10,10,SITAGATA Malaki Atonio Jr.,12760,1999-04-11,16.2,M,ASA,A,117.46,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,-100,102,107,107,-140,140,-146,140,247
11,11,11,MAUTAMA Moses Maki Ariki,8666,2000-03-02,15.3,M,NIU,A,119.39,+105 kg Men,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,80,90,98,98,115,125,-132,125,223
1,1,1,OPELOGE Ele,10146,1985-07-11,30,W,SAM,A,134.26,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,102,108,113,113,126,131,NA,131,244
2,2,2,LAMBRECHS Tracey,7456,1985-08-27,29.9,W,NZL,A,106.9,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,-95,95,98,98,115,-125,125,125,223
3,3,3,PETERS Luisa Fatiaki Taitapu,10686,1993-06-27,22,W,COK,A,99.97,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,-94,94,-98,94,-113,-113,113,113,207
4,4,4,VAN TIENEN Belinda,14082,1986-11-04,28.7,W,AUS,A,85.99,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,86,-89,-90,86,104,107,112,112,198
5,6,5,GAFA Viivale,4365,1994-06-18,21,W,NZL,A,105.47,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,75,-80,83,83,-107,107,-112,107,190
6,5,6,TALO Orepa Rosery,13376,1999-04-12,16.2,W,ASA,A,118.08,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,80,-85,85,85,97,-102,102,102,187
7,7,7,AFALAVA Monica Taumulioalii,221,1992-03-05,23.3,W,ASA,A,118.04,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,78,82,-85,82,95,100,-106,100,182
8,8,9,TOLUGU Daisy,13663,1973-07-06,42,W,SOL,A,93.23,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,60,63,65,65,75,78,-82,78,143
9,9,8,KEVAU Serina Betty,6655,1994-12-11,20.6,W,PNG,A,75.5,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,59,-61,61,61,70,75,80,80,141
10,11,11,RATIA Tehea,11299,1985-06-22,30,W,TAH,A,91.84,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,55,-63,-65,55,70,76,-80,76,131
11,12,10,GRUNDLER Fe-Male,4898,1999-10-29,15.7,W,NRU,A,81.11,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,50,-53,53,53,70,77,-80,77,130
12,10,12,TAUHOLA Ana Poema,13469,1999-12-04,15.6,W,WLF,A,82.52,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,-55,55,56,56,65,67,70,70,126
13,14,13,TANO Motoria Vicmoria Celina Jacy,13428,2000-03-07,15.3,W,NIU,A,83.2,+75 kg Women,0,1,325,OCEANIA CHAMPIONSHIPS,2015-07-06,37,43,-45,43,45,48,-55,48,91
