total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,CARABALI QUINTERO Milton Elias,2672,1995-09-20,20.2,M,ECU,A,154.45,+105 kg Men,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,140,145,151,151,190,201,-207,201,352
2,2,2,SENI UMPIERREZ Emanuel Matias,13817,1999-01-18,16.9,M,URU,A,106.38,+105 kg Men,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,65,74,-80,74,90,100,-105,100,174
1,1,1,OLANO FASANANDO Diana Del Pilar,11252,2000-03-16,15.7,W,PER,A,81.44,+75 kg Women,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,50,55,-58,55,60,-64,64,64,119
1,1,1,ARROYO VALDEZ Dixon Bladimir,1291,1997-08-12,18.3,M,ECU,A,95.66,105 kg Men,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,125,131,138,138,153,160,165,165,303
2,2,2,MORALES GONZALEZ Brandon Alexander,10322,1998-06-12,17.5,M,CHI,A,94.98,105 kg Men,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,95,108,-118,108,125,-130,134,134,242
3,3,3,CONTRERAS SAMPI Gerardo Yamir,3352,1999-03-26,16.7,M,PER,A,95.35,105 kg Men,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,87,92,95,95,110,118,121,121,216
1,1,1,DE SOUZA FACCIOLLA FERREIRA Aline,3745,1999-06-04,16.5,W,BRA,A,47.94,48 kg Women,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,74,77,-80,77,89,92,-95,92,169
2,3,2,CAMPOVERDE ALMEIDA Angelica Mercedes,2631,1996-05-31,19.5,W,ECU,A,47.47,48 kg Women,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,66,-70,70,70,85,-89,89,89,159
3,4,3,ARAVENA VASQUEZ Allianni M.D.L.A.,1214,1999-11-25,16,W,CHI,A,47.16,48 kg Women,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,45,50,-53,50,55,-60,-60,55,105
NA,2,NA,OLIVEIRA MADEIRA Luana,11271,1998-01-31,17.9,W,BRA,A,47.56,48 kg Women,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,-75,75,-78,75,-88,-88,-89,NA,NA
1,2,1,LAURINDO MORAES Leticia Cristina,8434,1995-11-20,20.1,W,BRA,A,52.51,53 kg Women,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,-75,75,-80,75,95,98,-100,98,173
2,1,2,CARRIEL CAJAPE Stefani Jamileth,2716,1997-02-22,18.8,W,ECU,A,52.63,53 kg Women,0,1,345,SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,2015-12-09,70,73,76,76,90,95,-99,95,171
