total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,JABRIELLA Teo Samuel,11286,1998-07-06,17.166666666666668,W,MAS,A,77.7,+69 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,80,83,-85,83,-100,-100,103,103,186
2,3,2,STOWERS Feagaiga,12927,2000-11-17,14.8,W,SAM,A,103.91,+69 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,72,76,-80,76,93,96,-102,96,172
3,2,3,DJIFACK MA-ATEMKEN ZOMGOUA Rayssa,11341,1998-08-01,17.095628415300546,W,CMR,A,77.71,+69 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,-75,75,78,78,91,-92,-95,91,169
4,4,4,ANDREWS-NAHU Kanah Shenelle,13047,2001-01-18,14.63013698630137,W,NZL,A,74.42,+69 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,62,65,70,70,75,80,83,83,153
5,5,5,ELIKO Togafiti,10982,1998-02-16,17.55068493150685,W,TUV,A,86.89,+69 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,57,-61,61,61,75,-80,-80,75,136
6,6,6,TANO Motoria Vicmoria Celina Jacy,12459,2000-03-07,15.497267759562842,W,NIU,A,86.77,+69 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,40,-45,-45,40,50,54,60,60,100
1,2,1,JONES Catrin Haf,11972,1999-06-13,16.229508196721312,W,WAL,A,46.44,48 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,54,-57,-57,54,69,72,-77,72,126
2,3,2,DIVISEKARA MUDIYANSELAGE Srimali S.,12147,1999-09-19,15.961643835616439,W,SRI,A,47.2,48 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,-50,50,54,54,66,69,71,71,125
3,4,3,JARRETT Hailee Nicole,12277,1999-12-02,15.758904109589041,W,AUS,A,47.73,48 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,52,54,-56,54,66,69,-71,69,123
4,1,4,OVIA Bea,11150,1998-05-06,17.333333333333332,W,PNG,A,47.74,48 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,50,53,55,55,65,68,-70,68,123
5,5,5,JIM Saofaialo,12631,2000-06-08,15.243169398907105,W,SAM,A,46.88,48 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,40,-45,-45,40,55,-60,-63,55,95
1,1,1,SAGONE Ulina Tinaiadivila,10984,1998-02-18,17.545205479452054,W,FIJ,A,52.99,53 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,57,60,62,62,70,74,-78,74,136
2,2,2,GABELL Biatrice,11025,1998-03-09,17.491803278688526,W,SCO,A,52.54,53 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,52,54,56,56,69,71,73,73,129
3,3,3,LENT Ketty,13069,2001-01-25,14.610958904109589,W,MRI,A,52.98,53 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,50,54,-56,54,63,67,70,70,124
4,4,4,PRYOR Ellie Mai,13503,2001-10-03,13.923287671232877,W,WAL,A,52.07,53 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,49,53,-55,53,63,68,-71,68,121
5,7,5,DANIEL Ricci Pheaulika,14020,2002-08-10,13.07103825136612,W,NRU,A,51.97,53 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,-48,48,-50,48,65,-70,-70,65,113
6,6,6,LAWGUN Paige Marion Ng,11841,1999-04-10,16.404371584699454,W,NZL,A,49.79,53 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,-49,-49,49,49,58,62,-66,62,111
7,5,7,TOKITEBWA Toonga,11563,1998-11-21,16.78904109589041,W,KIR,A,51.81,53 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,48,50,-53,50,58,60,-62,60,110
8,8,8,ISAIA Sekolasitika,12698,2000-07-11,15.153005464480874,W,SAM,A,50.79,53 kg Women,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,40,-45,-45,40,55,59,-63,59,99
1,1,1,DERU Jimjang,11454,1998-10-01,16.92876712328767,M,IND,A,55.52,56 kg Men,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,97,-100,102,102,135,-141,-143,135,237
2,2,3,TALIB Talha,12170,1999-10-03,15.923287671232877,M,PAK,A,55.55,56 kg Men,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,96,99,102,102,115,-118,-118,115,217
3,3,2,RONNY Bin Jesos,10918,1998-01-19,17.627397260273973,M,MAS,A,55.55,56 kg Men,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,90,-95,-95,90,116,119,-123,119,209
4,5,5,DOGUAPE Larko,12679,2000-07-05,15.169398907103826,M,NRU,A,55.61,56 kg Men,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,75,-80,80,80,-98,98,-101,98,178
5,4,7,MEA Douglas Ao,11963,1999-06-10,16.237704918032787,M,PNG,A,55.44,56 kg Men,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,70,75,80,80,90,95,-100,95,175
6,7,4,HABOUBAKAR Siddiki,12087,1999-08-14,16.060109289617486,M,CMR,A,55.8,56 kg Men,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,70,-75,-77,70,95,102,-107,102,172
7,6,6,NYONG Unwana Peter,13222,2001-04-11,14.401639344262295,M,NGR,A,55.25,56 kg Men,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,-75,-75,75,75,90,95,-100,95,170
8,8,8,RAOBU Manuila,12824,2000-09-18,14.964383561643835,M,TUV,A,55.62,56 kg Men,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,62,65,69,69,74,-78,78,78,147
9,9,9,SIILATA Kolisi,12515,2000-04-06,15.415300546448087,M,SAM,A,54.8,56 kg Men,0,1,346,2015 COMMONWEALTH YOUTH GAMES,2015-09-05,50,55,-60,55,70,-75,-79,70,125
