total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,2,2,CHEN Shih-Chieh,2725,1989-11-27,26.4,M,TPE,A,152.4,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,182,187,191,191,231,236,241,241,432
2,3,3,TOYCHYYEV Hojamuhammet,14140,1992-01-16,24.3,M,TKM,A,144.5,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,175,185,190,190,220,230,237,237,427
3,7,1,MOULAEI Bahador,9597,1992-03-21,24.1,M,IRI,A,146.55,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,180,-185,-189,180,230,240,247,247,427
4,1,4,NURUDINOV Ruslan,10240,1991-11-24,24.4,M,UZB,A,110,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,183,188,191,191,225,230,235,235,426
5,4,5,ASAAD Man,1181,1993-11-20,22.4,M,SYR,A,142,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,170,-182,186,186,215,-227,232,232,418
6,5,6,DJANGABAEV Rustam,3617,1993-08-25,22.7,M,UZB,A,145.25,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,175,180,184,184,220,225,232,232,416
7,6,7,BAHRAMZADEH Mohsen,1421,1990-08-13,25.7,M,IRI,A,116.3,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,180,-185,-189,180,210,221,-229,221,401
8,9,8,LEE Jaesang,7820,1994-09-11,21.6,M,KOR,A,129.8,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,160,170,-175,170,210,220,-231,220,390
9,8,10,CHINEN Kosuke,2823,1996-01-06,20.3,M,JPN,A,144.4,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,160,167,174,174,190,202,-209,202,376
10,10,9,MURAKAMI Eishiro,9722,1995-08-08,20.7,M,JPN,A,128.25,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,155,-165,165,165,190,200,205,205,370
11,11,11,BUTT Muhammad Nooh Dastgir,2240,1998-02-03,18.2,M,PAK,A,149.5,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,150,157,-161,157,200,-209,-209,200,357
12,12,12,GURDEEP Singh,5164,1995-10-01,20.6,M,IND,B,146.45,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,154,-159,-161,154,187,195,-202,195,349
13,13,13,WANG Yu-Hsiang,14841,1995-06-11,20.9,M,TPE,B,124.4,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,135,140,145,145,188,-196,-196,188,333
14,15,14,TOYCHYYEV Nurmuhammet,14141,1998-10-25,17.5,M,TKM,B,141.15,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,125,-131,131,131,156,-168,168,168,299
15,14,15,AWAJAN Mohammad Ahmad Mohammad,1310,1991-03-17,25.1,M,JOR,B,108.75,+105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,131,-137,137,137,160,-167,-167,160,297
NA,NA,NA,DOLGALEV Sergei,3652,1992-11-11,23.4,M,KGZ,B,132.3,+105 kg Men,1,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,155,165,170,NA,185,200,205,NA,NA
NA,NA,NA,MARZOQ Adham Badr Masood,8838,1986-11-11,29.4,M,YEM,B,121.3,+105 kg Men,1,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,130,-141,-141,NA,-155,-155,-155,NA,NA
1,2,1,KIM Kuk Hyang,7042,1993-04-20,23,W,PRK,A,98,+75 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,122,127,131,131,-160,160,-162,160,291
2,1,2,PULSABSAKUL Chitchanok,11375,1993-11-04,22.5,W,THA,A,120.2,+75 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,128,132,-134,132,155,-158,-160,155,287
3,3,3,KHENJANTUEK Praeonapa,6932,1992-07-30,23.7,W,THA,A,149.3,+75 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,97,101,105,105,128,132,-135,132,237
4,4,4,SHIMAMOTO Michika,12933,1995-08-22,20.7,W,JPN,A,100.1,+75 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,90,93,-96,93,112,116,120,120,213
5,5,5,OTAKUZIYEVA Omadoy,10546,1996-04-04,20,W,UZB,A,75.05,+75 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,88,92,-95,92,-110,-110,110,110,202
6,6,6,PANWAR Sushila,10737,1993-12-01,22.4,W,IND,A,75.2,+75 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,80,85,90,90,100,-106,-106,100,190
7,7,7,ERDENEBAT Bilegsaikhan,3998,1998-09-16,17.6,W,MGL,A,78.2,+75 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,83,-86,-86,83,93,-96,96,96,179
8,8,8,ALMHEIRI Sara Malfi Khamis Aldehail,745,1997-07-21,18.8,W,UAE,B,94.4,+75 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,45,50,53,53,60,65,-70,65,118
9,9,9,ALHELALI Hamda,632,1994-01-12,22.3,W,UAE,B,81.3,+75 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,35,-40,40,40,50,55,-58,55,95
1,3,1,BARARI Mohammadreza,1521,1988-03-31,28.1,M,IRI,A,104.45,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,172,176,180,180,210,217,221,221,401
2,1,3,EFREMOV Ivan,3849,1986-03-09,30.1,M,UZB,A,104.55,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,180,-183,183,183,203,211,-215,211,394
3,6,2,DUSMUROTOV Sardorbek,3794,1993-03-13,23.1,M,UZB,A,104.25,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-165,-168,168,168,218,-222,-222,218,386
4,5,4,GHADAMI Kia,4714,1991-01-26,25.2,M,IRI,A,104,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,168,-172,-173,168,208,-213,-214,208,376
5,7,5,JUGHELI Ahed,6438,1982-10-10,33.5,M,SYR,A,104.75,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,160,168,-173,168,201,-214,-216,201,369
6,8,6,HSIEH Wei-Chun,5788,1983-08-14,32.7,M,TPE,A,103.05,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,154,160,-163,160,190,200,-203,200,360
7,9,9,MOCHIDA Ryunosuke,9340,1993-06-18,22.8,M,JPN,A,103.8,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,150,155,-160,155,180,-184,184,184,339
NA,2,NA,ALAIFURI Salwan Jasim Abbood,526,1991-09-26,24.6,M,IRQ,A,103.3,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-175,175,181,181,-212,-213,NA,NA,NA
NA,4,NA,SEO Huiyeop,12751,1992-02-29,24.1,M,KOR,A,104.4,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,170,-175,-175,170,-216,-216,-216,NA,NA
8,11,7,HASSAN Majd,5417,1996-08-06,19.7,M,SYR,B,103.15,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,135,142,152,152,177,186,-192,186,338
9,10,8,KANRAWANGCHAI Tinnaphop,6607,1995-07-12,20.8,M,THA,B,104.55,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,145,151,153,153,185,-187,-187,185,338
10,13,10,ELISHA Louis Tan Kim Ho,3925,1992-10-23,23.5,M,MAS,B,104.4,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-140,140,-148,140,165,172,-177,172,312
11,14,11,PETERS Shanaka Madusanka,11003,1991-10-10,24.5,M,SRI,B,101.6,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,120,127,-131,127,-160,160,170,170,297
12,15,12,NOORI Abdulraouf,10177,1978-09-06,37.6,M,AFG,B,103.4,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,110,-115,115,115,135,-140,-140,135,250
NA,12,NA,TASHTANBEKOV Azat,13850,1996-05-24,19.9,M,KGZ,B,94.15,105 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,127,135,140,140,-165,NA,NA,NA,NA
1,1,3,TAN Yayun,13790,1992-11-18,23.4,W,CHN,A,47.55,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,83,86,88,88,110,-113,-113,110,198
2,5,1,RYANG Chun Hwa,12198,1991-06-12,24.9,W,PRK,A,47.75,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,81,83,85,85,-111,111,-113,111,196
3,6,2,KHAMSRI Panida,6911,1989-01-13,27.3,W,THA,A,47.45,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,81,84,-86,84,106,109,110,110,194
4,8,4,NGUYEN Thi Thuy,10073,1990-08-23,25.7,W,VIE,A,47.75,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,78,-81,82,82,-106,106,110,110,192
5,3,5,CHEN Wei-Ling,2733,1982-01-04,34.3,W,TPE,A,47.2,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,79,83,85,85,102,106,-109,106,191
7,7,6,MIRABAI Chanu Saikhom,9247,1994-08-08,21.7,W,IND,A,47.55,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-81,81,84,84,102,106,-108,106,190
8,2,10,VUONG Thi Huyen,14753,1992-06-22,23.8,W,VIE,A,47.4,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,82,85,87,87,100,-104,-104,100,187
9,9,9,KHUMUKCHAM Sanjita Chanu,6980,1994-01-02,22.3,W,IND,A,47.8,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,79,82,-84,82,-102,102,-106,102,184
6,4,7,AGUSTIANI Sri Wahyuni,286,1994-08-13,21.7,W,INA,B,47.75,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,79,83,85,85,102,-106,106,106,191
10,10,8,OKOEVA Zhanyl,10350,1993-11-15,22.4,W,KGZ,B,47.3,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,72,75,-78,75,98,-102,102,102,177
11,11,11,SETIAWATI Lisa,12795,1989-09-04,26.6,W,INA,B,47.2,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,71,-74,-74,71,91,94,96,96,167
12,12,12,DZHUMABAYEVA Yulduz,3813,1998-04-22,18,W,TKM,B,47.35,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,65,68,71,71,83,88,92,92,163
13,13,13,PEREZ Elien Rose Jorolan,10956,1998-08-28,17.7,W,PHI,B,47.4,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,62,65,-67,65,77,83,-85,83,148
14,14,14,BOLD Zolboo,1962,1997-07-12,18.8,W,MGL,B,46.95,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,57,-62,62,62,70,-76,-78,70,132
15,15,16,AL-SAEDI Najah Hashim Naser,435,1999-05-15,16.9,W,IRQ,B,47.6,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,53,58,-60,58,65,-70,-70,65,123
16,16,15,CHULUUNBAATAR Nyamzul,2940,1998-06-14,17.9,W,MGL,B,47.5,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-57,57,-62,57,65,-72,-72,65,122
17,17,17,MADANI Khalood Abdulla Essa Ahmad,8444,1996-10-07,19.5,W,UAE,B,47.75,48 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-43,43,47,47,-62,62,-65,62,109
1,1,1,CHEN Xiaoting,2740,1991-01-11,25.3,W,CHN,A,52.7,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-95,-95,96,96,116,120,125,125,221
2,2,3,ZHANG Wanqiong,15509,1994-01-21,22.3,W,CHN,A,52.5,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,85,90,95,95,113,116,-121,116,211
3,3,2,DIAZ Hidilyn,3547,1991-02-20,25.2,W,PHI,A,52.8,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-90,90,-95,90,112,115,118,118,208
4,4,4,PAKKARATHA Rattanaphon,10664,1997-06-14,18.9,W,THA,A,52.65,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,85,-88,88,88,113,115,-118,115,203
5,6,5,YOON Jin Hee,15290,1986-08-04,29.7,W,KOR,A,52.55,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,86,-90,-90,86,107,-112,-112,107,193
6,7,6,ANGGRAINI Syarah,996,1994-08-19,21.7,W,INA,A,52.55,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,83,86,-89,86,-103,103,107,107,193
7,5,7,SISOEVA Marina,13135,1993-05-30,22.9,W,UZB,A,52.7,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,83,-87,88,88,100,105,-110,105,193
8,8,10,NGUYEN Thi Huong,10064,1995-12-17,20.3,W,VIE,A,52.45,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-83,83,-88,83,100,-106,-106,100,183
9,11,8,SAFITRI Dewi,12268,1993-02-10,23.2,W,INA,A,52.45,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,78,-82,-82,78,100,104,-107,104,182
10,9,9,SUTANAN Kittima,13612,1992-05-20,23.9,W,THA,A,52.3,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,80,-83,-83,80,-100,100,-104,100,180
11,10,11,YU Weili,15334,1983-06-24,32.8,W,HKG,B,52.9,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,75,-80,80,80,-95,95,100,100,180
12,12,12,MIZUOCHI Honami,9312,1993-02-05,23.2,W,JPN,B,49.1,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,73,75,77,77,88,90,92,92,169
13,14,13,DELOS SANTOS Ma Dessa,3458,1999-11-25,16.4,W,PHI,B,53,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,70,-73,-73,70,90,92,-94,92,162
14,13,14,ITOKAZU Kanako,6096,1992-11-07,23.5,W,JPN,B,49.6,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-67,67,70,70,87,90,-92,90,160
15,15,15,ALTANGEREL Bum-Ayush,818,1998-11-28,17.4,W,MGL,B,52.3,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-68,68,-73,68,83,-90,-90,83,151
16,16,16,HADEEL Alsaedi,5230,2001-01-13,15.3,W,IRQ,B,51.8,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,58,62,65,65,72,77,80,80,145
17,17,17,SHABIRA Molla,12816,1990-01-01,26.3,W,BAN,B,52.2,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,60,-65,-65,60,65,70,-75,70,130
18,18,18,SOVETBEK KYZY Zhenishkul,13333,1998-05-09,18,W,KGZ,B,52.5,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,50,55,57,57,65,-70,-70,65,122
19,19,19,BERDYYEVA Bagul,1781,1995-05-18,20.9,W,TKM,B,52.7,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-52,52,-57,52,65,-70,-71,65,117
20,20,20,MADANI Shouq Ahmad Essa Ahmad Kamil,8445,1999-11-18,16.4,W,UAE,B,53,53 kg Women,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,33,36,-40,36,-44,44,-50,44,80
1,3,1,MENG Cheng,9097,1997-11-18,18.4,M,CHN,A,55.7,56 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,122,126,-128,126,151,-159,159,159,285
2,1,2,KRUAITHONG Sinphet,7438,1995-08-22,20.7,M,THA,A,55.55,56 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,125,127,130,130,150,154,-160,154,284
3,2,4,LI Fabin,7950,1993-01-15,23.3,M,CHN,A,55.6,56 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,121,-126,126,126,142,-147,147,147,273
4,4,3,COLONIA Nestor,3034,1992-02-16,24.2,M,PHI,A,55.5,56 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-120,120,-125,120,148,-153,-153,148,268
5,8,5,NGUYEN Tran Anh Tuan,10084,1998-02-22,18.2,M,VIE,A,55.8,56 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,-112,-112,113,113,140,-144,144,144,257
6,5,7,PURKON Muhamad,11382,1990-04-23,26,M,INA,A,55.6,56 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,115,-120,-122,115,140,-143,-143,140,255
7,12,6,TAN Chi Chung,13787,1990-02-24,26.2,M,TPE,A,55.8,56 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,110,-115,-115,110,137,143,-145,143,253
9,6,11,SETIADI Jadi,12792,1985-02-02,31.2,M,INA,A,55.5,56 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,110,-113,113,113,-130,130,-135,130,243
10,11,10,TAMAYOSE Tomohiro,13779,1992-06-18,23.8,M,JPN,A,55.75,56 kg Men,0,1,353,2016 ASIAN CHAMPIONSHIPS,2016-04-22,105,110,-115,110,125,132,-136,132,242
