total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,4,1,LEE Jaesang,8377,1994-09-11,22.172602739726027,M,KOR,A,131.3,+105 kg Men,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,155,165,-171,165,215,221,NA,221,386
2,1,3,HWANG Wooman,9009,1995-07-12,21.339726027397262,M,KOR,A,127.4,+105 kg Men,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,160,170,180,180,190,205,-214,205,385
3,3,2,BUDEK Przemyslaw,6501,1992-04-04,24.610958904109587,M,POL,A,117.06,+105 kg Men,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,160,165,168,168,200,210,-217,210,378
4,6,4,MURAKAMI Eishiro,9064,1995-08-08,21.265753424657536,M,JPN,A,127.36,+105 kg Men,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,150,160,-167,160,190,195,201,201,361
5,2,8,TATARCIK Radoslav,6449,1992-03-08,24.684931506849313,M,SVK,A,108.4,+105 kg Men,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,166,172,-176,172,185,188,-191,188,360
6,5,7,OSUNA LOPEZ Luis Alfredo,4998,1989-08-08,27.265753424657536,M,MEX,A,119.5,+105 kg Men,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,155,161,-165,161,181,186,190,190,351
7,8,5,MANRIQUEZ COLLINS Raul Enrique,10314,1997-04-09,19.5972602739726,M,MEX,A,172.7,+105 kg Men,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,-150,-150,150,150,-190,190,196,196,346
8,7,6,PAGLIERY Javier Patricio,8031,1994-03-17,22.660273972602738,M,USA,A,125.04,+105 kg Men,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,142,-148,150,150,183,-190,195,195,345
9,9,10,SACCENTE Nicholas James,6703,1992-08-05,24.273972602739725,M,USA,A,130.78,+105 kg Men,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,147,-153,-153,147,-183,185,-195,185,332
10,10,9,BENCSIK Miklos,4764,1989-02-04,27.773224043715846,M,CAN,A,121.34,+105 kg Men,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,140,145,-150,145,-185,185,-195,185,330
1,1,1,MASCORRO OSUNA Tania Guadalupe,4643,1988-11-24,27.969945355191257,W,MEX,A,109.02,+75 kg Women,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,110,114,-118,114,138,143,-147,143,257
2,2,2,KLINGSEIS Marissa Eileen,8943,1995-06-07,21.435616438356163,W,USA,A,101.72,+75 kg Women,0,1,367,2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS,2016-11-13,105,-107,107,107,137,-142,142,142,249
