total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,BENITEZ RIVERA Ashamarie,1961,2000-06-02,17.4,W,USA,A,119.9,+75 kg Women,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,92,97,101,101,120,125,-130,125,226
2,2,2,MANUMUA Kuinini Juanita Mechteld,9466,2000-12-12,16.9,W,USA,A,99.4,+75 kg Women,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,93,96,100,100,118,124,-127,124,224
3,3,3,ANANGONO PADILLA Emily Yajaira,1050,2000-12-24,16.8,W,ECU,A,96.6,+75 kg Women,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,90,95,99,99,115,-121,-121,115,214
4,6,4,CASTRO ABAD Angie Milagritos,2777,2001-09-02,16.2,W,PER,A,87.3,+75 kg Women,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,70,-74,76,76,95,100,104,104,180
5,5,6,BATISTA FERNANDEZ Mariadni Malvina,1805,2002-05-29,15.4,W,PAN,A,78.3,+75 kg Women,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,75,78,80,80,92,-95,95,95,175
6,8,5,UCELO MARROQUIN Scarleth Vanessa,15616,2000-04-07,17.6,W,GUA,A,97.5,+75 kg Women,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,68,-73,-73,68,95,98,-101,98,166
7,7,7,DA SILVA NASCIMENTO Mariana,3537,2000-08-01,17.2,W,BRA,A,87.6,+75 kg Women,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,67,71,73,73,87,-91,-91,87,160
NA,4,NA,RODRIGUEZ Noemi,13063,2002-06-25,15.3,W,MEX,A,96.8,+75 kg Women,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,90,94,-98,94,-115,-115,NA,NA,NA
1,2,1,ESCUDERO NAJERA Carlos Emilio,4485,2001-11-16,15.9,M,ECU,A,128.1,+94 kg Men,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,130,-135,-136,130,-161,161,172,172,302
2,1,2,CASTRO GIL Armando,2781,2000-12-08,16.9,M,COL,A,94.8,+94 kg Men,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,125,131,135,135,150,155,-162,155,290
3,3,3,VANCHIASONG Komgmong,15836,2000-06-22,17.4,M,USA,A,101.2,+94 kg Men,0,1,404,PAN-AMERICAN YOUTH CHAMPIONSHIPS,2017-10-28,119,124,128,128,139,144,148,148,276
