total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,ELGARHY Osama Mohamed Monir Ibrahim,3954,1998-06-02,19.8,M,EGY,A,136.8,+105 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,160,170,-174,170,-195,-195,198,198,368
2,2,2,ALATI Muayid Asmaeil Mohammed,548,1999-07-06,18.7,M,LBA,A,117.15,+105 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,105,112,-120,112,125,130,135,135,247
3,3,3,BEDIAR Mohcen,1684,2001-02-09,17.1,M,ALG,A,105.8,+105 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,87,92,-97,92,110,115,120,120,212
4,4,4,IRWAYSAT Mahmoud Mustafa Alfijri,6117,2001-10-04,16.5,M,LBA,A,128.25,+105 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,78,87,92,92,106,112,-120,112,204
1,1,1,ALI Aia Abdelfattah Mohyeldin,646,2000-01-02,18.2,W,EGY,A,116.05,+90 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,75,85,-92,85,95,-110,-110,95,180
1,1,1,ABDELAZIZ Mohamed Abdelrahman M,47,1998-04-07,20,M,EGY,A,104.25,105 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,151,157,-161,157,190,198,NA,198,355
2,2,2,TOUAIRI Aymen,14249,1998-09-11,19.5,M,ALG,A,101,105 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,150,156,-160,156,-190,191,-197,191,347
3,3,3,JUBOO Khelwin,6493,2002-06-27,15.7,M,MRI,A,104.25,105 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,95,100,-106,100,130,-140,-140,130,230
4,4,4,ALJALI Aboubakr,699,2001-03-26,17,M,LBA,A,95.25,105 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,75,80,85,85,85,92,-100,92,177
5,5,5,ROUX Hendriquo,12201,2003-09-02,14.6,M,RSA,A,102,105 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,52,-57,-57,52,62,67,72,72,124
1,1,1,ALLAHELDIN Radwa,715,2001-01-01,17.2,W,EGY,A,48,48 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,55,57,62,62,71,-78,78,78,140
2,2,2,SABRI Nour El Houda,12343,2003-04-28,14.9,W,ALG,A,47.8,48 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,45,50,54,54,60,65,68,68,122
3,4,3,BEN ISSA Yossra,1751,2001-09-16,16.5,W,TUN,A,47.5,48 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,46,-51,51,51,62,66,-69,66,117
4,3,4,NTUMI Winnifred,10293,2002-09-28,15.5,W,GHA,A,44.6,48 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,48,52,-55,52,55,59,-62,59,111
5,5,5,SOULMABA MAZOM Colette,13441,2000-03-22,18,W,CMR,A,48,48 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,40,45,-50,45,52,-60,-62,52,97
1,1,1,RAMADAN Asmaal,11631,2000-07-25,17.7,W,EGY,A,52.5,53 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,68,-73,-73,68,84,88,-91,88,156
2,2,2,BELOUNIS Nihad,1742,2003-01-09,15.2,W,ALG,A,52.75,53 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,50,55,57,57,65,70,73,73,130
3,3,3,DEROUICHE Chaima,3529,2001-10-16,16.4,W,TUN,A,52.6,53 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,48,52,55,55,58,62,64,64,119
1,1,1,ASHOUR Salama,1210,2000-01-01,18.2,M,EGY,A,55.65,56 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,85,92,96,96,111,117,-121,117,213
2,2,5,ABU HAMED Abdelmalek Ali Abdullah,151,2001-01-24,17.2,M,LBA,A,55.25,56 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,71,76,-78,76,90,95,-99,95,171
3,3,4,FARQUHAR James Connor,4223,2002-03-18,16,M,RSA,A,55.35,56 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,70,-75,-78,70,87,92,96,96,166
4,4,3,HABOUBAKAR Siddiki,5279,1999-08-14,18.6,M,CMR,A,55.75,56 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,67,-72,-72,67,-98,-98,98,98,165
5,5,6,KGASWANE Kgotla Alphius N,6918,2000-07-07,17.7,M,BOT,A,55.1,56 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,60,-64,-64,60,76,78,82,82,142
6,6,7,LUTAAYA Hamdan Sserwanga,8455,2002-01-07,16.2,M,UGA,A,49.5,56 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,47,52,-56,52,-61,66,-67,66,118
NA,NA,2,CHETIOUI Abdelraouf,2816,1999-04-12,18.9,M,ALG,A,55.6,56 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,-82,-82,-82,NA,107,113,-118,113,NA
1,1,1,LANDOULSI Nouha,7753,1998-05-05,19.9,W,TUN,A,56.5,58 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,86,90,-94,90,-110,110,115,115,205
2,2,2,SAID Neama Said Fahmi,12403,2002-11-15,15.4,W,EGY,A,57.7,58 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,77,82,85,85,93,98,101,101,186
3,3,3,RAHMOUNI Chaima,11591,2001-03-25,17,W,TUN,A,57.1,58 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,66,-71,71,71,85,90,93,93,164
4,4,5,OWUSU Sandra Mensimah,10683,2002-07-08,15.7,W,GHA,A,56.65,58 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,58,62,-65,62,72,76,-80,76,138
5,5,4,SI ALI Ahlem,13118,2001-01-28,17.1,W,ALG,A,57.75,58 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,-53,53,-57,53,70,77,-80,77,130
NA,NA,6,MOYENGWA Magdeline,9703,2001-03-31,17,W,BOT,A,55.9,58 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,-55,-55,-55,NA,60,-65,-65,60,NA
1,1,1,ELTAMADI Ahmed Abdelghani Said,3984,1999-01-16,19.2,M,EGY,A,61.6,62 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,110,115,120,120,142,-148,-150,142,262
2,2,2,CHEKHCHOUKH Ahmed,2708,2001-02-18,17.1,M,ALG,A,61.8,62 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,-95,-95,95,95,126,-131,-134,126,221
3,3,3,ADJETEY Abraham Adjei,221,2003-08-23,14.6,M,GHA,A,60.1,62 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,78,81,85,85,100,105,-108,105,190
4,4,5,BIN SAEID Salih Mihriz Salih,1901,2001-08-04,16.6,M,LBA,A,60.2,62 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,75,80,84,84,90,-95,95,95,179
5,5,6,NKUUTU Lawrence,10234,2002-02-02,16.1,M,UGA,A,60.95,62 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,70,75,79,79,90,-95,95,95,174
6,6,4,DJIBRINE AHMAT Saleh,3652,2001-09-16,16.5,M,CMR,A,60.75,62 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,70,75,-80,75,-95,95,-100,95,170
1,1,1,BELKHIR Ghofrane,1734,2001-08-11,16.6,W,TUN,A,59.15,63 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,85,90,92,92,105,110,NA,110,202
2,2,2,AHMED Esraa Elsayed Rashed Elsayed,318,1998-11-21,19.3,W,EGY,A,62.65,63 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,83,88,-92,88,101,-106,-106,101,189
3,3,3,LENT Ketty,7954,2001-01-25,17.2,W,MRI,A,61.5,63 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,65,70,72,72,81,86,90,90,162
4,4,4,BELBACHIR Djanet Halima,1722,2002-03-22,16,W,ALG,A,62.05,63 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,60,65,71,71,80,-85,-85,80,151
5,5,5,HYENG Renee Manuela,5974,2002-06-03,15.8,W,CMR,A,59.35,63 kg Women,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,-50,52,57,57,-60,60,65,65,122
1,1,1,HASSAN Hossan,5468,1998-06-07,19.8,M,EGY,A,68.8,69 kg Men,0,1,417,2018 AFRICAN JUNIOR CHAMPIONSHIPS,2018-03-23,116,-120,-120,116,134,140,143,143,259
