total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,3,1,AN Yong-Kwon,1056,1982-10-15,27.1,M,KOR,A,142.23,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,-198,198,-206,198,233,240,247,247,445
2,2,2,UDACHYN Artem,15755,1980-03-26,29.7,M,UKR,A,158.9,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,195,-200,200,200,231,238,245,245,445
3,1,7,SHYMECHKO Ihor,14324,1986-05-27,23.5,M,UKR,A,133.82,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,197,202,-206,202,-223,225,-230,225,427
4,5,4,ELSAYED Abdelrahman Mohamed A. A.,4407,1989-05-19,20.5,M,EGY,A,122.15,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,180,185,-187,185,-225,225,230,230,415
5,7,5,MASSOUD Mohamed Ehsan Attia,9754,1984-01-11,25.9,M,EGY,A,149.38,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,-180,180,185,185,225,230,-234,230,415
6,6,6,VELAGIC Almir,16065,1981-08-22,28.2,M,GER,A,133.72,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,-185,185,-190,185,223,228,-231,228,413
7,8,3,KOZLOV Andrey,8175,1982-09-27,27.1,M,RUS,A,145.75,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,180,-188,-188,180,220,231,-235,231,411
NA,4,NA,SCERBATIHS Viktors,13906,1974-06-10,35.4,M,LAT,A,134.52,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,195,-200,-200,195,NA,NA,NA,NA,NA
8,13,8,ORSAG Jiri,11555,1989-01-05,20.9,M,CZE,B,122.95,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,170,-175,-177,170,210,-216,218,218,388
9,11,9,JUDGE Patrick,7130,1986-03-06,23.7,M,USA,B,157.25,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,160,166,171,171,205,212,217,217,388
10,12,10,SUDAS Bunyamin,14895,1975-08-23,34.2,M,TUR,B,116.95,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,170,-175,-175,170,205,211,216,216,386
11,14,13,SOBOTKA Petr,14576,1975-04-30,34.6,M,CZE,B,151.79,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,170,-175,-175,170,205,211,-213,211,381
12,15,14,DETENAMO Itte,3916,1986-09-22,23.2,M,NRU,B,152.93,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,165,170,-174,170,206,211,-215,211,381
13,9,15,TURMANIDZE Irakli,15718,1984-12-13,24.9,M,GEO,B,112.24,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,165,170,175,175,-200,200,205,205,380
14,16,12,KOBALADZE George,7967,1976-05-24,33.5,M,CAN,B,125.05,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,160,-166,166,166,205,-212,212,212,378
15,17,11,CHEN Shih-Chieh,3049,1989-11-27,20,M,TPE,B,131.47,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,162,-171,-171,162,207,216,-220,216,378
16,10,16,HOCKING Corran,6282,1980-07-29,29.3,M,AUS,B,151,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,173,-177,-177,173,195,-200,-200,195,368
17,18,17,ROININEN Teemu Tapio,13210,1986-07-10,23.4,M,FIN,B,141.26,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,-142,142,-147,142,-183,183,-190,183,325
NA,NA,NA,DOLEGA Daniel,4077,1988-12-16,20.9,M,POL,B,107.92,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,-175,-175,-175,NA,NA,NA,NA,NA,NA
NA,NA,NA,GYLLEHAMMAR Jim,5800,1978-12-26,30.9,M,SWE,B,128.82,+105 kg Men,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,-170,-170,-170,NA,NA,NA,NA,NA,NA
1,2,1,JANG Mi-ran,6849,1983-10-09,26.1,W,KOR,A,115.04,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,-131,131,136,136,-174,174,187,187,323
2,1,2,KASHIRINA Tatiana,7424,1991-01-24,18.8,W,RUS,A,90.9,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,130,135,138,138,160,165,-168,165,303
3,3,3,MENG Suping,10033,1989-07-17,20.3,W,CHN,A,113.95,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,125,131,-135,131,165,-173,-173,165,296
4,4,4,OPELOGE Ele,11512,1985-07-11,24.4,W,SAM,A,122.32,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,-120,120,-126,120,-145,-145,145,145,265
5,6,5,USMAN Maryam,15847,1990-11-09,19,W,NGR,A,126.16,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,105,110,115,115,135,-140,145,145,260
6,8,6,LEE Huisol,8624,1989-08-27,20.2,W,KOR,A,115.89,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,110,-115,-121,110,140,-150,-150,140,250
7,7,8,DOVHAL Yuliya,4146,1983-06-02,26.5,W,UKR,A,90.24,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,110,-114,-115,110,130,134,-136,134,244
8,11,7,IBRAHIEM MOHAMED Afaf,6586,1989-02-05,20.8,W,EGY,A,97.33,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,-100,100,105,105,135,-140,-140,135,240
NA,5,NA,RAMADAN MOHAMED Nahla,12705,1985-04-04,24.6,W,EGY,A,97.01,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,115,-118,118,118,-140,NA,NA,NA,NA
9,9,9,UCAR Ummuhan,15749,1986-01-01,23.9,W,TUR,B,89.65,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,98,103,106,106,129,-133,133,133,239
10,10,11,SCHOPPE Kathleen,13931,1982-12-16,26.9,W,GER,B,93.37,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,99,103,105,105,-128,128,132,132,237
11,14,10,ROBLES Sarah Elizabeth,13109,1988-08-01,21.3,W,USA,B,120.83,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,-97,97,100,100,128,133,-138,133,233
12,13,12,SILVA HEREDIA Tania Irasema,14371,1986-10-25,23.1,W,MEX,B,103.15,+75 kg Women,0,1,41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,98,102,-104,102,-125,125,130,130,232
