total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,DAVRONOVA Dolera,13554,2001-11-03,16.46027397260274,W,UZB,A,90.2,+75 kg Women,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,90,95,97,97,117,123,-127,123,220
2,2,2,PARK Subin,13050,2001-01-19,17.24931506849315,W,KOR,A,101.8,+75 kg Women,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,90,94,-96,94,-113,113,-118,113,207
3,3,3,OCHILOVA Shodmonoy,13006,2001-01-04,17.29041095890411,W,UZB,A,83.75,+75 kg Women,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,85,88,91,91,105,109,-117,109,200
4,4,4,YAO Yu-Syuan,13018,2001-01-08,17.279452054794522,W,TPE,A,88.45,+75 kg Women,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,80,-86,86,86,95,106,-110,106,192
5,5,5,BAHTYYAROVA Sangiza,13389,2001-07-23,16.742465753424657,W,TKM,A,79.4,+75 kg Women,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,70,73,-74,73,90,93,-96,93,166
6,6,6,GANBOLD Nasandulam,13275,2001-05-07,16.953424657534246,W,MGL,A,87.5,+75 kg Women,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,55,60,-63,60,60,67,74,74,134
7,7,7,MIRZAKI Seyedehnarges,14097,2002-10-12,15.520547945205479,W,IRI,A,80.75,+75 kg Women,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,40,46,51,51,47,53,58,58,109
1,1,1,YOUSEFI Alireza,14436,2003-08-27,14.646575342465754,M,IRI,A,160,+94 kg Men,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,136,141,144,144,176,186,-195,186,330
2,2,2,SAIDAKHROROV Saidmukhtor,13628,2001-12-25,16.317808219178083,M,UZB,A,94.45,+94 kg Men,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,135,139,143,143,170,175,-185,175,318
3,3,3,ASADI Reza,13304,2001-05-29,16.893150684931506,M,IRI,A,101.55,+94 kg Men,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,133,137,142,142,163,-172,172,172,314
4,4,4,JANG Hyejun,13591,2001-12-01,16.383561643835616,M,KOR,A,101.3,+94 kg Men,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,135,138,-143,138,-170,170,-173,170,308
5,7,5,HSU Chi-Chuan,13234,2001-04-16,17.01095890410959,M,TPE,A,111.45,+94 kg Men,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,-120,120,-127,120,-155,155,162,162,282
6,6,6,ALRADHI Hassan Asaad M,13089,2001-02-03,17.208219178082192,M,KSA,A,106.35,+94 kg Men,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,110,117,122,122,-135,135,-140,135,257
7,8,7,BHANDARI Sagar,13560,2001-11-07,16.44931506849315,M,NEP,A,103.95,+94 kg Men,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,87,91,95,95,115,120,-123,120,215
NA,5,NA,DAYIYEV Atajan,13890,2002-05-20,15.917808219178083,M,TKM,A,102.95,+94 kg Men,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,-123,123,-127,123,-147,-147,-147,NA,NA
1,1,1,ABDULLAEVA Nigora,14700,2004-05-13,13.936986301369863,W,UZB,A,43.75,44 kg Women,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,62,65,67,67,76,79,81,81,148
2,2,2,NGUYEN Thi Thu Trang,14357,2003-06-03,14.87945205479452,W,VIE,A,43.6,44 kg Women,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,63,66,-68,66,74,78,-80,78,144
3,3,4,VO Thi Kim Thoa,14600,2004-01-23,14.238356164383562,W,VIE,A,43.6,44 kg Women,0,1,420,2018 ASIAN YOUTH CHAMPIONSHIPS,2018-04-20,63,-66,-67,63,73,77,-80,77,140
