total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,MOHAMMADZADEHDIZABADI Arman,10263,1998-08-20,19.7,M,IRI,A,137.4,+105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,155,160,-170,160,189,196,203,203,363
2,4,2,RAEISINAFCHI Mohammadhossein,12529,1998-03-04,20.1,M,IRI,A,109.13,+105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,138,146,151,151,180,191,199,199,350
3,2,4,HAKIM Laith,5779,1998-06-24,19.8,M,SYR,A,141.7,+105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,153,-156,156,156,183,-192,-198,183,339
4,3,3,KEMALOV Shakhmerdan,7471,1999-09-30,18.6,M,UZB,A,138.1,+105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,145,151,154,154,185,-192,-192,185,339
5,5,5,TEJPAL Singh Sandhu,15180,1998-12-25,19.3,M,IND,A,135.65,+105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,130,-135,135,135,162,169,-173,169,304
6,6,7,ALFAWAR Mohammed Noor H,686,1999-10-21,18.5,M,KSA,A,131.1,+105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,120,127,131,131,-150,151,-160,151,282
7,7,6,HSU Chi-Chuan,6368,2001-04-16,17,M,TPE,A,111.45,+105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,-120,120,-127,120,-155,155,162,162,282
1,1,1,LEE Seon Mi,8583,2000-08-01,17.7,W,KOR,A,116.8,+90 kg Women,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,110,115,120,120,135,-145,-145,135,255
2,2,2,DAVRONOVA Dolera,3698,2001-11-03,16.5,W,UZB,A,90.2,+90 kg Women,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,90,95,97,97,117,123,-127,123,220
3,3,3,CHANG Yu-Hsuan,2908,1999-11-20,18.4,W,TPE,A,95,+90 kg Women,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,85,89,-93,89,106,113,-120,113,202
NA,4,NA,ASHWINI Rajendra Malage,1366,1998-08-24,19.7,W,IND,A,103.65,+90 kg Women,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,81,84,-88,84,-105,-105,-105,NA,NA
1,1,1,DJURAEV Akbar,4008,1999-10-08,18.5,M,UZB,A,102.2,105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,160,166,170,170,191,197,202,202,372
2,2,4,HWANG Sangun,6495,2000-09-10,17.6,M,KOR,A,100.95,105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,161,167,-171,167,190,-201,-201,190,357
3,3,3,AZIZI Amir,1523,1999-01-09,19.3,M,IRI,A,104,105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,156,162,-168,162,191,-200,-201,191,353
4,7,2,TRAN Dinh Thang,15441,1999-05-03,19,M,VIE,A,102.1,105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,140,146,-150,146,190,195,-200,195,341
5,5,5,ZAREPOUR Alireza,16859,1998-05-24,19.9,M,IRI,A,100.95,105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,150,-155,-156,150,165,183,-192,183,333
6,6,6,LIN Sheng-Lun,8815,2000-01-22,18.2,M,TPE,A,104.1,105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,140,147,-153,147,180,-191,-191,180,327
7,8,7,TUNG Ming-Chang,15561,2000-07-28,17.7,M,TPE,A,103.75,105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,115,125,-135,125,155,162,168,168,293
NA,4,NA,CHOI I Ho,3180,1998-02-28,20.1,M,KOR,A,101.75,105 kg Men,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,148,-156,156,156,-182,-191,-192,NA,NA
1,1,1,FANG Wan-Ling,4600,1999-12-01,18.4,W,TPE,A,47.6,48 kg Women,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,76,80,82,82,95,100,102,102,184
2,4,3,DALABEHERA Jhilli,3574,1999-02-03,19.2,W,IND,A,47.85,48 kg Women,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,67,70,73,73,87,90,93,93,166
3,5,2,DZHUMABAYEVA Yulduz,4226,1998-04-22,20,W,TKM,A,47.6,48 kg Women,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,71,-74,-74,71,-90,93,-96,93,164
4,6,4,PHAM Dinh Thi,12051,2001-10-05,16.5,W,VIE,A,47.65,48 kg Women,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,69,-74,-74,69,88,92,-94,92,161
5,3,5,KHONG My Phuong,7621,1999-07-05,18.8,W,VIE,A,47.35,48 kg Women,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,71,74,75,75,80,85,-88,85,160
6,7,7,BATNASAN Tungalag,1815,1999-07-07,18.8,W,MGL,A,47.35,48 kg Women,0,1,421,2018 ASIAN JUNIOR CHAMPIONSHIPS,2018-04-20,63,68,-71,68,82,-86,-87,82,150
