total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,CABRERA Maria,2529,1988-10-22,20.4,W,ESP,A,47.6,48 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,60,0,0,0,76,136
2,NA,NA,BONNAMANT Melanie Isabelle,2214,1992-05-30,16.8,W,FRA,A,47.8,48 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,57,0,0,0,73,130
3,NA,NA,STARCKOVA Eva,14625,1987-08-25,21.6,W,CZE,A,47.7,48 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,55,0,0,0,68,123
4,NA,NA,MAVROMMATI Maria,9746,1993-03-30,16,W,GRE,A,47,48 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,45,0,0,0,60,105
NA,NA,NA,ZAORSKA Agnieszka,16841,1900-01-01,109.2,W,POL,A,42,48 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,45,0,0,0,55,100
1,NA,NA,KARPINSKA Marzena,7334,1988-02-19,21.1,W,POL,A,49,53 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,76,0,0,0,92,168
2,NA,NA,BENTELI Konstantina,1972,1993-08-24,15.6,W,GRE,A,51.8,53 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,65,0,0,0,72,137
3,NA,NA,ROJAS Dania,13101,1991-01-01,18.2,W,ESP,A,52.8,53 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,58,0,0,0,70,128
1,NA,NA,PRZEPIORKIEWICZ Maciej,12398,1987-11-14,21.3,M,POL,A,56,56 kg Men,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,98,0,0,0,125,223
2,NA,NA,ZEREBKOVS Artjoms,16901,1993-10-05,15.4,M,LAT,A,55.4,56 kg Men,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,95,0,0,0,116,211
3,NA,NA,CASTRO MARINO Victor,2784,1992-12-18,16.2,M,ESP,A,55.6,56 kg Men,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,97,0,0,0,114,211
4,NA,NA,KONDZIOLKA Marcin,7980,1988-01-01,21.2,M,POL,A,55.7,56 kg Men,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,88,0,0,0,112,200
1,NA,NA,LOCHOWSKA Joanna,8933,1988-11-17,20.3,W,POL,A,54,58 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,85,0,0,0,100,185
2,NA,NA,ROWINSKA Malwina,13209,1986-11-06,22.4,W,POL,A,55,58 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,75,0,0,0,100,175
3,NA,NA,PREON ANNE Lydie,12348,1986-01-01,23.2,W,FRA,A,57.3,58 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,68,0,0,0,86,154
4,NA,NA,HUGENOT Aurore,6434,1992-01-01,17.2,W,FRA,A,57.6,58 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,70,0,0,0,82,152
5,NA,NA,EMBACHER Jessica,4385,1990-01-01,19.2,W,AUT,A,57,58 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,61,0,0,0,77,138
6,NA,NA,AGELI Sofia,276,1990-01-01,19.2,W,GRE,A,53.8,58 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,60,0,0,0,75,135
7,NA,NA,MARTINEZ SANTIAGO Irene,9622,1993-09-14,15.5,W,ESP,A,57.9,58 kg Women,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,58,0,0,0,67,125
1,NA,NA,WISNIEWSKI Damian,16365,1986-11-23,22.3,M,POL,A,61.7,62 kg Men,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,123,0,0,0,142,265
2,NA,NA,HERNANDEZ MENDOZA Acoran Juan,6112,1990-12-30,18.2,M,ESP,A,61.8,62 kg Men,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,116,0,0,0,130,246
3,NA,NA,CAESEMAEKER Kevin Franck,2540,1986-10-13,22.4,M,FRA,A,60.8,62 kg Men,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,108,0,0,0,132,240
4,NA,NA,KATSOULIDIS Panayotis,7385,1987-05-13,21.8,M,GRE,A,61.6,62 kg Men,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,108,0,0,0,125,233
5,NA,NA,DELGADO Juan,3820,1991-01-01,18.2,M,ESP,A,61.5,62 kg Men,0,1,42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,0,0,0,105,0,0,0,125,230
