total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,"NARIN Dilara",9908,2002-03-17,16.3,W,TUR,A,75.5,+75 kg Women,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,-85,85,-90,85,105,NA,NA,105,190
2,4,2,BOROS Viktoria,2015,2001-07-22,17,W,HUN,A,86.4,+75 kg Women,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,-80,80,-83,80,95,100,-102,100,180
3,3,4,SREDZINSKA Oliwia Irena,13364,2001-04-23,17.2,W,POL,A,82.15,+75 kg Women,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,78,-81,81,81,94,96,-98,96,177
4,2,6,BLANCO TARELA Irene,1921,2002-01-12,16.5,W,ESP,A,82.65,+75 kg Women,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,80,82,84,84,-90,90,-94,90,174
5,5,3,YALCIN Nuran,15118,2002-08-09,16,W,TUR,A,106.9,+75 kg Women,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,73,77,-81,77,93,97,-101,97,174
6,8,5,KOMOROWSKA Martyna,7271,2001-06-28,17.1,W,POL,A,95.6,+75 kg Women,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,68,71,-73,71,-92,94,-97,94,165
7,6,8,SALPIKIDOU Anna,12390,2002-11-17,15.7,W,GRE,A,89.55,+75 kg Women,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,-74,74,-78,74,85,87,90,90,164
8,7,7,CORSALE Desiree,3089,2001-05-25,17.2,W,ITA,A,89.3,+75 kg Women,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,-67,67,72,72,80,86,90,90,162
9,10,9,HERNANDEZ NUNEZ Maria De Los Angeles,5553,2003-02-18,15.4,W,ESP,A,104.5,+75 kg Women,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,60,-63,63,63,77,81,85,85,148
10,9,10,CRNJAC Ana,3133,2002-10-03,15.8,W,CRO,A,100.15,+75 kg Women,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,63,65,-67,65,78,-81,-81,78,143
1,1,2,HRISTOV Hristo,5764,2001-04-27,17.2,M,BUL,A,107.7,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,160,165,166,166,190,198,-203,198,364
2,2,1,KUWORGE Enzo,7570,2001-08-31,16.9,M,NED,A,140.25,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,155,-161,-161,155,197,202,-205,202,357
3,3,4,TABATADZE Tornike,13697,2001-02-10,17.4,M,GEO,A,131.45,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,143,147,-156,147,170,-177,177,177,324
4,5,3,ACAR Cebrail,168,2001-08-15,16.9,M,TUR,A,110.35,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,135,141,145,145,166,171,178,178,323
5,6,5,ZIELINSKI Jakub,15580,2001-06-17,17.1,M,POL,A,120.35,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,135,140,144,144,165,170,-174,170,314
6,4,6,PASIKOWSKI Olaf Jan,10826,2001-07-19,17,M,POL,A,130.5,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,141,-145,146,146,165,-169,-172,165,311
7,7,9,TALAKHADZE Akaki,13759,2001-07-29,17,M,GEO,A,103.85,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,133,138,142,142,-161,161,-170,161,303
8,8,8,STONKUS Karolis,13460,2001-04-12,17.3,M,LTU,A,115.8,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,119,124,128,128,159,164,-168,164,292
9,10,7,MIHALESCU Florin,9186,2001-03-31,17.3,M,ROU,A,109.4,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,120,125,-128,125,157,165,-170,165,290
10,9,10,WYKRET Tomas,15061,2001-04-13,17.3,M,CZE,A,116.5,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,120,126,-128,126,155,160,-167,160,286
12,12,12,LUCZ Levente,8330,2002-03-12,16.4,M,HUN,A,102.8,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,105,110,112,112,130,137,140,140,252
NA,13,NA,SZOKOLAI Laszlo Adam,13679,2001-02-23,17.4,M,HUN,A,159.8,+94 kg Men,0,1,433,2018 EUROPEAN YOUTH CHAMPIONSHIPS,2018-07-22,-100,100,105,105,-115,-115,-115,NA,NA
