total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,2,WILKES Caine Morgan,15080,1987-07-10,31.7,M,USA,A,146.43,+109 kg Men,0,0,449,Las Vegas International Open,2019-03-07,165,172,178,178,200,210,217,217,395
2,2,1,NONAKA Masahiro,10257,1996-07-17,22.6,M,JPN,A,148.13,+109 kg Men,0,0,449,Las Vegas International Open,2019-03-07,165,170,-173,170,210,219,-226,219,389
3,3,3,CHINEN Kosuke,2849,1996-01-06,23.2,M,JPN,A,143.62,+109 kg Men,0,0,449,Las Vegas International Open,2019-03-07,170,175,-180,175,200,-212,212,212,387
4,5,4,RIGSBY Sean Michael,11919,1988-10-17,30.4,M,IRL,A,120.56,+109 kg Men,0,0,449,Las Vegas International Open,2019-03-07,125,130,-135,130,175,-182,182,182,312
NA,4,NA,EVERETT Quinn,4133,1992-11-22,26.3,M,CAN,A,148.22,+109 kg Men,0,0,449,Las Vegas International Open,2019-03-07,140,-145,145,145,-193,-193,-193,NA,NA
NA,NA,NA,WITTE Keiser,15127,1995-03-15,24,M,USA,A,141.8,+109 kg Men,0,0,449,Las Vegas International Open,2019-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,KITTS Wesley Brian,7206,1990-05-22,28.8,M,USA,A,112.96,+109 kg Men,0,0,449,Las Vegas International Open,2019-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,BROWN Mercy Opeyemi,2152,1996-06-20,22.7,W,GBR,A,95.34,+87 kg Women,0,0,449,Las Vegas International Open,2019-03-07,92,96,98,98,-120,120,128,128,226
2,2,2,MANUMUA Kuinini Juanita Mechteld,8740,2000-12-12,18.2,W,TGA,A,107.44,+87 kg Women,0,0,449,Las Vegas International Open,2019-03-07,90,95,-98,95,-115,116,-124,116,211
1,1,1,DAMRON Nathan,3281,1996-05-06,22.8,M,USA,A,98.3,102 kg Men,0,0,449,Las Vegas International Open,2019-03-07,-150,150,-155,150,191,-200,200,200,350
2,2,2,HARTMAN Travis Keifer,5431,1991-12-31,27.2,M,USA,A,101.15,102 kg Men,0,0,449,Las Vegas International Open,2019-03-07,-140,-140,140,140,-170,-170,170,170,310
NA,NA,NA,OSORIO Dangelo Antoinne,10615,1993-10-13,25.4,M,USA,A,100.4,102 kg Men,0,0,449,Las Vegas International Open,2019-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,1,VIERA ESPINOZA Hernan Moises,14779,1993-01-16,26.1,M,PER,A,106.33,109 kg Men,0,0,449,Las Vegas International Open,2019-03-07,-140,140,145,145,-191,191,200,200,345
2,1,2,DUER Thomas H,3788,1986-07-11,32.7,M,USA,A,108.3,109 kg Men,0,0,449,Las Vegas International Open,2019-03-07,-146,146,-152,146,180,-186,-190,180,326
3,2,3,THOMPSON Drake Edwin,14092,1994-09-13,24.5,M,USA,A,106.71,109 kg Men,0,0,449,Las Vegas International Open,2019-03-07,145,-150,-152,145,-180,-180,180,180,325
1,1,1,LIM Nicole Anne,8101,1986-10-10,32.4,W,USA,A,45,45 kg Women,0,0,449,Las Vegas International Open,2019-03-07,60,-60,-60,60,75,-80,80,80,140
1,1,1,BRADDOCK Amanda Melissa,2083,1989-02-10,30.1,W,CAN,A,48.83,49 kg Women,0,0,449,Las Vegas International Open,2019-03-07,67,71,75,75,89,92,95,95,170
2,3,2,CUEVA URIBE Fiorella Francesca,3192,1998-02-04,21.1,W,PER,A,47.09,49 kg Women,0,0,449,Las Vegas International Open,2019-03-07,62,-65,65,65,87,90,-93,90,155
3,2,3,LANDEROS LOPEZ Katherine Ignacia,7751,1991-01-19,28.1,W,CHI,A,48.16,49 kg Women,0,0,449,Las Vegas International Open,2019-03-07,62,65,-67,65,80,-85,85,85,150
1,1,1,KOBASHIGAWA Brey Jutaro,7266,1994-12-08,24.2,M,USA,A,54.83,55 kg Men,0,0,449,Las Vegas International Open,2019-03-07,100,103,-107,103,125,130,-135,130,233
1,1,1,LEBLANC-BAZINET Rachel,7850,1988-10-10,30.4,W,CAN,A,54.8,55 kg Women,0,0,449,Las Vegas International Open,2019-03-07,80,-84,84,84,104,-107,107,107,191
2,2,2,SANDI PIZANGO Tessy Karen,12573,1996-11-20,22.3,W,PER,A,54.55,55 kg Women,0,0,449,Las Vegas International Open,2019-03-07,72,75,78,78,95,100,103,103,181
NA,NA,3,LEMMEN Stephanie Kristin,7944,1988-09-05,30.5,W,USA,A,54.9,55 kg Women,0,0,449,Las Vegas International Open,2019-03-07,-83,-83,-83,NA,99,-102,-102,99,NA
NA,NA,NA,RITCHEY Alyssa Lynn,11942,1989-04-14,29.9,W,USA,A,53.65,55 kg Women,0,0,449,Las Vegas International Open,2019-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,BRAMWELL Kaija Francesca,2090,1997-07-14,21.6,W,USA,A,58.58,59 kg Women,0,0,449,Las Vegas International Open,2019-03-07,82,-85,86,86,105,-109,109,109,195
2,2,4,"NA Christine Yejou",9874,1989-10-03,29.4,W,USA,A,58.83,59 kg Women,0,0,449,Las Vegas International Open,2019-03-07,-82,82,-86,82,102,106,-109,106,188
3,3,5,HOGAN Caitlin Leigh,5720,1988-05-22,30.8,W,USA,A,56.79,59 kg Women,0,0,449,Las Vegas International Open,2019-03-07,75,78,81,81,95,100,105,105,186
NA,NA,1,LEBLANC BAZINET Camille,7849,1988-10-10,30.4,W,USA,A,58.88,59 kg Women,0,0,449,Las Vegas International Open,2019-03-07,-85,-85,-85,NA,-108,108,111,111,NA
NA,NA,3,MCLENDON JUMPER Sarabeth Elizabeth,9060,1987-02-10,32.1,W,USA,A,58.94,59 kg Women,0,0,449,Las Vegas International Open,2019-03-07,-88,-89,-89,NA,106,-109,-111,106,NA
NA,NA,NA,TURNER Taylor Nicole,14408,1997-05-26,21.8,W,USA,A,58.83,59 kg Women,0,0,449,Las Vegas International Open,2019-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,ROJAS CONCHA Marcos Antonio,12102,1995-06-02,23.8,M,PER,A,60.9,61 kg Men,0,0,449,Las Vegas International Open,2019-03-07,105,110,113,113,-140,140,-145,140,253
2,1,2,REISENAUER Brian James,11788,1988-10-25,30.4,M,USA,A,60.65,61 kg Men,0,0,449,Las Vegas International Open,2019-03-07,110,114,-117,114,-135,135,-140,135,249
1,1,1,CHARRON Maude G,2670,1993-04-28,25.9,W,CAN,A,63.45,64 kg Women,0,0,449,Las Vegas International Open,2019-03-07,-94,94,97,97,115,119,123,123,220
2,2,2,ELAM Hunter Nicole,3939,1995-08-12,23.6,W,USA,A,64,64 kg Women,0,0,449,Las Vegas International Open,2019-03-07,91,-94,-96,91,112,-116,-116,112,203
3,4,3,LUCERO Jessica Marie,8391,1989-09-26,29.4,W,USA,A,61.6,64 kg Women,0,0,449,Las Vegas International Open,2019-03-07,85,88,-91,88,100,105,110,110,198
4,5,4,GAAB Marissa Christine,4536,1991-07-12,27.7,W,USA,A,63.4,64 kg Women,0,0,449,Las Vegas International Open,2019-03-07,84,-87,87,87,106,109,-112,109,196
5,3,6,POPE Kristin,11335,1989-06-22,29.7,W,USA,A,63.85,64 kg Women,0,0,449,Las Vegas International Open,2019-03-07,88,90,-92,90,105,-109,-110,105,195
6,6,5,SIEMENS Rachel Anne,13127,1989-11-14,29.3,W,CAN,A,63.6,64 kg Women,0,0,449,Las Vegas International Open,2019-03-07,86,-88,-88,86,105,108,-111,108,194
7,7,7,LEISHMAN Anjeanette,7937,1992-07-17,26.6,W,USA,A,63.95,64 kg Women,0,0,449,Las Vegas International Open,2019-03-07,78,81,-84,81,-102,-102,103,103,184
1,1,1,WISSINGER Jordan,15122,1997-04-23,21.9,M,USA,A,66.74,67 kg Men,0,0,449,Las Vegas International Open,2019-03-07,122,-127,-130,122,150,155,165,165,287
1,2,1,LAYLOR Maya,7829,1995-07-04,23.7,W,CAN,A,70.47,71 kg Women,0,0,449,Las Vegas International Open,2019-03-07,94,-97,-98,94,115,120,-123,120,214
2,3,2,ISHII Miku,6126,1998-03-30,20.9,W,JPN,A,69.61,71 kg Women,0,0,449,Las Vegas International Open,2019-03-07,91,93,-95,93,-112,112,116,116,209
3,4,3,COOPER Kaitlyn Dawn,3089,1998-01-19,21.1,W,USA,A,70.79,71 kg Women,0,0,449,Las Vegas International Open,2019-03-07,-93,-93,93,93,115,-117,-117,115,208
4,1,4,SEAMON Jillian Marie,12788,1990-06-14,28.7,W,USA,A,70.75,71 kg Women,0,0,449,Las Vegas International Open,2019-03-07,-92,92,95,95,109,-115,-115,109,204
1,1,1,FREVE-GUERIN Edouard,4481,1996-01-05,23.2,M,CAN,A,72.48,73 kg Men,0,0,449,Las Vegas International Open,2019-03-07,-120,-120,120,120,150,154,156,156,276
2,2,2,SSEMPEREZA Hakim Musoke,13498,1995-04-10,23.9,M,UGA,A,70.71,73 kg Men,0,0,449,Las Vegas International Open,2019-03-07,105,110,115,115,135,140,145,145,260
NA,NA,NA,LEE Alex,7860,1988-11-18,30.3,M,USA,A,70.37,73 kg Men,0,0,449,Las Vegas International Open,2019-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,ROGERS Martha,12090,1995-08-23,23.5,W,USA,A,71.75,76 kg Women,0,0,449,Las Vegas International Open,2019-03-07,103,106,NA,106,-133,133,-136,133,239
2,2,2,NGARLEM Kristel,10110,1995-07-20,23.6,W,CAN,A,74.95,76 kg Women,0,0,449,Las Vegas International Open,2019-03-07,93,96,-100,96,123,128,-133,128,224
3,3,3,RIEGER Patricia,11911,1987-08-25,31.5,W,GER,A,75.1,76 kg Women,0,0,449,Las Vegas International Open,2019-03-07,-93,94,-98,94,112,116,-120,116,210
4,4,4,HARRIS Tayler Jordon,5421,1987-12-19,31.2,W,USA,A,75.15,76 kg Women,0,0,449,Las Vegas International Open,2019-03-07,-88,89,-94,89,-113,-113,113,113,202
