total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,SOUMAYA Fatnassi,13826,1980-02-13,29.4,W,TUN,A,52.46,53 kg Women,0,1,44,MEDITERRANEAN GAMES,2009-06-26,81,-84,84,84,-101,103,-110,103,187
2,3,3,LACHAUME ANDRIEUX Virginie C. R.,7903,1980-03-21,29.3,W,FRA,A,51.13,53 kg Women,0,1,44,MEDITERRANEAN GAMES,2009-06-26,76,79,-81,79,95,-100,100,100,179
3,4,4,PAGLIARO Genny Caterina,11037,1988-10-15,20.7,W,ITA,A,51.5,53 kg Women,0,1,44,MEDITERRANEAN GAMES,2009-06-26,78,-80,-82,78,-98,98,-101,98,176
4,5,5,GUERRERO GONZALEZ Abigail,5310,1978-07-18,30.9,W,ESP,A,52.76,53 kg Women,0,1,44,MEDITERRANEAN GAMES,2009-06-26,78,-80,-80,78,95,-99,-99,95,173
NA,2,NA,ABDELRAHMAN Donia Mohamed,68,1990-03-15,19.3,W,EGY,A,52.89,53 kg Women,0,1,44,MEDITERRANEAN GAMES,2009-06-26,-80,80,-83,80,-95,0,0,NA,NA
NA,NA,6,DIK Soumia,3728,1988-10-19,20.7,W,MAR,A,48.67,53 kg Women,0,1,44,MEDITERRANEAN GAMES,2009-06-26,-52,-52,-52,NA,-65,-65,65,65,NA
NA,NA,2,BILGIN Emine,1956,1984-07-15,24.9,W,TUR,A,53,53 kg Women,0,1,44,MEDITERRANEAN GAMES,2009-06-26,-80,-81,-82,NA,100,-102,102,102,NA
NA,NA,NA,TAYLAN Nurcan,14399,1983-10-29,25.7,W,TUR,A,51.88,53 kg Women,1,1,44,MEDITERRANEAN GAMES,2009-06-26,85,88,90,NA,105,109,112,NA,NA
1,1,1,EL MAOUI Khalil,4067,1988-09-12,20.8,M,TUN,A,55.76,56 kg Men,0,1,44,MEDITERRANEAN GAMES,2009-06-26,114,116,121,121,137,141,145,145,266
2,2,5,ARTUC Sedat,1225,1976-06-09,33,M,TUR,A,55.9,56 kg Men,0,1,44,MEDITERRANEAN GAMES,2009-06-26,-111,111,115,115,135,-139,-139,135,250
