total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,2,1,LALAYAN Varazdat,7442,1999-05-01,20.1,M,ARM,A,142.75,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,175,183,192,192,220,227,-235,227,419
2,1,3,DAVOUDI Ali,3245,1999-03-22,20.2,M,IRI,A,150,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,180,-191,193,193,-225,225,-233,225,418
3,4,2,YOUSEFI Alireza,14876,2003-08-27,15.8,M,IRI,A,150,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,156,163,171,171,212,225,-233,225,396
4,3,4,HANZENKO Oleh,5178,1999-12-10,19.5,M,UKR,A,149.6,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,167,-172,172,172,200,207,-211,207,379
5,5,6,HSIEH Yun-Ting,5615,1999-08-08,19.8,M,TPE,A,126.9,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,-170,170,-173,170,200,-210,-214,200,370
6,6,5,DING Fengshan,3486,2001-01-28,18.3,M,CHN,A,150,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,160,165,168,168,190,197,202,202,370
7,7,8,ABRAMOVICH Kiryl,142,2000-12-31,18.4,M,BLR,A,135.15,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,155,161,164,164,192,-197,197,197,361
8,10,9,WEGRZYN Jakub,14456,1999-07-28,19.8,M,POL,A,132.35,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,158,-162,-163,158,187,189,-197,189,347
9,11,7,YOKOYAMA Taiga,14840,1999-04-20,20.1,M,JPN,A,150,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,140,-150,150,150,180,187,197,197,347
10,9,10,KAPLAN Yildiray,6433,2000-04-19,19.1,M,TUR,A,123.6,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,-160,160,-164,160,180,-186,186,186,346
11,8,12,TABATADZE Tornike,13302,2001-02-10,18.3,M,GEO,A,141.1,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,152,160,-169,160,180,-185,-187,180,340
12,12,11,MIYAGI Masayoshi,9033,1999-02-04,20.3,M,JPN,A,136,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,135,142,146,146,175,180,185,185,331
NA,NA,13,ORACKO Dominik,10155,2003-01-07,16.4,M,CZE,A,144.5,+109 kg Men,0,0,457,2019 IWF Junior World Championships,2019-06-01,-150,-150,-150,NA,175,-182,-183,175,NA
1,2,1,LEE Seon Mi,7619,2000-08-01,18.8,W,KOR,A,121.3,+87 kg Women,0,0,457,2019 IWF Junior World Championships,2019-06-01,-120,-123,123,123,150,153,-160,153,276
2,1,2,STOWERS Feagaiga,13076,2000-11-17,18.5,W,SAM,A,116.2,+87 kg Women,0,0,457,2019 IWF Junior World Championships,2019-06-01,117,121,124,124,146,-151,151,151,275
3,3,4,BENITEZ RIVERA Ashamarie,1700,2000-06-02,19,W,USA,A,128.95,+87 kg Women,0,0,457,2019 IWF Junior World Championships,2019-06-01,100,105,108,108,132,137,-142,137,245
4,4,3,DALALYAN Arpine,3139,1999-02-18,20.3,W,ARM,A,119.05,+87 kg Women,0,0,457,2019 IWF Junior World Championships,2019-06-01,-101,101,-105,101,135,140,-145,140,241
5,6,5,MC MILLAN Shala Sherina,8707,1999-02-16,20.3,W,USA,A,132.45,+87 kg Women,0,0,457,2019 IWF Junior World Championships,2019-06-01,95,-99,99,99,125,130,-135,130,229
6,7,6,KAROLAK Magdalena,6490,1999-06-01,20,W,POL,A,128.8,+87 kg Women,0,0,457,2019 IWF Junior World Championships,2019-06-01,93,96,98,98,125,129,-132,129,227
7,5,9,FIAPULE Lesila,4177,2001-10-22,17.6,W,SAM,A,107,+87 kg Women,0,0,457,2019 IWF Junior World Championships,2019-06-01,93,97,100,100,123,-130,-130,123,223
8,8,8,ANANGONO PADILLA Emily Yajaira,889,2000-12-24,18.4,W,ECU,A,98.8,+87 kg Women,0,0,457,2019 IWF Junior World Championships,2019-06-01,-93,93,-98,93,115,120,124,124,217
9,9,7,SON Huijeong,12897,2000-06-14,19,W,KOR,A,89.65,+87 kg Women,0,0,457,2019 IWF Junior World Championships,2019-06-01,90,-95,-95,90,115,122,126,126,216
