total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,PINEDA CAMARGO Emir Rigoberto,13130,2001-02-23,18.328767123287673,M,MEX,A,168.7,+109 kg Men,0,0,463,Pan-American Junior Championships,2019-06-23,131,136,140,140,163,166,173,173,313
2,2,2,HELOU Marcos Eliseo,13539,2001-10-26,17.65753424657534,M,ARG,A,136.7,+109 kg Men,0,0,463,Pan-American Junior Championships,2019-06-23,130,135,-140,135,-165,165,-172,165,300
1,1,1,CHAVERRA MOSQUERA Anlly Paola,12113,1999-09-02,19.805479452054794,W,COL,A,117.6,+87 kg Women,0,0,463,Pan-American Junior Championships,2019-06-23,100,103,-105,103,126,130,-133,130,233
2,2,3,ANANGONO PADILLA Emily Yajaira,12971,2000-12-24,18.495890410958904,W,ECU,A,99.6,+87 kg Women,0,0,463,Pan-American Junior Championships,2019-06-23,95,99,102,102,118,122,126,126,228
3,4,2,MC MILLAN Shala Sherina,11743,1999-02-16,20.34794520547945,W,USA,A,131,+87 kg Women,0,0,463,Pan-American Junior Championships,2019-06-23,94,-98,-98,94,122,126,-129,126,220
4,3,5,DUVERGER PILETA Eyurkenia,12172,1999-10-04,19.71780821917808,W,CUB,A,94.3,+87 kg Women,0,0,463,Pan-American Junior Championships,2019-06-23,95,99,101,101,118,-122,-122,118,219
5,5,4,CORREA MENA Dalia Beatriz,11702,1999-01-28,20.4,W,CUB,A,97.3,+87 kg Women,0,0,463,Pan-American Junior Championships,2019-06-23,90,-94,94,94,120,125,-127,125,219
6,6,6,MILLER Mackenzie,12551,2000-04-25,19.161202185792348,W,USA,A,120.3,+87 kg Women,0,0,463,Pan-American Junior Championships,2019-06-23,-87,87,90,90,112,116,-122,116,206
7,7,7,NUNEZ GONZALEZ Moyra Paola M,12935,2000-11-22,18.583561643835615,W,CHI,A,115.8,+87 kg Women,0,0,463,Pan-American Junior Championships,2019-06-23,-77,77,83,83,100,105,109,109,192
1,1,1,TAN Heaverth,11723,1999-02-07,20.372602739726027,M,USA,A,101.3,102 kg Men,0,0,463,Pan-American Junior Championships,2019-06-23,134,138,140,140,175,182,190,190,330
2,2,2,GOVEA SANDOVAL Antonio Jose,13576,2001-11-17,17.5972602739726,M,MEX,A,98.5,102 kg Men,0,0,463,Pan-American Junior Championships,2019-06-23,130,135,139,139,161,167,-173,167,306
