total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,2,1,EVERETT Quinn,3965,1992-11-22,26.9,M,CAN,A,148.54,+109 kg Men,0,0,478,San Diego International Open,2019-10-02,150,-155,-155,150,193,203,-210,203,353
2,1,2,LEMUS CALANCHE Gilberto Antonio,7652,1994-02-04,25.7,M,GUA,A,126.34,+109 kg Men,0,0,478,San Diego International Open,2019-10-02,150,160,NA,160,-190,190,-200,190,350
1,1,1,ZHOU Xiaoman,15102,1992-09-23,27,W,CHN,A,159.06,+87 kg Women,0,0,478,San Diego International Open,2019-10-02,125,132,-138,132,165,172,-180,172,304
2,2,2,MANUMUA Kuinini Juanita Mechteld,8418,2000-12-12,18.8,W,TGA,A,106.23,+87 kg Women,0,0,478,San Diego International Open,2019-10-02,92,95,98,98,-108,112,117,117,215
3,3,3,ERDENEBAT Bilegsaikhan,3874,1998-09-16,21,W,MGL,A,87.22,+87 kg Women,0,0,478,San Diego International Open,2019-10-02,87,92,-95,92,107,113,117,117,209
4,4,4,SALIM MOUSSA Arzy Zahia,12002,1994-09-11,25.1,W,CUR,A,103.21,+87 kg Women,0,0,478,San Diego International Open,2019-10-02,-65,65,-70,65,85,-90,92,92,157
1,2,1,DECRISTOFARO Anthony,3306,1991-08-13,28.1,M,USA,A,100.49,102 kg Men,0,0,478,San Diego International Open,2019-10-02,132,136,-140,136,170,175,-182,175,311
2,1,2,MARTINEZ CASTILLO Mario Omar,8530,1990-02-06,29.7,M,PAN,A,100.72,102 kg Men,0,0,478,San Diego International Open,2019-10-02,130,135,140,140,160,170,-174,170,310
3,3,3,TAATGEN Mike,13283,1994-04-06,25.5,M,CUR,A,99.81,102 kg Men,0,0,478,San Diego International Open,2019-10-02,93,-98,98,98,128,133,-140,133,231
1,1,1,ZHANG Rong,15052,1993-10-31,25.9,W,CHN,A,48.83,49 kg Women,0,0,478,San Diego International Open,2019-10-02,86,90,-92,90,105,-110,-110,105,195
2,2,2,REICHARDT Hayley,11331,1999-04-27,20.4,W,USA,A,48.88,49 kg Women,0,0,478,San Diego International Open,2019-10-02,75,-78,78,78,99,-102,-102,99,177
3,3,3,BRADDOCK Amanda Melissa,1996,1989-02-10,30.6,W,CAN,A,48.81,49 kg Women,0,0,478,San Diego International Open,2019-10-02,-76,76,-79,76,93,96,-99,96,172
1,2,1,LI Yajun,7735,1993-04-27,26.4,W,CHN,A,54.56,55 kg Women,0,0,478,San Diego International Open,2019-10-02,95,-98,-98,95,115,120,125,125,220
2,1,2,ZHANG Wanqiong,15058,1994-01-21,25.7,W,CHN,A,54.15,55 kg Women,0,0,478,San Diego International Open,2019-10-02,90,95,99,99,115,120,-123,120,219
3,3,3,KAMINSKI Hannah,6376,1994-02-13,25.6,W,CAN,A,54.97,55 kg Women,0,0,478,San Diego International Open,2019-10-02,-75,75,78,78,93,96,99,99,177
4,5,4,BURGOS ORTIZ Lely Berlitt,2130,1985-06-06,34.3,W,PUR,A,51.03,55 kg Women,0,0,478,San Diego International Open,2019-10-02,67,-71,71,71,88,-92,-92,88,159
5,6,5,CHULUUNBAATAR Nyamzul,2847,1998-06-14,21.3,W,MGL,A,54.44,55 kg Women,0,0,478,San Diego International Open,2019-10-02,63,67,-70,67,80,-85,86,86,153
6,7,6,BRAJSHORI Leonora,2001,1985-07-19,34.2,W,KOS,A,54.37,55 kg Women,0,0,478,San Diego International Open,2019-10-02,-61,61,-64,61,-81,-81,81,81,142
NA,4,NA,WRIGHT Sarah Elizabeth,14579,1992-02-04,27.7,W,USA,A,54.13,55 kg Women,0,0,478,San Diego International Open,2019-10-02,72,74,76,76,-91,-93,-98,NA,NA
NA,8,NA,KRZYSZTON Olga,7230,1989-04-20,30.5,W,GBR,A,54.79,55 kg Women,0,0,478,San Diego International Open,2019-10-02,55,57,-59,57,-75,-75,-75,NA,NA
NA,NA,NA,LIAO Qiuyun,7765,1995-07-13,24.2,W,CHN,A,53.91,55 kg Women,0,0,478,San Diego International Open,2019-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,JIANG Huihua,6127,1998-01-22,21.7,W,CHN,A,50.12,55 kg Women,0,0,478,San Diego International Open,2019-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,LUO Xiaomin,8129,1999-11-14,19.9,W,CHN,A,58.75,59 kg Women,0,0,478,San Diego International Open,2019-10-02,98,103,-106,103,-123,-123,123,123,226
2,2,2,BREWER Kristi,2027,1981-12-18,37.8,W,USA,A,58.83,59 kg Women,0,0,478,San Diego International Open,2019-10-02,81,-84,85,85,108,112,115,115,200
3,3,3,BRAMWELL Kaija Francesca,2003,1997-07-14,22.2,W,USA,A,58.72,59 kg Women,0,0,478,San Diego International Open,2019-10-02,80,83,-86,83,105,109,112,112,195
1,1,1,HUANG Ting,5655,1999-01-16,20.7,W,CHN,A,63.7,64 kg Women,0,0,478,San Diego International Open,2019-10-02,102,106,-108,106,123,130,-133,130,236
2,2,3,GANZORIG Anuujin,4430,1998-04-11,21.5,W,MGL,A,63.26,64 kg Women,0,0,478,San Diego International Open,2019-10-02,81,86,-90,86,100,103,NA,103,189
3,3,2,STEPHENS Taylor Michelle,13031,1993-02-28,26.6,W,USA,A,63.78,64 kg Women,0,0,478,San Diego International Open,2019-10-02,84,-87,-88,84,100,105,-108,105,189
1,1,1,PINEDA ZETA Edgar Ismael,10783,1997-08-17,22.1,M,GUA,A,66.31,67 kg Men,0,0,478,San Diego International Open,2019-10-02,110,120,-125,120,150,-160,-165,150,270
2,2,2,MARTINEZ CASTILLO Ronnier Zaed,8531,2001-12-12,17.8,M,PAN,A,66.81,67 kg Men,0,0,478,San Diego International Open,2019-10-02,110,-113,-113,110,135,-141,143,143,253
1,2,1,DAVIES Stephanie Lisa,3223,1989-05-18,30.4,W,AUS,A,70.83,71 kg Women,0,0,478,San Diego International Open,2019-10-02,84,87,-91,87,107,112,-116,112,199
2,1,2,GORINCU Ebony,4775,1989-08-23,30.1,W,AUS,A,70.78,71 kg Women,0,0,478,San Diego International Open,2019-10-02,87,-90,-91,87,108,112,-116,112,199
1,1,1,BREMNER Aria Kellyn,2024,1994-03-04,25.6,W,USA,A,75.14,76 kg Women,0,0,478,San Diego International Open,2019-10-02,85,89,93,93,109,113,-118,113,206
NA,NA,NA,WAKELING Brandon Dean,14342,1994-02-02,25.7,M,AUS,A,74.9,81 kg Men,0,0,478,San Diego International Open,2019-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,MUNKHJANTSAN Ankhtsetseg,9400,1997-12-25,21.8,W,MGL,A,80.87,81 kg Women,0,0,478,San Diego International Open,2019-10-02,96,100,-102,100,114,118,121,121,221
2,3,2,NG Phoebe Hoi-Kay,9719,1990-04-02,29.5,W,USA,A,80.49,81 kg Women,0,0,478,San Diego International Open,2019-10-02,-87,87,90,90,-112,113,118,118,208
3,2,3,ERISMAN Lindsay,3888,1998-10-15,21,W,USA,A,80.6,81 kg Women,0,0,478,San Diego International Open,2019-10-02,88,91,-94,91,113,-118,-118,113,204
1,1,1,KANG Yue,6400,1991-10-08,28,W,CHN,A,86.13,87 kg Women,0,0,478,San Diego International Open,2019-10-02,115,120,123,123,145,-152,-152,145,268
2,2,2,JIA Weipeng,6122,1995-08-08,24.2,W,CHN,A,86.59,87 kg Women,0,0,478,San Diego International Open,2019-10-02,-112,-112,112,112,135,140,-146,140,252
3,3,3,AO Hui,994,1997-04-20,22.5,W,CHN,A,85.58,87 kg Women,0,0,478,San Diego International Open,2019-10-02,105,-110,-112,105,-136,-136,136,136,241
4,4,4,KLINGSEIS Marissa Eileen,6956,1995-06-07,24.3,W,USA,A,86.79,87 kg Women,0,0,478,San Diego International Open,2019-10-02,100,-105,-105,100,130,135,-140,135,235
