total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,ZIAZIULIN Eduard,16922,1998-10-29,20.9,M,BLR,A,134.95,+109 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,176,-186,186,186,211,NA,NA,211,397
2,2,2,LITVINOV David,8830,1993-09-23,26,M,ISR,A,127.25,+109 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,175,180,185,185,205,-213,-215,205,390
3,4,4,RUIZ I VELASCO Marcos,13205,1996-10-13,23,M,ESP,A,110.8,+109 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,160,165,NA,165,180,-190,190,190,355
4,3,3,OLSHANETSKYI Igor,11313,1986-02-16,33.6,M,ISR,A,126.15,+109 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,155,-160,160,160,196,201,-213,201,361
1,1,1,CRNJAC Ana,3447,2002-10-03,17,W,CRO,A,97.2,+87 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,61,66,-70,66,79,-85,85,85,151
1,1,1,MUGURDUMOV Artur,10487,1988-06-06,31.3,M,ISR,A,101.15,102 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,155,160,164,164,190,200,207,207,371
2,2,2,ONICA Nicolae,11342,1993-06-24,26.3,M,ROU,A,98.9,102 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,140,145,150,150,170,180,-190,180,330
3,3,3,AGUSTIN Gianni,320,1985-09-06,34.1,M,SMR,A,101.05,102 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,100,110,-117,110,-125,-125,125,125,235
1,1,1,ARAMNAU Andrei,1203,1988-04-17,31.5,M,BLR,A,108.5,109 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,165,NA,NA,165,195,NA,NA,195,360
2,2,2,ELVAN Resul,4359,1989-03-18,30.5,M,TUR,A,103.8,109 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,142,145,-148,145,175,182,188,188,333
3,3,3,WISEMAN Kevin,16290,1994-08-18,25.1,M,USA,A,107.35,109 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,140,-144,-144,140,173,181,-187,181,321
4,4,4,SKEDELJ Jure,14305,1995-07-24,24.2,M,SLO,A,106.85,109 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,-125,-125,125,125,-155,155,160,160,285
NA,5,NA,MICHALSKI Arkadiusz,9981,1990-01-07,29.7,M,POL,A,107.65,109 kg Men,0,0,479,12th Mediterranean Cup,2019-10-04,-165,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,GIACOMONE Maria Belen,5220,1985-10-18,34,W,SMR,A,44.35,45 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,-48,-48,-48,NA,NA,NA,NA,NA,NA
1,2,1,MICHEL Anais,9983,1988-01-12,31.7,W,FRA,A,48.7,49 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,77,-79,79,79,98,100,102,102,181
2,1,2,LORENTZ Manon Camille,8995,1991-07-17,28.2,W,FRA,A,49,49 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,-78,-78,80,80,95,-98,-98,95,175
3,3,5,ERDOGAN Saziye,4419,1992-02-23,27.6,W,TUR,A,47.55,49 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,70,73,-75,73,-90,90,93,93,166
4,4,4,PIPILIARIDOU Maria,12089,1986-09-30,33,W,GRE,A,48.9,49 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,70,72,-73,72,91,94,-96,94,166
5,5,3,RUSSO Giorgia,13230,1993-04-28,26.4,W,ITA,A,49,49 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,65,69,-71,69,85,95,-100,95,164
6,6,6,BUTKOVA Iuliya,2468,1990-03-23,29.5,W,ISR,A,49,49 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,61,65,67,67,75,80,-83,80,147
1,1,1,LOMBARDO Jennifer,8926,1991-06-24,28.3,W,ITA,A,54.25,55 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,82,85,86,86,108,-111,-112,108,194
2,2,2,LOCHOWSKA Joanna,8900,1988-11-17,30.9,W,POL,A,54,55 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,70,75,-80,75,100,NA,NA,100,175
3,3,3,MARZI Marika,9610,1991-11-09,27.9,W,SMR,A,54.05,55 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,53,-55,55,55,65,68,-71,68,123
1,1,1,BENTELI Konstantina,1962,1993-08-24,26.1,W,GRE,A,58.35,59 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,-90,90,94,94,112,115,116,116,210
2,3,2,TCHAKOUNTE Dora Meiriama,15091,1995-03-23,24.5,W,FRA,A,58.75,59 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,88,-93,93,93,-108,108,113,113,206
3,2,3,ALEMANNO Maria Grazia,668,1990-09-02,29.1,W,ITA,A,58.7,59 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,90,92,94,94,110,-114,-114,110,204
4,7,4,"NA Christine Yejou",10652,1989-10-03,30,W,USA,A,58.8,59 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,79,82,-85,82,102,106,-108,106,188
5,6,5,OZKAN Cansel,11530,2002-02-26,17.6,W,TUR,A,56.3,59 kg Women,0,0,479,12th Mediterranean Cup,2019-10-04,80,-85,85,85,-93,93,95,95,180
