total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,ELSAYED Abdelrahman Mohamed A. A.,4250,1989-05-19,20.2,M,EGY,A,115.37,+105 kg Men,0,1,47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,0,0,0,160,0,0,0,205,365
2,NA,NA,FOKEJOU TEFOT Frederic,4721,1979-12-03,29.7,M,CMR,A,123.7,+105 kg Men,0,1,47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,0,0,0,140,0,0,0,190,330
3,NA,NA,MOHAMED Alrghig,9992,1991-01-01,18.6,M,LBA,A,159.4,+105 kg Men,0,1,47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,0,0,0,122,0,0,0,150,272
NA,NA,NA,MEZGHICH Ammar,9771,1989-03-02,20.4,M,ALG,A,109.86,+105 kg Men,1,1,47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,0,0,0,NA,0,0,0,NA,NA
1,NA,NA,JLASSI Marwa,6789,1991-09-25,17.8,W,TUN,A,107.09,+75 kg Women,0,1,47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,0,0,0,85,0,0,0,109,194
2,NA,NA,"NAMUSOKE Becky",10531,1990-12-10,18.6,W,UGA,A,92.55,+75 kg Women,0,1,47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,0,0,0,72,0,0,0,90,162
3,NA,NA,"NAMUGALU Beth",10530,1989-01-01,20.6,W,UGA,A,83.11,+75 kg Women,0,1,47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,0,0,0,50,0,0,0,70,120
1,NA,NA,MIMOUNE Abdelhamid,9852,1988-03-08,21.4,M,ALG,A,100.63,105 kg Men,0,1,47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,0,0,0,150,0,0,0,180,330
2,NA,NA,MOURAD Shtewi,10242,1988-01-01,21.6,M,LBA,A,95.45,105 kg Men,0,1,47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,0,0,0,136,0,0,0,155,291
3,NA,NA,HALALMIA Omar,5637,1989-05-07,20.2,M,ALG,A,94.94,105 kg Men,0,1,47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,0,0,0,131,0,0,0,150,281
