total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,MARTIROSYAN Simon,9717,1997-02-17,22.7,M,ARM,A,114.3,+109 kg Men,0,0,483,European U23 Championships,2019-10-17,192,-198,198,198,231,236,-242,236,434
2,2,2,ZIAZIULIN Eduard,17146,1998-10-29,21,M,BLR,A,134.5,+109 kg Men,0,0,483,European U23 Championships,2019-10-17,191,197,-199,197,230,235,-238,235,432
3,4,3,CHKHEIDZE Giorgi,3182,1997-10-30,22,M,GEO,A,128.85,+109 kg Men,0,0,483,European U23 Championships,2019-10-17,177,-182,182,182,222,226,228,228,410
4,3,4,MZHACHYK Aliaksei,10790,1996-06-30,23.3,M,BLR,A,139.6,+109 kg Men,0,0,483,European U23 Championships,2019-10-17,175,180,183,183,-223,223,226,226,409
5,6,5,MIDDLETON Mackenzie,10120,1998-04-27,21.5,M,GBR,A,126.15,+109 kg Men,0,0,483,European U23 Championships,2019-10-17,145,151,-157,151,180,-186,186,186,337
6,7,6,MARTIN Erik,9663,1998-06-18,21.3,M,SWE,A,129,+109 kg Men,0,0,483,European U23 Championships,2019-10-17,142,147,151,151,170,178,-185,178,329
NA,5,NA,COULLET Anthony Jean Pierre,3465,1997-01-10,22.8,M,FRA,A,149.9,+109 kg Men,0,0,483,European U23 Championships,2019-10-17,-156,156,-166,156,-205,NA,NA,NA,NA
1,1,1,GUNAL Melike,5717,1998-04-05,21.5,W,TUR,A,114.2,+87 kg Women,0,0,483,European U23 Championships,2019-10-17,100,103,105,105,120,125,128,128,233
2,4,2,CHIZHIKOVA Taisiia,3181,1998-08-17,21.2,W,RUS,A,103.7,+87 kg Women,0,0,483,European U23 Championships,2019-10-17,90,95,98,98,119,124,127,127,225
3,3,3,BROWN Mercy Opeyemi,2399,1996-06-20,23.3,W,GBR,A,97.65,+87 kg Women,0,0,483,European U23 Championships,2019-10-17,93,96,99,99,117,122,125,125,224
4,2,5,KISIL Valentyna,7895,1998-07-05,21.3,W,UKR,A,87.2,+87 kg Women,0,0,483,European U23 Championships,2019-10-17,96,100,104,104,117,-121,-121,117,221
5,5,4,IVANOVA Dzhesika,6780,1998-10-26,21,W,BUL,A,88.05,+87 kg Women,0,0,483,European U23 Championships,2019-10-17,90,94,-96,94,105,111,118,118,212
6,6,6,MANEA Ionela Daniela,9496,1996-01-08,23.8,W,ROU,A,130.4,+87 kg Women,0,0,483,European U23 Championships,2019-10-17,78,83,87,87,101,106,-110,106,193
7,9,7,FLAK Diana,4862,1997-08-16,22.2,W,POL,A,88.95,+87 kg Women,0,0,483,European U23 Championships,2019-10-17,80,83,-86,83,100,-106,106,106,189
8,7,8,KRYLOV Mona,8240,1998-10-26,21,W,ISR,A,88.55,+87 kg Women,0,0,483,European U23 Championships,2019-10-17,82,86,-88,86,-101,-101,102,102,188
9,8,9,GYURUS Barbara,5804,1998-08-12,21.2,W,HUN,A,120.5,+87 kg Women,0,0,483,European U23 Championships,2019-10-17,75,79,84,84,96,-102,102,102,186
1,2,1,KIBANOV Aleksandr,7726,1996-06-10,23.4,M,RUS,A,101.05,102 kg Men,0,0,483,European U23 Championships,2019-10-17,160,-164,164,164,192,197,202,202,366
2,1,4,PYROHOV Kyryl,12552,1998-05-24,21.4,M,UKR,A,96.6,102 kg Men,0,0,483,European U23 Championships,2019-10-17,159,163,165,165,185,190,193,193,358
3,4,2,BURIACHEK Bohdan,2479,1996-06-11,23.3,M,UKR,A,100.65,102 kg Men,0,0,483,European U23 Championships,2019-10-17,153,157,160,160,188,193,196,196,356
4,3,3,PERTHEL Kurt,12108,1997-12-01,21.9,M,GER,A,101,102 kg Men,0,0,483,European U23 Championships,2019-10-17,154,158,161,161,186,191,194,194,355
5,5,5,SERAFEIMIDIS Nikolaos,14053,1998-06-07,21.4,M,GRE,A,99.4,102 kg Men,0,0,483,European U23 Championships,2019-10-17,130,140,-145,140,165,176,-186,176,316
1,2,1,GASPARYAN Samvel,5184,1997-11-24,21.9,M,ARM,A,104.55,109 kg Men,0,0,483,European U23 Championships,2019-10-17,168,172,176,176,207,214,NA,214,390
2,1,2,RUIZ I VELASCO Marcos,13381,1996-10-13,23,M,ESP,A,108.5,109 kg Men,0,0,483,European U23 Championships,2019-10-17,170,175,177,177,-205,205,212,212,389
3,5,3,MAGAMADOV Iunus,9324,1996-11-23,22.9,M,RUS,A,103.05,109 kg Men,0,0,483,European U23 Championships,2019-10-17,156,-161,161,161,193,198,-204,198,359
4,3,4,ROMAN Andrei-Mircea,13239,1996-05-29,23.4,M,ROU,A,107.3,109 kg Men,0,0,483,European U23 Championships,2019-10-17,157,161,163,163,187,-194,-194,187,350
5,4,5,GUNTHER Bjorn,5735,1996-06-04,23.4,M,GER,A,105.1,109 kg Men,0,0,483,European U23 Championships,2019-10-17,155,160,162,162,182,186,-189,186,348
6,7,6,GORNY Jakub,5500,1998-07-05,21.3,M,CZE,A,104.95,109 kg Men,0,0,483,European U23 Championships,2019-10-17,-147,147,-151,147,170,177,182,182,329
7,6,7,NEGREA Nicolae,11014,1997-12-03,21.9,M,ROU,A,102.1,109 kg Men,0,0,483,European U23 Championships,2019-10-17,143,150,-153,150,-173,173,178,178,328
8,9,8,O HARE Daniel,11323,1998-12-04,20.9,M,GBR,A,108.65,109 kg Men,0,0,483,European U23 Championships,2019-10-17,132,136,140,140,164,169,174,174,314
NA,8,NA,KESKITALO Hannes Heikki Juhani,7578,1996-11-10,22.9,M,FIN,A,107,109 kg Men,0,0,483,European U23 Championships,2019-10-17,-145,145,-151,145,-186,-188,-191,NA,NA
1,1,1,PAGLIARO Alessandra,11722,1997-07-16,22.3,W,ITA,A,42.8,45 kg Women,0,0,483,European U23 Championships,2019-10-17,60,63,66,66,75,80,85,85,151
2,2,2,KUDLASZYK Paulina Magdalena,8267,1997-10-24,22,W,POL,A,44.2,45 kg Women,0,0,483,European U23 Championships,2019-10-17,50,55,59,59,68,-72,74,74,133
