total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,SHYMECHKO Ihor,NA,1986-05-27,NA,NA,A,+105 kg Men,0,1,48,195,200,203,203,223,230,-233,230,433
2,NA,NA,VELAGIC Almir,NA,1981-08-22,NA,NA,A,+105 kg Men,0,1,48,182,187,190,190,222,-227,228,228,418
3,NA,NA,PISAREV Evgeny,NA,1988-08-17,NA,NA,A,+105 kg Men,0,1,48,187,-193,193,193,225,-231,-233,225,418
4,NA,NA,KLESZCZ Grzegorz,NA,1977-11-12,NA,NA,A,+105 kg Men,0,1,48,182,-187,-187,182,-228,229,-236,229,411
5,NA,NA,"NAGY Peter",NA,1986-01-16,NA,NA,A,+105 kg Men,0,1,48,175,182,188,188,205,212,220,220,408
6,NA,NA,ORSAG Jiri,NA,1989-01-05,NA,NA,A,+105 kg Men,0,1,48,165,170,175,175,210,-220,220,220,395
7,NA,NA,SOBOTKA Petr,NA,1975-04-30,NA,NA,B,+105 kg Men,0,1,48,163,168,-172,168,195,205,-214,205,373
8,NA,NA,EVERI Antti,NA,1981-12-22,NA,NA,B,+105 kg Men,0,1,48,-160,160,-163,160,192,196,198,198,358
9,NA,NA,KRUZEL Ondrej,NA,1988-08-23,NA,NA,B,+105 kg Men,0,1,48,155,-160,0,155,190,-202,-204,190,345
10,NA,NA,VUKOVIC Ante,NA,1986-04-08,NA,NA,B,+105 kg Men,0,1,48,150,155,-160,155,180,-185,185,185,340
11,NA,NA,ROVATTI Andrea,NA,1969-05-16,NA,NA,B,+105 kg Men,0,1,48,147,-155,0,147,180,190,0,190,337
NA,NA,NA,REMEZA Egidijus,NA,1983-04-03,NA,NA,B,+105 kg Men,0,1,48,154,-160,-160,154,-191,-191,-192,NA,NA
NA,NA,NA,LUKANIN Igor,NA,1986-05-29,NA,NA,A,+105 kg Men,0,1,48,-185,-185,-185,NA,-220,-220,-220,NA,NA
NA,NA,NA,ALEKSANYAN Ruben,NA,1990-03-14,NA,NA,A,+105 kg Men,0,1,48,187,-192,-192,187,0,0,0,NA,NA
1,NA,NA,KASHIRINA Tatiana,NA,1991-01-24,NA,NA,A,+75 kg Women,0,1,48,117,122,125,125,150,155,-160,155,280
2,NA,NA,GAGARINA Natalia,NA,1983-09-10,NA,NA,A,+75 kg Women,0,1,48,-105,105,110,110,135,143,0,143,253
3,NA,NA,DOVHAL Yuliya,NA,1983-06-02,NA,NA,A,+75 kg Women,0,1,48,108,111,-118,111,136,-141,141,141,252
3,NA,NA,DOVHAL Yuliya,NA,1983-06-02,NA,NA,A,+75 kg Women,0,1,48,108,111,-118,111,136,-141,141,141,252
4,NA,NA,UCAR Ummuhan,NA,1986-01-01,NA,NA,A,+75 kg Women,0,1,48,-100,100,107,107,125,-136,137,137,244
5,NA,NA,SCHOPPE Kathleen,NA,1982-12-16,NA,NA,A,+75 kg Women,0,1,48,98,-102,102,102,126,131,-134,131,233
6,NA,NA,SAHBAZ Sule,NA,1978-01-27,NA,NA,A,+75 kg Women,0,1,48,100,-107,108,108,120,-126,-126,120,228
7,NA,NA,MAVRIDOU Victoria,NA,1991-07-08,NA,NA,A,+75 kg Women,0,1,48,101,-106,108,108,-120,120,-127,120,228
8,NA,NA,BAGINSKA Sabina Hanna,NA,1985-10-19,NA,NA,B,+75 kg Women,0,1,48,97,100,-103,100,125,-130,-130,125,225
9,NA,NA,CAMPALDINI Annarosa,NA,1985-07-09,NA,NA,A,+75 kg Women,0,1,48,-92,92,-97,92,115,-120,120,120,212
10,NA,NA,AANEI Andreea,NA,1993-11-18,NA,NA,B,+75 kg Women,0,1,48,85,-91,91,91,-104,-106,106,106,197
11,NA,NA,MAGAT Krisztina,NA,1989-03-02,NA,NA,B,+75 kg Women,0,1,48,85,88,90,90,103,-107,-107,103,193
12,NA,NA,ARCHANCO DOMINGUEZ Maria De Las M.,NA,1992-02-07,NA,NA,B,+75 kg Women,0,1,48,75,78,80,80,94,98,100,100,180
1,NA,NA,SMORCHKOV Vladimir,NA,1980-01-25,NA,NA,A,105 kg Men,0,1,48,185,190,-195,190,217,-221,221,221,411
2,NA,NA,TOROKHTIY Oleksiy,NA,1986-05-22,NA,NA,A,105 kg Men,0,1,48,172,177,181,181,213,-220,224,224,405
3,NA,NA,VYSNIAUSKAS Ramunas,NA,1976-09-23,NA,NA,A,105 kg Men,0,1,48,-182,182,-185,182,223,-225,-225,223,405
4,NA,NA,KONSTANTINOV Roman,NA,1983-08-15,NA,NA,A,105 kg Men,0,1,48,175,180,183,183,215,-222,-222,215,398
5,NA,NA,DOLEGA Robert,NA,1977-12-31,NA,NA,A,105 kg Men,0,1,48,175,179,181,181,210,217,-222,217,398
6,NA,NA,MACHAVARIANI Gia,NA,1985-02-26,NA,NA,A,105 kg Men,0,1,48,180,-184,-184,180,-211,211,-227,211,391
7,NA,NA,BABAYAN Artur,NA,1983-11-17,NA,NA,A,105 kg Men,0,1,48,168,175,-179,175,-207,207,-215,207,382
8,NA,NA,SIMKUS Modestas,NA,1985-10-02,NA,NA,B,105 kg Men,0,1,48,170,-177,180,180,191,200,-206,200,380
9,NA,NA,SAMADOV Alibay,NA,1982-03-26,NA,NA,B,105 kg Men,0,1,48,-160,160,165,165,201,207,-215,207,372
10,NA,NA,YILMAZ Hakan,NA,1982-04-01,NA,NA,A,105 kg Men,0,1,48,165,-172,-172,165,205,-212,-212,205,370
11,NA,NA,SATZIAN Grigor,NA,1985-02-05,NA,NA,B,105 kg Men,0,1,48,155,161,165,165,190,195,-200,195,360
12,NA,NA,GARIPIS Konstantinos,NA,1981-03-12,NA,NA,B,105 kg Men,0,1,48,152,157,-160,157,187,192,195,195,352
13,NA,NA,MENSIKOVS Ilja,NA,1989-02-06,NA,NA,B,105 kg Men,0,1,48,152,158,161,161,191,-197,-200,191,352
14,NA,NA,CHEEMA Gurbinder,NA,1978-11-14,NA,NA,B,105 kg Men,0,1,48,145,-150,-150,145,170,-175,175,175,320
15,NA,NA,PETERCA Bostjan,NA,1981-01-25,NA,NA,B,105 kg Men,0,1,48,105,-110,-110,105,140,-145,-145,140,245
1,NA,NA,IOVU Cristina,NA,1992-11-08,NA,NA,A,48 kg Women,0,1,48,75,-79,-79,75,-94,94,96,96,171
1,NA,NA,IOVU Cristina,NA,1992-11-08,NA,NA,A,48 kg Women,0,1,48,75,-79,-79,75,-94,94,96,96,171
1,NA,NA,IOVU Cristina,NA,1992-11-08,NA,NA,A,48 kg Women,0,1,48,75,-79,-79,75,-94,94,96,96,171
2,NA,NA,KARPINSKA Marzena,NA,1988-02-19,NA,NA,A,48 kg Women,0,1,48,-78,78,-80,78,92,-94,-94,92,170
3,NA,NA,PAGLIARO Genny Caterina,NA,1988-10-15,NA,NA,A,48 kg Women,0,1,48,-72,72,-78,72,90,-93,-93,90,162
4,NA,NA,MICHEL Anais,NA,1988-01-12,NA,NA,A,48 kg Women,0,1,48,-62,62,65,65,78,81,84,84,149
5,NA,NA,ANGELOVA Silviya,NA,1982-06-22,NA,NA,A,48 kg Women,0,1,48,-62,62,-65,62,78,-80,80,80,142
5,NA,NA,ANGELOVA Silviya,NA,1982-06-22,NA,NA,A,48 kg Women,0,1,48,-62,62,-65,62,78,-80,80,80,142
6,NA,NA,ANDRIES Elena Ramona,NA,1994-09-21,NA,NA,A,48 kg Women,0,1,48,60,-63,-63,60,75,-80,-82,75,135
NA,NA,NA,TAYLAN Nurcan,NA,1983-10-29,NA,NA,A,48 kg Women,1,1,48,81,85,88,NA,100,108,-114,NA,NA
1,NA,NA,TROTSENKO Nataliya,NA,1984-11-07,NA,NA,A,53 kg Women,0,1,48,84,86,87,87,103,-105,105,105,192
2,NA,NA,DASDELEN Aylin,NA,1982-01-01,NA,NA,A,53 kg Women,0,1,48,-82,-82,82,82,105,-111,-111,105,187
3,NA,NA,BILGIN Emine,NA,1984-07-15,NA,NA,A,53 kg Women,0,1,48,80,83,-85,83,95,100,103,103,186
4,NA,NA,LOCHOWSKA Joanna,NA,1988-11-17,NA,NA,A,53 kg Women,0,1,48,81,-84,-84,81,100,103,-106,103,184
5,NA,NA,KOSTOVA Boyanka Minkova,NA,1993-05-10,NA,NA,A,53 kg Women,0,1,48,75,78,-80,78,95,100,102,102,180
