total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,ABIR ABDELRAHMAN Khalil Mahmoud Khalil,146,1992-06-13,16.9,W,EGY,A,75.2,+75 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,111,0,0,0,142,253
1,NA,NA,ULRIKE Zehner,15580,1977-04-27,32.1,W,GER,A,47.7,48 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,50,0,0,0,64,114
23,NA,NA,HINTZE Janin,6156,1995-12-18,13.4,W,GER,A,40.7,48 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,33,0,0,0,39,72
NA,NA,NA,STARCKOVA Eva,14560,1987-08-25,21.7,W,CZE,A,47.1,48 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,NA,0,0,0,NA,NA
1,NA,NA,CALVINO Joanne Elizabeth,2593,1980-08-18,28.8,W,GBR,A,52.7,53 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,67,0,0,0,87,154
2,NA,NA,SHAIMAA GAMAL Maged Ismail,13950,1994-02-12,15.3,W,EGY,A,52.8,53 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,68,0,0,0,80,148
3,NA,NA,HOLZAPFEL Gina,6230,1995-05-19,14,W,GER,A,50.1,53 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,42,0,0,0,55,97
1,NA,NA,BEGAJ Romela,1870,1986-11-02,22.5,W,ALB,A,57.9,58 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,88,0,0,0,102,190
2,NA,NA,JEWELL Helen Jane,6887,1988-11-29,20.5,W,GBR,A,57.6,58 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,77,0,0,0,90,167
3,NA,NA,EMBACHER Jessica,4365,1990-01-01,19.4,W,AUT,A,58,58 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,64,0,0,0,82,146
4,NA,NA,HEIDEN Yvonne,5997,1982-08-03,26.8,W,GER,A,57.5,58 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,60,0,0,0,72,132
5,NA,NA,BUG Sabrina,2406,1988-04-13,21.1,W,GER,A,57.2,58 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,57,0,0,0,72,129
6,NA,NA,GRUNDNER Verena,5561,1989-12-24,19.4,W,AUT,A,57.9,58 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,61,0,0,0,68,129
7,NA,NA,TEEUWEN Ingrid,15107,1981-03-30,28.1,W,NED,A,56.2,58 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,49,0,0,0,60,109
8,NA,NA,HEBIBI Marigona,5988,1994-04-05,15.1,W,GER,A,57.4,58 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,41,0,0,0,51,92
NA,NA,NA,FEICHTNER Vanessa,4653,1992-09-19,16.7,W,AUT,A,57.3,58 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,50,0,0,0,NA,NA
NA,NA,NA,KANKARAS Gorica,7213,1980-09-27,28.6,W,SRB,A,58,58 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,NA,0,0,0,80,NA
1,NA,NA,MANSOUR EL SAYED Essmat,9420,1986-11-20,22.5,W,EGY,A,63,63 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,101,0,0,0,123,224
2,NA,NA,BREEZE Michaela Alica,2317,1979-05-17,30,W,GBR,A,62.7,63 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,91,0,0,0,111,202
3,NA,NA,SAMUELSSON Matilda,13488,1989-07-12,19.9,W,SWE,A,62.9,63 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,73,0,0,0,87,160
4,NA,NA,GODLEY Emily Victoria,5279,1989-10-22,19.6,W,GBR,A,62.6,63 kg Women,0,1,51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,0,0,0,70,0,0,0,86,156
