total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,"NANAI Suamili Alex",10538,1995-01-23,26.7,M,AUS,A,129.65,+109 kg Men,0,0,521,Oceania Senior Championships,2021-09-23,145,153,-160,153,185,200,-210,200,353
2,2,2,BARNHOUSE David,1700,1992-04-24,29.4,M,NMI,A,109.9,+109 kg Men,0,0,521,Oceania Senior Championships,2021-09-23,-110,110,-120,110,130,145,-150,145,255
1,1,1,STOWERS Feagaiga,14339,2000-11-17,20.8,W,SAM,A,124.65,+87 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,106,110,114,114,140,144,-146,144,258
2,2,2,SIPAIA Iuniarra,13982,1993-06-25,28.2,W,SAM,A,134.6,+87 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,-102,102,107,107,-141,141,-146,141,248
3,3,3,MANUMUA Kuinini Juanita Mechteld,9245,2000-12-12,20.8,W,TGA,A,108.52,+87 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,90,95,100,100,115,120,-126,120,220
4,5,4,PEREDA Brittney,11663,1991-03-28,30.5,W,GUM,A,113.3,+87 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,75,78,-80,78,-95,95,100,100,178
5,4,5,SEIPUA Helen Anastasia,13546,2002-07-21,19.2,W,FIJ,A,111.85,+87 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,75,80,-83,80,-95,-95,95,95,175
1,1,1,HITILA OPELOGE Jack,6042,2000-08-21,21.1,M,SAM,A,97.95,102 kg Men,0,0,521,Oceania Senior Championships,2021-09-23,140,145,150,150,180,187,-193,187,337
2,2,2,KATOATAU David,7197,1984-07-17,37.2,M,KIR,A,98.5,102 kg Men,0,0,521,Oceania Senior Championships,2021-09-23,105,110,-120,110,140,150,NA,150,260
1,2,1,LAUTUSI Petelo,8281,1996-06-28,25.2,M,SAM,A,108.75,109 kg Men,0,0,521,Oceania Senior Championships,2021-09-23,-146,146,150,150,184,193,-201,193,343
2,1,2,LYDEMENT Matthew Ryan,8954,1994-01-15,27.7,M,AUS,A,108.46,109 kg Men,0,0,521,Oceania Senior Championships,2021-09-23,-152,152,-160,152,170,178,-183,178,330
3,3,3,LEILUA Tavita,8403,2002-09-30,19,M,SAM,A,107.5,109 kg Men,0,0,521,Oceania Senior Championships,2021-09-23,-100,100,105,105,137,141,143,143,248
NA,NA,NA,AU-YEUNG Jamal Simione Maue,1397,2003-02-15,18.6,M,FIJ,A,108.7,109 kg Men,0,0,521,Oceania Senior Championships,2021-09-23,-75,-80,-80,NA,NA,NA,NA,NA,NA
NA,1,NA,LAGATAO Nicola,8141,1991-11-10,29.9,W,GUM,A,44.9,45 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,50,55,-60,55,-65,-65,-65,NA,NA
NA,2,NA,VAGI Idau,15372,2006-03-27,15.5,W,PNG,A,45,45 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,43,46,-48,46,-55,-55,-55,NA,NA
1,1,1,TOUA Thelma Mea,15042,1991-03-30,30.5,W,PNG,A,48,49 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,55,-60,-60,55,-70,-75,75,75,130
NA,2,NA,TOUA Konio,15040,1999-02-25,22.6,W,PNG,A,47.7,49 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,40,44,-47,44,-55,-55,-55,NA,NA
1,1,1,WINI Jenly Tegu,15956,1983-06-09,38.3,W,SOL,A,54.66,55 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,70,-75,75,75,-95,95,101,101,176
2,2,2,STEPHEN My-Only,14298,2006-05-22,15.3,W,NRU,A,51.6,55 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,-58,60,63,63,75,80,-83,80,143
3,4,3,MALA Jaylyn,9116,2000-12-06,20.8,W,SOL,A,52.3,55 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,40,45,-50,45,60,65,-70,65,110
NA,3,NA,VIRA Marian Ema Alowesi,15661,2002-08-19,19.1,W,FIJ,A,53.7,55 kg Women,0,0,521,Oceania Senior Championships,2021-09-23,45,-50,-50,45,-60,-60,-61,NA,NA
