total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
NA,NA,NA,ZAWIYAH Yousuf,17017,2005-01-01,17.7,M,LBA,A,121.9,+109 kg Men,0,0,545,African Junior Championships,2022-09-01,85,105,115,115,100,130,147,147,262
NA,NA,NA,BOUAMR Bilal,2280,2004-03-03,18.5,M,MAR,A,118.9,+109 kg Men,0,0,545,African Junior Championships,2022-09-01,140,147,-150,147,-173,173,180,180,327
NA,NA,NA,ALAZEEBI Muneeb,612,2004-01-01,18.7,M,LBA,A,101,102 kg Men,0,0,545,African Junior Championships,2022-09-01,90,-110,110,110,110,130,-145,130,240
NA,NA,NA,QANAW Abdulsalam,12556,2005-01-01,17.7,M,LBA,A,98.2,102 kg Men,0,0,545,African Junior Championships,2022-09-01,70,85,95,95,90,-107,-110,90,185
NA,NA,NA,ALMALKI Nasruldeen,818,2004-01-01,18.7,M,LBA,A,106.5,109 kg Men,0,0,545,African Junior Championships,2022-09-01,100,-113,-113,100,110,130,-143,130,230
NA,NA,NA,JUBOO Khelwin,7128,2002-06-27,20.2,M,MRI,A,102.3,109 kg Men,0,0,545,African Junior Championships,2022-09-01,125,-136,136,136,165,171,-175,171,307
NA,NA,NA,CHANDLER Liam,2918,2004-01-01,18.7,M,RSA,A,107.7,109 kg Men,0,0,545,African Junior Championships,2022-09-01,110,116,121,121,-135,135,142,142,263
NA,NA,NA,AKIL Fatna,420,2003-01-01,19.7,W,MAR,A,44.6,45 kg Women,0,0,545,African Junior Championships,2022-09-01,42,-47,47,47,51,60,-63,60,107
NA,NA,NA,KHATHRAOUI Maissa,7662,2006-01-01,16.7,W,TUN,A,39,45 kg Women,0,0,545,African Junior Championships,2022-09-01,35,41,-43,41,53,56,-59,56,97
NA,NA,NA,MATELOT Marie Maeva,9772,2004-06-02,18.2,W,MRI,A,48.5,49 kg Women,0,0,545,African Junior Championships,2022-09-01,43,48,49,49,58,61,-67,61,110
