total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,DETENAMO Itte,3507,1986-09-22,23.1,M,NRU,A,151.38,+105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,170,0,0,0,211,381
2,NA,NA,SANDEEP Kumar,12462,1980-01-01,29.8,M,IND,A,119.54,+105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,140,0,0,0,180,320
3,NA,NA,SAUFIK Ahmad,12586,1988-01-01,21.8,M,MAS,A,142.62,+105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,142,0,0,0,172,314
4,NA,NA,WIJERATHNE Rajapaksha Pathiranage M.S.,14940,1980-07-09,29.3,M,SRI,A,105.32,+105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,130,0,0,0,150,280
5,NA,NA,MOHD Aizat Zaini,9411,1987-01-01,22.8,M,MAS,A,127.02,+105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,120,0,0,0,160,280
6,NA,NA,CHATURANGA P.M.M.N.,2651,1988-01-01,21.8,M,SRI,A,108.84,+105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,110,0,0,0,145,255
7,NA,NA,CHUA Lewis Yong Hwee,2932,1991-08-28,18.1,M,SGP,A,120.1,+105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,100,0,0,0,120,220
1,NA,NA,GEETA Rani,4677,1981-09-16,28.1,W,IND,A,111.8,+75 kg Women,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,102,0,0,0,132,234
2,NA,NA,VILIAMU Narita Janne Freda Tuga,14663,1989-07-04,20.3,W,NIU,A,137.44,+75 kg Women,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,92,0,0,0,123,215
3,NA,NA,LAMBRECHS Tracey,7678,1985-08-27,24.1,W,NZL,A,98,+75 kg Women,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,93,0,0,0,115,208
4,NA,NA,FUNG TEY Shan,4482,1990-01-01,19.8,W,MAS,A,94.08,+75 kg Women,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,77,0,0,0,101,178
5,NA,NA,PETERS Luisa Fatiaki Taitapu,11002,1993-06-27,16.3,W,COK,A,84.78,+75 kg Women,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,58,0,0,0,74,132
1,NA,NA,MCKNEE Ivorn Preston,8985,1981-05-14,28.4,M,BAR,A,103.92,105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,150,0,0,0,187,337
2,NA,NA,THOMAS Meamea,13966,1985-09-11,24.1,M,KIR,A,103.08,105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,145,0,0,0,178,323
3,NA,NA,CHALAEV Stanislav Alexandrovich,2589,1986-10-16,23,M,NZL,A,102.78,105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,140,0,0,0,175,315
4,NA,NA,MOHD Shafiq Hussin,9423,1990-01-01,19.8,M,MAS,A,103.44,105 kg Men,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,115,0,0,0,140,255
1,NA,NA,CHANU NGANGBAM Soniya,2626,1980-02-15,29.7,W,IND,A,47.9,48 kg Women,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,72,0,0,0,95,167
2,NA,NA,VRIES Portia Charmaine,14744,1984-07-21,25.2,W,RSA,A,48,48 kg Women,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,66,0,0,0,92,158
3,NA,NA,HARE Kathleen,5353,1987-11-23,21.9,W,PNG,A,46.64,48 kg Women,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,60,0,0,0,80,140
4,NA,NA,THELEMAQUE Katsia,13956,1989-02-28,20.6,W,SEY,A,47.3,48 kg Women,0,1,54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,0,0,0,65,0,0,0,73,138
