total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,2,MACURA Vladimir,9001,2005-01-08,17.6,M,SVK,A,132.9,+102 kg Men,0,0,552,European Youth Championships,2022-08-10,140,-148,148,148,170,177,-180,177,325
2,4,1,CHRYSOCHOIDIS Alexandros,3151,2005-04-22,17.3,M,GER,A,132,+102 kg Men,0,0,552,European Youth Championships,2022-08-10,125,130,-136,130,170,176,182,182,312
3,2,3,GEORGIEV Angel,5042,2006-07-25,16,M,BUL,A,127.3,+102 kg Men,0,0,552,European Youth Championships,2022-08-10,131,136,139,139,162,167,172,172,311
4,3,4,GUGALA Marek Mateusz,5483,2005-03-15,17.4,M,POL,A,123,+102 kg Men,0,0,552,European Youth Championships,2022-08-10,130,135,138,138,162,167,-172,167,305
5,5,5,OSUCH Borys,11235,2005-07-28,17,M,POL,A,131.6,+102 kg Men,0,0,552,European Youth Championships,2022-08-10,125,130,-133,130,157,162,-165,162,292
6,7,6,MANOMICS Gergo,9226,2005-07-07,17.1,M,HUN,A,127,+102 kg Men,0,0,552,European Youth Championships,2022-08-10,-115,115,-119,115,145,148,-153,148,263
7,6,7,VALI Roomet,15421,2005-08-14,17,M,EST,A,112.7,+102 kg Men,0,0,552,European Youth Championships,2022-08-10,110,115,118,118,138,143,-147,143,261
1,2,1,CEVIK Fatmagul,2774,2005-10-05,16.8,W,TUR,A,103.1,+81 kg Women,0,0,552,European Youth Championships,2022-08-10,90,94,96,96,114,118,122,122,218
2,3,2,SUREN Tuana,14492,2006-05-01,16.3,W,TUR,A,92.5,+81 kg Women,0,0,552,European Youth Championships,2022-08-10,90,-94,94,94,115,-119,120,120,214
3,1,4,PFEILSTOECKER Johanna,11760,2005-01-08,17.6,W,AUT,A,105.8,+81 kg Women,0,0,552,European Youth Championships,2022-08-10,91,94,97,97,104,108,111,111,208
4,4,3,AVANESYAN Julieta,1413,2005-07-27,17,W,ARM,A,115.4,+81 kg Women,0,0,552,European Youth Championships,2022-08-10,90,-95,-95,90,109,115,-120,115,205
5,6,5,KALASHNYK Hanna,6998,2006-08-22,16,W,UKR,A,83.4,+81 kg Women,0,0,552,European Youth Championships,2022-08-10,73,75,77,77,95,100,-104,100,177
6,5,6,"NAJDOWSKA Dominika",10497,2005-03-30,17.4,W,POL,A,100.6,+81 kg Women,0,0,552,European Youth Championships,2022-08-10,75,79,-83,79,93,-96,96,96,175
7,8,7,MIKHEL Eszter,9822,2005-01-21,17.6,W,HUN,A,90.4,+81 kg Women,0,0,552,European Youth Championships,2022-08-10,-74,-74,74,74,-92,92,95,95,169
8,7,8,DEL ESTAL HERNANDEZ Laura,3698,2007-07-04,15.1,W,ESP,A,107.2,+81 kg Women,0,0,552,European Youth Championships,2022-08-10,75,-78,-78,75,90,-94,-94,90,165
9,9,9,KEDZIERSKA Julita,7264,2005-01-21,17.6,W,POL,A,98.2,+81 kg Women,0,0,552,European Youth Championships,2022-08-10,73,-76,-76,73,85,89,-93,89,162
1,1,1,KIYMET Sami Baki,7640,2006-06-28,16.1,M,TUR,A,98.3,102 kg Men,0,0,552,European Youth Championships,2022-08-10,122,126,131,131,155,160,165,165,296
2,2,2,GINEIKIS Neilas,5123,2005-10-13,16.8,M,LTU,A,98.25,102 kg Men,0,0,552,European Youth Championships,2022-08-10,120,125,130,130,140,145,150,150,280
3,3,3,MATUSZEWSKI Damian,9501,2005-07-10,17.1,M,POL,A,101.15,102 kg Men,0,0,552,European Youth Championships,2022-08-10,112,118,122,122,145,-151,-159,145,267
4,4,4,STRAPEC Simon,14349,2005-04-20,17.3,M,SVK,A,101.1,102 kg Men,0,0,552,European Youth Championships,2022-08-10,-104,106,111,111,134,139,143,143,254
1,2,1,AKARSU Ceren,391,2005-01-12,17.6,W,TUR,A,40,40 kg Women,0,0,552,European Youth Championships,2022-08-10,43,46,-49,46,56,62,-65,62,108
2,1,2,"NAUMOVA Sofiia",10605,2006-02-17,16.5,W,UKR,A,39.75,40 kg Women,0,0,552,European Youth Championships,2022-08-10,45,47,49,49,55,-57,58,58,107
3,3,3,REMEZAITE Brigita,12468,2005-03-08,17.4,W,LTU,A,39.5,40 kg Women,0,0,552,European Youth Championships,2022-08-10,35,38,40,40,-45,45,48,48,88
1,2,1,MIRON Ioana Madalina,9888,2005-01-05,17.6,W,ROU,A,43.75,45 kg Women,0,0,552,European Youth Championships,2022-08-10,56,59,62,62,73,77,80,80,142
2,1,2,KILIC EZGI,7473,2006-10-14,15.8,W,TUR,A,44.9,45 kg Women,0,0,552,European Youth Championships,2022-08-10,58,60,63,63,71,75,-78,75,138
3,3,3,CAFFO Rebecca,2478,2005-01-17,17.6,W,ITA,A,44.7,45 kg Women,0,0,552,European Youth Championships,2022-08-10,-55,55,-60,55,66,-71,73,73,128
4,5,4,RUSEVA Reni,12967,2005-02-04,17.5,W,BUL,A,44.7,45 kg Women,0,0,552,European Youth Championships,2022-08-10,51,-53,-54,51,60,-63,63,63,114
5,4,5,BERLINSKA Zofia,1953,2005-02-22,17.5,W,POL,A,44.8,45 kg Women,0,0,552,European Youth Championships,2022-08-10,50,52,-54,52,-60,-61,61,61,113
6,6,6,KALACA Nejla,6993,2006-06-15,16.2,W,BIH,A,44.65,45 kg Women,0,0,552,European Youth Championships,2022-08-10,-42,-43,43,43,52,-55,-55,52,95
1,1,1,CHOLAKYAN Mikayel,3109,2005-04-06,17.3,M,ARM,A,48.8,49 kg Men,0,0,552,European Youth Championships,2022-08-10,73,79,81,81,85,92,101,101,182
2,2,2,STANEV Martin,14262,2005-03-08,17.4,M,BUL,A,48.9,49 kg Men,0,0,552,European Youth Championships,2022-08-10,-70,70,80,80,80,87,-100,87,167
1,1,1,GRIGORYAN Aleksandra,5394,2005-01-08,17.6,W,ARM,A,48.55,49 kg Women,0,0,552,European Youth Championships,2022-08-10,67,70,73,73,85,90,94,94,167
2,5,2,DRZAZGA OLIWIA Weronika,4024,2005-05-17,17.2,W,POL,A,48.55,49 kg Women,0,0,552,European Youth Championships,2022-08-10,65,-68,68,68,87,-93,93,93,161
3,2,3,MAISURADZE Mariam,9079,2005-04-01,17.4,W,GEO,A,48.6,49 kg Women,0,0,552,European Youth Championships,2022-08-10,66,69,72,72,84,-88,88,88,160
4,3,5,ANGELINI Tina Maria Luisa,1093,2006-03-03,16.4,W,ITA,A,48.7,49 kg Women,0,0,552,European Youth Championships,2022-08-10,-66,67,69,69,72,-75,-77,72,141
5,6,4,HORDIIAN Kateryna,6113,2005-03-26,17.4,W,UKR,A,48.9,49 kg Women,0,0,552,European Youth Championships,2022-08-10,56,-58,58,58,69,72,76,76,134
6,7,6,POPESCU Alina,11977,2006-11-18,15.7,W,MDA,A,48.4,49 kg Women,0,0,552,European Youth Championships,2022-08-10,55,57,-59,57,67,-70,-71,67,124
7,9,7,POSTILA Saara,12002,2006-10-12,15.8,W,FIN,A,48.65,49 kg Women,0,0,552,European Youth Championships,2022-08-10,53,-56,-57,53,62,-65,65,65,118
8,8,8,MCNAUGHTON Jorja,9593,2006-07-25,16,W,GBR,A,48.3,49 kg Women,0,0,552,European Youth Championships,2022-08-10,-53,53,55,55,62,-64,-64,62,117
NA,4,NA,KIRAT Bahar,7608,2006-08-20,16,W,TUR,A,48.95,49 kg Women,0,0,552,European Youth Championships,2022-08-10,64,-67,68,68,-83,-86,-86,NA,NA
1,1,2,ISOFACHE Cosmin Florentin,6515,2005-09-19,16.9,M,ROU,A,54.35,55 kg Men,0,0,552,European Youth Championships,2022-08-10,98,102,105,105,119,-124,125,125,230
2,3,1,GRIGORYAN Zhora,5404,2006-05-03,16.3,M,ARM,A,54.7,55 kg Men,0,0,552,European Youth Championships,2022-08-10,95,100,-103,100,118,122,125,125,225
3,2,3,ODIKADZE Giga,10997,2005-02-20,17.5,M,GEO,A,54.3,55 kg Men,0,0,552,European Youth Championships,2022-08-10,97,101,-104,101,116,120,-124,120,221
4,4,4,BADANEV Ion,1511,2006-01-16,16.6,M,MDA,A,54.7,55 kg Men,0,0,552,European Youth Championships,2022-08-10,95,99,-102,99,-114,114,-120,114,213
5,5,5,COMERZAN Andrian,3273,2005-10-11,16.8,M,MDA,A,54.7,55 kg Men,0,0,552,European Youth Championships,2022-08-10,-85,85,-88,85,104,-109,109,109,194
6,6,6,GORALSKI Szymon,5292,2006-04-07,16.3,M,POL,A,54.7,55 kg Men,0,0,552,European Youth Championships,2022-08-10,80,82,85,85,101,-105,105,105,190
7,7,7,SHKODA Yevhen,13812,2006-04-14,16.3,M,UKR,A,53.7,55 kg Men,0,0,552,European Youth Championships,2022-08-10,70,74,76,76,95,100,-104,100,176
1,1,1,THORNTON Tenishia,14892,2005-09-01,16.9,W,MLT,A,54.85,55 kg Women,0,0,552,European Youth Championships,2022-08-10,76,78,80,80,96,-100,-101,96,176
2,2,2,DELIA Celine Ludovica,3719,2005-09-09,16.9,W,ITA,A,53.8,55 kg Women,0,0,552,European Youth Championships,2022-08-10,70,-75,77,77,90,95,-100,95,172
3,3,4,ILDEN Merve,6403,2005-03-14,17.4,W,TUR,A,54.8,55 kg Women,0,0,552,European Youth Championships,2022-08-10,-68,-68,68,68,83,86,88,88,156
4,5,3,GHIHANIS Maria,5094,2006-07-02,16.1,W,ROU,A,54.8,55 kg Women,0,0,552,European Youth Championships,2022-08-10,64,-67,-67,64,84,88,-93,88,152
5,6,6,MISAKYAN Meri,9912,2007-04-18,15.3,W,ARM,A,54.75,55 kg Women,0,0,552,European Youth Championships,2022-08-10,-64,-64,64,64,81,84,-89,84,148
6,4,7,PRIGENT MADEC Theoline,12071,2005-05-27,17.2,W,FRA,A,54.9,55 kg Women,0,0,552,European Youth Championships,2022-08-10,-65,65,-69,65,82,-86,-87,82,147
7,10,5,KECSKES Karina,7262,2005-10-03,16.9,W,HUN,A,54.9,55 kg Women,0,0,552,European Youth Championships,2022-08-10,-62,-62,62,62,80,-85,85,85,147
8,8,8,PONIATOWSKA Nina,11963,2005-11-18,16.7,W,POL,A,54.85,55 kg Women,0,0,552,European Youth Championships,2022-08-10,60,63,-65,63,77,80,-83,80,143
9,9,9,MORCK Ida,10166,2006-11-03,15.8,W,DEN,A,54.5,55 kg Women,0,0,552,European Youth Championships,2022-08-10,59,62,-65,62,75,79,-83,79,141
10,7,10,DE WISPELAERE Julie,3672,2006-05-19,16.2,W,BEL,A,53.35,55 kg Women,0,0,552,European Youth Championships,2022-08-10,63,-66,-66,63,76,-80,-80,76,139
11,11,12,SAVOLAINEN Iiris,13427,2006-11-07,15.8,W,FIN,B,51.8,55 kg Women,0,0,552,European Youth Championships,2022-08-10,58,-60,61,61,68,71,73,73,134
12,12,11,KLABALOVA Radka,7644,2006-11-26,15.7,W,CZE,B,53.2,55 kg Women,0,0,552,European Youth Championships,2022-08-10,53,56,58,58,69,72,74,74,132
13,13,13,JAUHOJARVI Matilda,6662,2006-01-29,16.5,W,FIN,B,54.45,55 kg Women,0,0,552,European Youth Championships,2022-08-10,53,56,-59,56,68,-70,-70,68,124
1,4,1,DOBRE Estefania Venusa,3905,2006-08-29,15.9,W,ROU,A,57.5,59 kg Women,0,0,552,European Youth Championships,2022-08-10,70,74,-78,74,92,95,98,98,172
2,1,3,SLIPEK Zuzanna Maria,14046,2005-08-29,16.9,W,POL,A,58.9,59 kg Women,0,0,552,European Youth Championships,2022-08-10,73,76,78,78,90,93,-95,93,171
3,2,4,MAGISTRIS Lavinia,9035,2005-12-15,16.7,W,ITA,A,58.55,59 kg Women,0,0,552,European Youth Championships,2022-08-10,74,76,-79,76,88,91,93,93,169
4,3,2,DE RISO Greta,3663,2006-12-27,15.6,W,ITA,A,58.8,59 kg Women,0,0,552,European Youth Championships,2022-08-10,71,75,-78,75,90,94,-97,94,169
5,6,5,TIAINEN Inka,14896,2005-09-08,16.9,W,FIN,A,58.5,59 kg Women,0,0,552,European Youth Championships,2022-08-10,69,-71,72,72,88,-91,-92,88,160
6,5,6,"NAEVDAL Sandra",10465,2005-03-13,17.4,W,NOR,A,58.3,59 kg Women,0,0,552,European Youth Championships,2022-08-10,67,70,73,73,82,86,-90,86,159
7,7,7,VAN BEERS Merel,15444,2005-12-21,16.6,W,BEL,B,58.75,59 kg Women,0,0,552,European Youth Championships,2022-08-10,63,-66,66,66,79,-83,83,83,149
8,8,8,FOTIADI Galini,4746,2006-04-28,16.3,W,GRE,B,58.8,59 kg Women,0,0,552,European Youth Championships,2022-08-10,60,63,-65,63,-70,70,74,74,137
9,9,9,KOZLOVA Karolina,7902,2005-05-17,17.2,W,CZE,B,55.5,59 kg Women,0,0,552,European Youth Championships,2022-08-10,58,-60,60,60,-68,68,73,73,133
10,10,10,HERVA Mona,5984,2006-06-15,16.2,W,FIN,B,58.4,59 kg Women,0,0,552,European Youth Championships,2022-08-10,-58,58,-60,58,70,-73,73,73,131
1,3,1,LAMPRIDIS Konstantinos,8208,2005-01-28,17.5,M,GRE,A,60.35,61 kg Men,0,0,552,European Youth Championships,2022-08-10,-105,105,109,109,134,140,-142,140,249
2,2,2,PIETRZAK Hubert,11819,2005-04-15,17.3,M,POL,A,60.6,61 kg Men,0,0,552,European Youth Championships,2022-08-10,108,-111,111,111,130,137,-141,137,248
3,4,4,SCARANTINO Claudio,13448,2006-03-06,16.4,M,ITA,A,60.6,61 kg Men,0,0,552,European Youth Championships,2022-08-10,100,105,108,108,126,130,-133,130,238
4,6,3,ISMAYILOV Gasim,6509,2005-10-19,16.8,M,AZE,A,60.8,61 kg Men,0,0,552,European Youth Championships,2022-08-10,-101,101,-106,101,127,132,-138,132,233
5,1,6,DIACONU Iulian Mihai,3800,2005-02-01,17.5,M,ROU,A,60.55,61 kg Men,0,0,552,European Youth Championships,2022-08-10,105,109,112,112,115,120,-125,120,232
6,5,5,HUNANYAN Armen,6283,2005-01-20,17.6,M,ARM,A,60.35,61 kg Men,0,0,552,European Youth Championships,2022-08-10,98,-102,102,102,120,128,-133,128,230
