total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,DETENAMO Itte,3710,1986-09-22,22.635616438356166,M,NRU,A,155.2,+105 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,170,0,0,0,210,380
2,NA,NA,KELLY Damon Joseph,2687,1983-12-01,25.443835616438356,M,AUS,A,148.7,+105 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,157,0,0,0,205,362
3,NA,NA,KOK Adam,5485,1990-07-04,18.854794520547944,M,AUS,A,113.1,+105 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,118,0,0,0,155,273
1,NA,NA,OPELOGE Ele,3251,1985-07-11,23.835616438356166,W,SAM,A,121.4,+75 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,123,0,0,0,154,277
2,NA,NA,VILIAMU Narita Janne Freda Tuga,4952,1989-07-04,19.854794520547944,W,NIU,A,138.2,+75 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,93,0,0,0,122,215
3,NA,NA,ISO Matilda,3429,1986-01-01,23.35890410958904,W,PNG,A,85.6,+75 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,76,0,0,0,93,169
4,NA,NA,SLEEMAN Bonnie Leigh,7797,1993-12-23,15.383561643835616,W,AUS,A,76.6,+75 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,55,0,0,0,70,125
1,NA,NA,AMETE Luaki,35,1965-01-01,44.35890410958904,M,NCL,A,103.6,105 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,125,0,0,0,170,295
2,NA,NA,GRGUREVIC Zac Adam,5818,1991-02-20,18.221917808219178,M,AUS,A,101.2,105 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,128,0,0,0,160,288
3,NA,NA,QUINN Joshua Thomas,5836,1991-03-04,18.18904109589041,M,AUS,A,101.4,105 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,102,0,0,0,122,224
1,NA,NA,HUGHES Davina Jodie,4994,1989-08-06,19.764383561643836,W,AUS,A,52.8,53 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,66,0,0,0,86,152
2,NA,NA,WU Kirsten,7250,1993-04-08,16.09315068493151,W,AUS,A,51.1,53 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,52,0,0,0,70,122
1,NA,NA,TULO Manueli,5339,1990-03-25,19.13150684931507,M,FIJ,A,55.7,56 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,93,0,0,0,126,219
2,NA,NA,GUINARES Lou,5327,1990-03-18,19.15068493150685,M,NZL,A,55,56 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,80,0,0,0,100,180
3,NA,NA,KELLY Hendry,2706,1984-01-01,25.35890410958904,M,PNG,A,54.6,56 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,69,0,0,0,90,159
1,NA,NA,SHEPPARD Bianca,6875,1992-10-22,16.553424657534247,W,AUS,A,57.1,58 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,64,0,0,0,78,142
2,NA,NA,MULLINS Andrea,8079,1994-04-10,15.087671232876712,W,AUS,A,53.1,58 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,43,0,0,0,61,104
1,NA,NA,KOUM Koum Daniel,3208,1985-05-27,23.958904109589042,M,AUS,A,61.9,62 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,114,0,0,0,146,260
2,NA,NA,MADSEN Mathew Fraser,6240,1991-12-16,17.4027397260274,M,NZL,A,60.7,62 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,86,0,0,0,114,200
3,NA,NA,WAK Moses,3423,1986-01-01,23.35890410958904,M,PNG,A,60.2,62 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,73,0,0,0,94,167
5,NA,NA,IDELIJU Mesquita,3040,1985-01-01,24.35890410958904,M,TLS,A,59.7,62 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,55,0,0,0,85,140
1,NA,NA,LEE Seen,2331,1982-11-15,26.487671232876714,W,AUS,A,59.7,63 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,85,0,0,0,102,187
2,NA,NA,SWIFT Kelsey,7856,1994-01-01,15.35890410958904,W,AUS,A,61.5,63 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,51,0,0,0,65,116
1,NA,NA,ETOUNDI Francois,2958,1984-10-06,24.5972602739726,M,AUS,A,68.8,69 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,131,0,0,0,164,295
2,NA,NA,SPOONER Mark,3018,1984-12-12,24.413698630136988,M,NZL,A,68.8,69 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,130,0,0,0,164,294
3,NA,NA,TEMAKE Tekaei,3621,1986-06-14,22.90958904109589,M,KIR,A,68.6,69 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,115,0,0,0,145,260
4,NA,NA,JEFFREY Robby,1242,1979-01-01,30.35890410958904,M,PNG,A,64.8,69 kg Men,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,90,0,0,0,113,203
1,NA,NA,AH KUOI Manu,2309,1982-10-14,26.575342465753426,W,SAM,A,67.9,69 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,67,0,0,0,91,158
2,NA,NA,KAHI Michelle Helena,8067,1994-04-06,15.098630136986301,W,AUS,A,63.8,69 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,67,0,0,0,90,157
3,NA,NA,MISO Edlynne,4672,1988-12-23,20.383561643835616,W,PNG,A,64.9,69 kg Women,0,1,56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,0,0,0,64,0,0,0,80,144
