total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,CHIGISHEV Evgeny,2726,1979-05-28,30.8,M,RUS,A,130.6,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,195,200,205,205,235,-240,NA,235,440
2,NA,NA,ALEKSANYAN Ruben,579,1990-03-14,20.1,M,ARM,A,146.54,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,190,195,-197,195,237,-246,-246,237,432
3,NA,NA,STEINER Matthias,13024,1982-08-25,27.6,M,GER,A,144.44,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,190,-195,-195,190,230,236,-251,236,426
4,NA,NA,VELAGIC Almir,14166,1981-08-22,28.6,M,GER,A,135.5,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,185,190,-195,190,225,230,235,235,425
5,NA,NA,VORNIK Dzmitry,14310,1988-08-22,21.6,M,BLR,A,120.02,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,180,-186,186,186,-215,215,221,221,407
NA,NA,NA,PISAREV Evgeny,10825,1988-08-17,21.6,M,RUS,A,140.52,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,POLEYANOV Boyan,10883,1985-09-07,24.6,M,BUL,A,140.82,+105 kg Men,1,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,180,-185,-185,NA,220,-228,-228,NA,NA
6,NA,NA,ORSAG Jiri,10186,1989-01-05,21.2,M,CZE,B,121.1,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,175,-180,180,180,215,223,227,227,407
7,NA,NA,ZHARNASEK Yauheni,15090,1987-08-09,22.6,M,BLR,B,141.21,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,170,177,-183,177,205,214,-222,214,391
8,NA,NA,"NAGY Peter",9535,1986-01-16,24.2,M,HUN,B,145.65,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,178,-184,-184,178,205,213,-221,213,391
9,NA,NA,SMORODINOV Denys,12833,1989-04-18,21,M,UKR,B,122.35,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,-175,175,180,180,200,205,210,210,390
10,NA,NA,HEJDA Petr,5305,1983-11-13,26.4,M,CZE,B,133.9,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,157,162,-165,162,203,208,210,210,372
11,NA,NA,ROININEN Teemu Tapio,11644,1986-07-10,23.7,M,FIN,B,138.15,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,-142,142,-146,142,185,192,-200,192,334
NA,NA,NA,TAGIROV Sergiy,13318,1989-01-02,21.2,M,UKR,B,105.6,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,165,170,-175,170,-200,-202,-203,NA,NA
NA,NA,NA,KRUZEL Ondrej,7232,1988-08-23,21.6,M,SVK,B,127.6,+105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,160,-164,-165,160,-200,-200,-202,NA,NA
1,NA,NA,KASHIRINA Tatiana,6511,1991-01-24,19.2,W,RUS,A,93.8,+75 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,125,130,135,135,155,162,-170,162,297
2,NA,NA,KNIAZHYSHCHA Volha,6977,1988-08-24,21.6,W,BLR,A,83.82,+75 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,106,111,116,116,133,141,-149,141,257
3,NA,NA,UCAR Ummuhan,13891,1986-01-01,24.2,W,TUR,A,87.22,+75 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,105,112,117,117,132,140,-148,140,257
4,NA,NA,DOVHAL Yuliya,3594,1983-06-02,26.8,W,UKR,A,88.08,+75 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,108,112,-116,112,127,-134,-134,127,239
5,NA,NA,SCHOPPE Kathleen,12279,1982-12-16,27.3,W,GER,A,92.28,+75 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,95,100,102,102,125,131,133,133,235
6,NA,NA,BAGINSKA Sabina Hanna,1362,1985-10-19,24.5,W,POL,A,99.42,+75 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,95,-100,102,102,125,-131,-132,125,227
7,NA,NA,WROBEL Agata,14591,1981-08-20,28.6,W,POL,A,112.78,+75 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,95,-100,-100,95,120,NA,NA,120,215
NA,NA,NA,KOROBKA Olha,7116,1985-12-07,24.3,W,UKR,A,170,+75 kg Women,1,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,117,119,123,NA,143,150,NA,NA,NA
8,NA,NA,CAMPALDINI Annarosa,2287,1985-07-09,24.7,W,ITA,B,98.46,+75 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,95,-98,-98,95,115,119,-121,119,214
9,NA,NA,ALTINDAS Sibel,798,1990-02-24,20.1,W,TUR,B,85.02,+75 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,-85,85,90,90,105,110,115,115,205
10,NA,NA,MAGAT Krisztina,8223,1989-03-02,21.1,W,HUN,B,107.94,+75 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,85,90,-93,90,110,115,-116,115,205
1,NA,NA,KLOKOV Dmitriy,6965,1983-02-18,27.1,M,RUS,A,104.5,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,185,-190,-190,185,217,224,NA,224,409
2,NA,NA,SMORCHKOV Vladimir,12832,1980-01-25,30.2,M,RUS,A,103.88,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,185,190,193,193,-215,-215,215,215,408
3,NA,NA,TOROKHTIY Oleksiy,13688,1986-05-22,23.9,M,UKR,A,104.02,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,175,-180,-180,175,217,221,-225,221,396
4,NA,NA,BABAYAN Artur,1316,1983-11-17,26.4,M,ARM,A,103.2,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,-175,175,178,178,212,-216,216,216,394
5,NA,NA,AUDZEYEU Mikhail,1228,1982-02-02,28.2,M,BLR,A,104.7,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,175,179,-181,179,205,210,215,215,394
6,NA,NA,HORDIYCHUK Mykola,5528,1983-11-02,26.4,M,UKR,A,103.26,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,175,-180,180,180,202,208,-210,208,388
7,NA,NA,CZEKIEL Kornel,3091,1987-07-15,22.7,M,POL,A,104.92,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,174,178,-181,178,210,-215,-217,210,388
12,NA,NA,MATYKIEWICZ Tomas,8658,1982-12-04,27.3,M,CZE,A,104.36,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,150,155,160,160,185,190,-196,190,350
NA,NA,NA,ARAMNAU Andrei,1023,1988-04-17,22,M,BLR,A,104.5,105 kg Men,1,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,195,-201,-201,NA,220,225,NA,NA,NA
8,NA,NA,PLESNIEKS Arturs,10843,1992-01-21,18.2,M,LAT,B,103.38,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,160,166,-170,166,-205,207,-215,207,373
9,NA,NA,GYURKOVICS Ferenc,5059,1979-09-03,30.6,M,HUN,B,104.78,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,172,-176,-176,172,198,-201,-201,198,370
10,NA,NA,WALZER Libor,14364,1975-12-08,34.3,M,CZE,B,104.44,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,153,-157,160,160,187,191,-200,191,351
11,NA,NA,MENSIKOVS Ilja,8841,1989-02-06,21.2,M,LAT,B,104.2,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,155,-160,160,160,190,-195,-195,190,350
13,NA,NA,FIORE Federico,4207,1990-01-03,20.2,M,ITA,B,98.28,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,140,147,-152,147,180,188,-190,188,335
14,NA,NA,PETERCA Bostjan,10683,1981-01-25,29.2,M,SLO,B,100.14,105 kg Men,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,105,110,112,112,140,-148,-148,140,252
1,NA,NA,KARPINSKA Marzena,6493,1988-02-19,22.1,W,POL,A,47.88,48 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,78,80,83,83,94,96,-101,96,179
2,NA,NA,OKUR Saziye,10069,1992-02-23,18.1,W,TUR,A,45.74,48 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,73,76,78,78,90,94,95,95,173
3,NA,NA,PAGLIARO Genny Caterina,10338,1988-10-15,21.5,W,ITA,A,47.82,48 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,75,78,79,79,-93,-93,94,94,173
4,NA,NA,JUAN TELLO Estefania,6242,1981-08-17,28.6,W,ESP,A,47.06,48 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,-70,70,74,74,92,-95,-95,92,166
5,NA,NA,ANGELOVA Silviya,955,1982-06-22,27.8,W,BUL,A,47.06,48 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,65,-69,69,69,80,86,88,88,157
6,NA,NA,MICHEL Anais,8904,1988-01-12,22.2,W,FRA,A,47.32,48 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,-67,67,-70,67,84,-89,-91,84,151
NA,NA,NA,TAYLAN Nurcan,13482,1983-10-29,26.4,W,TUR,A,47.76,48 kg Women,1,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,85,90,-95,NA,108,118,NA,NA,NA
7,NA,NA,D ALESSANDRO Giovanna,3096,1982-07-22,27.7,W,ITA,B,44.6,48 kg Women,0,1,72,EUROPEAN CHAMPIONSHIPS,2010-04-02,60,64,65,65,80,82,-85,82,147
