total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,FAHMY Israa Mohamed,4589,1993-01-23,17.2,W,EGY,A,70.3,+69 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,67,71,75,75,90,100,-103,100,175
2,2,2,DHIEB Yosra,3918,1995-08-31,14.6,W,TUN,A,105.1,+69 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,65,70,72,72,80,85,88,88,160
3,3,3,GUEZMIR Sirine,5654,1994-09-16,15.5,W,TUN,A,70.1,+69 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,60,-64,66,66,75,80,85,85,151
4,4,4,AMPOMAH Alberta Boatema,1040,1994-11-03,15.4,W,GHA,A,71.3,+69 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,-60,62,66,66,77,81,-86,81,147
1,1,1,REDA Hassan,12787,1993-03-25,17,M,EGY,A,101.2,+94 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,137,145,-152,145,170,180,-187,180,325
2,3,2,LARKYNE Nii Otoo,8498,1995-11-11,14.4,M,GHA,A,99.2,+94 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,97,100,105,105,131,137,142,142,247
3,2,3,ALANANI Ibrahim Ehmeda,596,1993-06-04,16.8,M,LBA,A,103.45,+94 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,100,108,-112,108,121,128,-138,128,236
4,4,4,DAOUD Ahmed,3639,1993-06-28,16.7,M,TUN,A,114.3,+94 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,96,-102,-102,96,105,120,127,127,223
5,5,5,SHAW Gordon,14130,1994-06-23,15.7,M,RSA,A,94.3,+94 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,90,95,-102,95,115,-122,-122,115,210
6,6,6,ELJADID ELAZIBI Abdalla Salem,4372,1995-01-21,15.2,M,LBA,A,107.5,+94 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,75,85,-92,85,90,100,105,105,190
1,1,1,ZAKI Alla Yasser,16895,1996-07-28,13.6,W,EGY,A,42.35,44 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,40,45,50,50,55,60,-65,60,110
2,2,2,MESSIKH Khouloud,10031,1996-12-08,13.3,W,TUN,A,41.4,44 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,33,-41,-41,33,40,45,-50,45,78
1,1,1,BAWO Tosan,1841,1994-02-18,16.1,W,NGR,A,46.75,48 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,50,55,59,59,70,75,-77,75,134
2,2,2,RAMADAN Lamyaa Abou El Hassan,12648,1996-01-01,14.2,W,EGY,A,47.5,48 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,50,55,-59,55,70,75,-77,75,130
3,3,3,CHIHI Zohra,3131,1994-08-27,15.6,W,TUN,A,46.4,48 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,40,46,47,47,45,50,55,55,102
4,4,4,HIABATHE Tembile,6188,1994-09-28,15.5,W,RSA,A,47.75,48 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,-30,-30,30,30,35,40,45,45,75
1,1,2,TAREK Yetimi,15165,1994-04-29,15.9,M,TUN,A,49.65,50 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,66,71,73,73,86,91,-94,91,164
2,2,1,SARIAK Nafaa,13768,1994-11-29,15.3,M,ALG,A,49.1,50 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,65,70,-72,70,90,-93,93,93,163
3,3,3,CLARKE Shelton,3331,1995-07-26,14.7,M,RSA,A,49.9,50 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,-60,60,63,63,80,85,-87,85,148
4,5,4,SARIAK Badreddine,13767,1993-12-24,16.2,M,ALG,A,43.3,50 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,47,-52,52,52,65,68,-70,68,120
5,4,5,ABDARAHIM Osama,45,1994-02-13,16.1,M,LBA,A,49.1,50 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,50,-51,55,55,55,-65,65,65,120
1,1,1,IBRAHIM Basma Emad Gouda Mohamed,6557,1995-06-27,14.7,W,EGY,A,51.9,53 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,70,-73,74,74,88,90,-92,90,164
2,2,2,BANKOLE Mufuli,1694,1994-03-03,16,W,NGR,A,51.9,53 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,60,62,63,63,80,-85,-85,80,143
3,3,3,MEJRI Oumaima,9937,1994-08-22,15.6,W,TUN,A,51.8,53 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,58,-60,62,62,71,-80,-80,71,133
4,4,4,MALGAS Benita Anastasia,9407,1996-12-02,13.3,W,RSA,A,51.1,53 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,40,43,-46,43,46,50,55,55,98
5,5,5,BASTIENNE Luciana,1801,1993-09-24,16.5,W,SEY,A,52.5,53 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,40,-43,-43,40,50,52,-55,52,92
NA,NA,NA,ONUAH Elizabeth,11451,1995-09-20,14.5,W,NGR,A,52,53 kg Women,1,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,65,70,75,NA,82,-87,-87,NA,NA
1,1,1,IBRAHIM Mostafa Atef Ahmed,6561,1993-07-12,16.7,M,EGY,A,55.2,56 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,94,98,102,102,121,129,-131,129,231
2,2,2,BEN HNIA Karem,1949,1994-11-13,15.4,M,TUN,A,54.9,56 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,85,88,-92,88,106,111,-117,111,199
3,3,4,RAMELA Phehello John,12666,1993-07-25,16.7,M,RSA,A,54.6,56 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,80,85,-90,85,90,100,-105,100,185
4,4,5,GADMOR Hatem,4998,1993-01-02,17.2,M,LBA,A,54.15,56 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,75,81,84,84,90,95,99,99,183
5,5,3,DAVIS Wesley Valentino,3705,1993-02-26,17.1,M,RSA,A,54.45,56 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,75,80,83,83,95,100,-105,100,183
6,6,6,BENLOUNES M Hamed,1977,1993-01-01,17.2,M,ALG,A,55.5,56 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,75,81,-82,81,95,-103,-103,95,176
7,7,7,MOGIRE Julius K.,10261,1993-11-04,16.4,M,KEN,A,55.35,56 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,65,70,-72,70,80,-85,-85,80,150
NA,NA,NA,KALU King,7230,1995-11-11,14.4,M,NGR,A,53.6,56 kg Men,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,-100,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,EKOSCHORIA Racheal,4316,1994-08-30,15.6,W,NGR,A,55.5,58 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,70,74,75,75,100,105,107,107,182
2,2,2,SHAIMAA GAMAL Maged Ismail,14074,1994-02-12,16.1,W,EGY,A,56.6,58 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,67,71,75,75,-91,93,95,95,170
3,3,3,GHEKAP WAFO Myriam,5251,1994-06-10,15.8,W,CMR,A,56.25,58 kg Women,0,1,74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,66,68,72,72,85,-91,-91,85,157
