total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,DELGADO Carlos,5454,1990-06-03,19.84109589041096,M,COL,A,107.25,+105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,145,150,155,155,175,180,185,185,340
2,4,2,TORRES Aaron,5193,1990-01-01,20.26027397260274,M,ECU,A,105.1,+105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,123,128,-131,128,165,175,180,180,308
3,3,3,RUIZ Victor,5190,1990-01-01,20.26027397260274,M,MEX,A,116.25,+105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,125,130,132,132,150,155,158,158,290
4,2,6,CALERO TORRES Anderson Jimmy,6772,1992-09-04,17.586301369863016,M,ECU,A,133.1,+105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,130,-133,134,134,150,155,-158,155,289
5,6,4,MENESES Rodrigo,5727,1991-01-01,19.26027397260274,M,BRA,A,124.55,+105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,125,-131,-133,125,156,-160,-160,156,281
6,5,5,ALBORES Yasseraf,5162,1990-01-01,20.26027397260274,M,MEX,A,118.6,+105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,125,-130,-132,125,155,-158,-159,155,280
7,7,7,MARTINEZ Cristhofer,6272,1992-01-01,18.26027397260274,M,CHI,A,127.2,+105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,110,-117,117,117,140,145,-150,145,262
8,8,8,CORTEZ Alejandro,7302,1993-05-06,16.91780821917808,M,CHI,A,116.25,+105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,105,-110,110,110,135,140,-150,140,250
1,1,1,GOMEZ Cecilia,6410,1992-02-20,18.123287671232877,W,MEX,A,85.65,+75 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,90,93,96,96,115,-120,-120,115,211
2,4,2,AGUERO Arlenis,5197,1990-01-01,20.26027397260274,W,CUB,A,105.85,+75 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,82,87,-91,87,105,110,113,113,200
3,3,3,DE LA CRUZ Marilyn,6927,1992-11-23,17.367123287671234,W,ECU,A,82,+75 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,-87,87,90,90,102,106,-110,106,196
4,2,5,SALADIN TOLENTINO Veronica Estela,6571,1992-05-21,17.876712328767123,W,DOM,A,94.7,+75 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,88,92,-94,92,-103,-103,103,103,195
5,5,4,SILVA GOMES Mayara,6638,1992-06-30,17.767123287671232,W,BRA,A,116.25,+75 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,-80,80,85,85,100,105,-110,105,190
1,1,1,ARROYO VALDEZ Jorge David,6110,1991-09-23,18.534246575342465,M,ECU,A,97.4,105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,150,160,170,170,180,190,200,200,370
2,2,2,HERNANDEZ Pablo,5177,1990-01-01,20.26027397260274,M,CHI,A,104.35,105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,115,117,119,119,155,165,-173,165,284
3,3,3,DE AZA Franklin,6267,1992-01-01,18.26027397260274,M,DOM,A,101.5,105 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,112,115,118,118,145,150,153,153,271
1,1,1,VASQUEZ Maria,5661,1990-11-26,19.35890410958904,W,ECU,A,47.4,48 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,60,62,65,65,79,83,NA,83,148
2,2,2,RAMIREZ CHUMACERO Fiorela Del Rocio,5938,1991-05-18,18.884931506849316,W,PER,A,47.4,48 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,58,61,-64,61,-75,75,-78,75,136
1,1,1,CADENA Diana,7795,1993-12-23,16.284931506849315,W,COL,A,52.85,53 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,67,70,72,72,87,-90,92,92,164
2,2,2,SOLORZANO Keidy,6599,1992-06-05,17.835616438356166,W,COL,A,52.7,53 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,67,-70,70,70,85,87,90,90,160
3,4,3,ALVAREZ Janella,7525,1993-08-12,16.649315068493152,W,ECU,A,52.45,53 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,60,65,-67,65,80,-85,85,85,150
4,3,4,LOZAS Rocio,5740,1991-01-01,19.26027397260274,W,MEX,A,51.65,53 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,63,-67,67,67,80,-85,-85,80,147
5,5,6,PARRA Emeli Antonela,6596,1992-06-03,17.84109589041096,W,ARG,A,52.6,53 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,55,58,-61,58,-75,75,-77,75,133
6,6,5,GONZALEZ CONTRERAS Santos Isabel,6520,1992-04-17,17.96986301369863,W,GUA,A,52.1,53 kg Women,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,56,-58,-58,56,76,-79,-79,76,132
1,1,2,BERNA GONZALEZ Carlos Andres,5236,1990-01-21,20.205479452054796,M,COL,A,55.8,56 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,105,109,111,111,140,145,-147,145,256
2,2,1,GIL GALBAN Adiel,5302,1990-03-07,20.08219178082192,M,CUB,A,55.8,56 kg Men,0,1,76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,100,106,110,110,136,141,146,146,256
