rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,DEY Sukhen,IND,"Born: Mar 28, 1989",B.weight: 55.79,Group: B,1: -104,2: 104,3: -108,Total: 104,56kgMen,Snatch,129
Rank: ---,WU Jingbiao,CHN,"Born: Jan 10, 1989",B.weight: 55.81,Group: A,1: 128,2: 133,3: -136,Total: 133,56kgMen,Snatch,129
Rank: ---,ENKHJARGAL Munkhdul,MGL,"Born: Sep 26, 1985",B.weight: 55.93,Group: B,1: 100,2: -103,3: -105,Total: 100,56kgMen,Snatch,129
Rank: ---,HANDURDYYEV Omarguly,TKM,"Born: Dec 17, 1988",B.weight: 55.93,Group: B,1: -99,2: -99,3: 100,Total: 100,56kgMen,Snatch,129
Rank: ---,CHANDADARA SIRISENAGE Sangeeth P.W.,SRI,"Born: Dec 01, 1984",B.weight: 55.81,Group: B,1: 95,2: -99,3: 99,Total: 99,56kgMen,Snatch,129
Rank: ---,GHAFOOR Abdullah,PAK,"Born: Feb 02, 1986",B.weight: 55.83,Group: B,1: 99,2: -104,3: -105,Total: 99,56kgMen,Snatch,129
Rank: ---,AL SALEEM Mansour Abdulrahim M,KSA,"Born: Mar 16, 1988",B.weight: 52.50,Group: A,1: 104,2: -109,3: -110,Total: 104,56kgMen,Snatch,129
Rank: ---,MUEANNUEK Wanchai,THA,"Born: May 28, 1992",B.weight: 55.72,Group: A,1: -102,2: -102,3: 102,Total: 102,56kgMen,Snatch,129
Rank: ---,YAMADA Masaharu,JPN,"Born: May 01, 1980",B.weight: 55.81,Group: A,1: -103,2: 103,3: 106,Total: 106,56kgMen,Snatch,129
Rank: ---,PYAE Phyo,MYA,"Born: Dec 14, 1989",B.weight: 54.97,Group: A,1: 115,2: 120,3: -123,Total: 120,56kgMen,Snatch,129
Rank: ---,VALLURI Srinavasa Rao,IND,"Born: Oct 20, 1981",B.weight: 55.94,Group: B,1: 100,2: 105,3: 110,Total: 110,56kgMen,Snatch,129
Rank: ---,COLONIA Nestor,PHI,"Born: Feb 16, 1992",B.weight: 55.60,Group: A,1: 105,2: 110,3: -112,Total: 110,56kgMen,Snatch,129
Rank: ---,TRAN Le Quoc Toan,VIE,"Born: Apr 05, 1989",B.weight: 55.94,Group: A,1: -110,2: 112,3: 116,Total: 116,56kgMen,Snatch,129
Rank: ---,CHA Kum Chol,PRK,"Born: Jul 19, 1987",B.weight: 55.73,Group: A,1: 120,2: 125,3: 128,Total: 128,56kgMen,Snatch,129
Rank: ---,SETIADI Jadi,INA,"Born: Feb 02, 1985",B.weight: 55.01,Group: A,1: 120,2: -123,3: -123,Total: 120,56kgMen,Snatch,129
Rank: ---,DEY Sukhen,IND,"Born: Mar 28, 1989",B.weight: 55.79,Group: B,1: -126,2: -126,3: 126,Total: 126,56kgMen,CleanJerk,129
Rank: ---,WU Jingbiao,CHN,"Born: Jan 10, 1989",B.weight: 55.81,Group: A,1: 152,2: -160,3: -160,Total: 152,56kgMen,CleanJerk,129
Rank: ---,ENKHJARGAL Munkhdul,MGL,"Born: Sep 26, 1985",B.weight: 55.93,Group: B,1: -120,2: 120,3: -125,Total: 120,56kgMen,CleanJerk,129
Rank: ---,HANDURDYYEV Omarguly,TKM,"Born: Dec 17, 1988",B.weight: 55.93,Group: B,1: 120,2: -127,3: -127,Total: 120,56kgMen,CleanJerk,129
Rank: ---,CHANDADARA SIRISENAGE Sangeeth P.W.,SRI,"Born: Dec 01, 1984",B.weight: 55.81,Group: B,1: -120,2: -120,3: 122,Total: 122,56kgMen,CleanJerk,129
Rank: ---,GHAFOOR Abdullah,PAK,"Born: Feb 02, 1986",B.weight: 55.83,Group: B,1: 125,2: -127,3: -127,Total: 125,56kgMen,CleanJerk,129
Rank: ---,AL SALEEM Mansour Abdulrahim M,KSA,"Born: Mar 16, 1988",B.weight: 52.50,Group: A,1: 121,2: -126,3: -126,Total: 121,56kgMen,CleanJerk,129
Rank: ---,MUEANNUEK Wanchai,THA,"Born: May 28, 1992",B.weight: 55.72,Group: A,1: -130,2: -130,3: 130,Total: 130,56kgMen,CleanJerk,129
Rank: ---,YAMADA Masaharu,JPN,"Born: May 01, 1980",B.weight: 55.81,Group: A,1: -145,2: -145,3: 145,Total: 145,56kgMen,CleanJerk,129
Rank: ---,PYAE Phyo,MYA,"Born: Dec 14, 1989",B.weight: 54.97,Group: A,1: 145,2: -150,3: -151,Total: 145,56kgMen,CleanJerk,129
Rank: ---,VALLURI Srinavasa Rao,IND,"Born: Oct 20, 1981",B.weight: 55.94,Group: B,1: 135,2: -142,3: -142,Total: 135,56kgMen,CleanJerk,129
Rank: ---,COLONIA Nestor,PHI,"Born: Feb 16, 1992",B.weight: 55.60,Group: A,1: 138,2: -142,3: 145,Total: 145,56kgMen,CleanJerk,129
Rank: ---,TRAN Le Quoc Toan,VIE,"Born: Apr 05, 1989",B.weight: 55.94,Group: A,1: 142,2: 145,3: -151,Total: 145,56kgMen,CleanJerk,129
Rank: ---,CHA Kum Chol,PRK,"Born: Jul 19, 1987",B.weight: 55.73,Group: A,1: -145,2: 145,3: 148,Total: 148,56kgMen,CleanJerk,129
Rank: ---,SETIADI Jadi,INA,"Born: Feb 02, 1985",B.weight: 55.01,Group: A,1: -146,2: 146,3: 151,Total: 151,56kgMen,CleanJerk,129
Rank: 1,WU Jingbiao,CHN,"Born: Jan 10, 1989",B.weight: 55.81,Group: A,Snatch: 133,CI&Jerk: 152,Total: 285,,56kgMen,Total,129
Rank: 2,CHA Kum Chol,PRK,"Born: Jul 19, 1987",B.weight: 55.73,Group: A,Snatch: 128,CI&Jerk: 148,Total: 276,,56kgMen,Total,129
Rank: 3,SETIADI Jadi,INA,"Born: Feb 02, 1985",B.weight: 55.01,Group: A,Snatch: 120,CI&Jerk: 151,Total: 271,,56kgMen,Total,129
Rank: 4,PYAE Phyo,MYA,"Born: Dec 14, 1989",B.weight: 54.97,Group: A,Snatch: 120,CI&Jerk: 145,Total: 265,,56kgMen,Total,129
Rank: 5,TRAN Le Quoc Toan,VIE,"Born: Apr 05, 1989",B.weight: 55.94,Group: A,Snatch: 116,CI&Jerk: 145,Total: 261,,56kgMen,Total,129
Rank: 6,COLONIA Nestor,PHI,"Born: Feb 16, 1992",B.weight: 55.60,Group: A,Snatch: 110,CI&Jerk: 145,Total: 255,,56kgMen,Total,129
Rank: 7,YAMADA Masaharu,JPN,"Born: May 01, 1980",B.weight: 55.81,Group: A,Snatch: 106,CI&Jerk: 145,Total: 251,,56kgMen,Total,129
Rank: 8,VALLURI Srinavasa Rao,IND,"Born: Oct 20, 1981",B.weight: 55.94,Group: B,Snatch: 110,CI&Jerk: 135,Total: 245,,56kgMen,Total,129
Rank: 9,MUEANNUEK Wanchai,THA,"Born: May 28, 1992",B.weight: 55.72,Group: A,Snatch: 102,CI&Jerk: 130,Total: 232,,56kgMen,Total,129
Rank: 10,DEY Sukhen,IND,"Born: Mar 28, 1989",B.weight: 55.79,Group: B,Snatch: 104,CI&Jerk: 126,Total: 230,,56kgMen,Total,129
Rank: 11,AL SALEEM Mansour Abdulrahim M,KSA,"Born: Mar 16, 1988",B.weight: 52.50,Group: A,Snatch: 104,CI&Jerk: 121,Total: 225,,56kgMen,Total,129
Rank: 12,GHAFOOR Abdullah,PAK,"Born: Feb 02, 1986",B.weight: 55.83,Group: B,Snatch: 99,CI&Jerk: 125,Total: 224,,56kgMen,Total,129
Rank: 13,CHANDADARA SIRISENAGE Sangeeth P.W.,SRI,"Born: Dec 01, 1984",B.weight: 55.81,Group: B,Snatch: 99,CI&Jerk: 122,Total: 221,,56kgMen,Total,129
