rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,NORMAN James Sahutta,AUS,"Born: Jun 29, 1996",B.weight: 48.72,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 52,56kgMen,Snatch,148
Rank: ---,ARFAN Poretoka,INA,"Born: Jan 01, 1995",B.weight: 55.44,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 90,56kgMen,Snatch,148
Rank: ---,MOSS Cameron,NZL,"Born: Apr 17, 1997",B.weight: 44.48,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 48,56kgMen,Snatch,148
Rank: ---,OALA Fred Karoho,PNG,"Born: Sep 12, 1996",B.weight: 54.64,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 70,56kgMen,Snatch,148
Rank: ---,ELESIN Boris,AUS,"Born: Sep 02, 1995",B.weight: 50.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 53,56kgMen,Snatch,148
Rank: ---,WU Josh,AUS,"Born: Jan 01, 1992",B.weight: 48.92,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 55,56kgMen,Snatch,148
Rank: ---,RANA Bassel Amjad,AUS,"Born: Aug 19, 1996",B.weight: 53.80,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 56,56kgMen,Snatch,148
Rank: ---,LOLO Raygori,PNG,"Born: Oct 31, 1984",B.weight: 55.38,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 70,56kgMen,Snatch,148
Rank: ---,HOCKINS David,AUS,"Born: Jan 01, 1991",B.weight: 55.68,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 78,56kgMen,Snatch,148
Rank: ---,BAGUS Danu Sputra,INA,"Born: Jan 01, 1995",B.weight: 55.94,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 92,56kgMen,Snatch,148
Rank: ---,BRECHTEFELD Elson Edward,NRU,"Born: Mar 02, 1994",B.weight: 55.64,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 97,56kgMen,Snatch,148
Rank: ---,TULO Manueli,FIJ,"Born: Mar 25, 1990",B.weight: 55.68,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 95,56kgMen,Snatch,148
Rank: ---,NORMAN James Sahutta,AUS,"Born: Jun 29, 1996",B.weight: 48.72,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 72,56kgMen,CleanJerk,148
Rank: ---,ARFAN Poretoka,INA,"Born: Jan 01, 1995",B.weight: 55.44,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: ---,56kgMen,CleanJerk,148
Rank: ---,MOSS Cameron,NZL,"Born: Apr 17, 1997",B.weight: 44.48,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 60,56kgMen,CleanJerk,148
Rank: ---,OALA Fred Karoho,PNG,"Born: Sep 12, 1996",B.weight: 54.64,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 97,56kgMen,CleanJerk,148
Rank: ---,ELESIN Boris,AUS,"Born: Sep 02, 1995",B.weight: 50.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 70,56kgMen,CleanJerk,148
Rank: ---,WU Josh,AUS,"Born: Jan 01, 1992",B.weight: 48.92,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 68,56kgMen,CleanJerk,148
Rank: ---,RANA Bassel Amjad,AUS,"Born: Aug 19, 1996",B.weight: 53.80,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 72,56kgMen,CleanJerk,148
Rank: ---,LOLO Raygori,PNG,"Born: Oct 31, 1984",B.weight: 55.38,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 104,56kgMen,CleanJerk,148
Rank: ---,HOCKINS David,AUS,"Born: Jan 01, 1991",B.weight: 55.68,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 100,56kgMen,CleanJerk,148
Rank: ---,BAGUS Danu Sputra,INA,"Born: Jan 01, 1995",B.weight: 55.94,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 115,56kgMen,CleanJerk,148
Rank: ---,BRECHTEFELD Elson Edward,NRU,"Born: Mar 02, 1994",B.weight: 55.64,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 120,56kgMen,CleanJerk,148
