rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,DOWABOBO Starron,NRU,"Born: Sep 05, 1984",B.weight: 55.36,Group: A,1: 85,2: 90,3: - 95,Total: 90,56kgMen,Snatch,16
Rank: 2,KIVAVE Leo,PNG,"Born: Aug 06, 1983",B.weight: 55.47,Group: A,1: 77,2: 80,3: - 85,Total: 80,56kgMen,Snatch,16
Rank: 3,MADSEN Mathew Fraser,NZL,"Born: Dec 16, 1991",B.weight: 54.72,Group: A,1: 70,2: 75,3: 78,Total: 78,56kgMen,Snatch,16
Rank: 4,HEWAVITHARANA,NZL,"Born: May 23, 1990",B.weight: 54.96,Group: A,1: - 70,2: 70,3: 76,Total: 76,56kgMen,Snatch,16
Rank: 1,DOWABOBO Starron,NRU,"Born: Sep 05, 1984",B.weight: 55.36,Group: A,1: 110,2: 120,3: -130,Total: 120,56kgMen,CleanJerk,16
Rank: 2,KIVAVE Leo,PNG,"Born: Aug 06, 1983",B.weight: 55.47,Group: A,1: -102,2: -102,3: 102,Total: 102,56kgMen,CleanJerk,16
Rank: 3,HEWAVITHARANA,NZL,"Born: May 23, 1990",B.weight: 54.96,Group: A,1: 90,2: - 98,3: 99,Total: 99,56kgMen,CleanJerk,16
Rank: 4,MADSEN Mathew Fraser,NZL,"Born: Dec 16, 1991",B.weight: 54.72,Group: A,1: 90,2: 95,3: -98,Total: 95,56kgMen,CleanJerk,16
Rank: 1,DOWABOBO Starron,NRU,"Born: Sep 05, 1984",B.weight: 55.36,Group: A,Snatch: 90,CI&Jerk: 120,Total: 210,,56kgMen,Total,16
Rank: 2,KIVAVE Leo,PNG,"Born: Aug 06, 1983",B.weight: 55.47,Group: A,Snatch: 80,CI&Jerk: 102,Total: 182,,56kgMen,Total,16
Rank: 3,HEWAVITHARANA,NZL,"Born: May 23, 1990",B.weight: 54.96,Group: A,Snatch: 76,CI&Jerk: 99,Total: 175,,56kgMen,Total,16
Rank: 4,MADSEN Mathew Fraser,NZL,"Born: Dec 16, 1991",B.weight: 54.72,Group: A,Snatch: 78,CI&Jerk: 95,Total: 173,,56kgMen,Total,16
Rank: 1,MINGINFEL Manuel,FSM,"Born: Sep 28, 1978",B.weight: 61.62,Group: A,1: 110,2: 115,3: 120,Total: 120,62kgMen,Snatch,16
Rank: 2,COLE Cody,NZL,"Born: May 28, 1990",B.weight: 61.71,Group: A,1: 95,2: 101,3: -105,Total: 101,62kgMen,Snatch,16
Rank: 3,KARI Steven Kukuna,PNG,"Born: May 13, 1993",B.weight: 61.50,Group: A,1: -90,2: 90,3: -95,Total: 90,62kgMen,Snatch,16
Rank: 4,LOLO Raygori,PNG,"Born: Oct 31, 1984",B.weight: 59.93,Group: A,1: 80,2: 85,3: 87,Total: 87,62kgMen,Snatch,16
Rank: 5,AKUBOR Gad,NRU,"Born: Aug 03, 1985",B.weight: 61.84,Group: A,1: - 82,2: 82,3: - 90,Total: 82,62kgMen,Snatch,16
Rank: 6,ROBERTSON Marotea,TAH,"Born: May 07, 1993",B.weight: 61.04,Group: A,1: 40,2: 48,3: 53,Total: 53,62kgMen,Snatch,16
Rank: 1,MINGINFEL Manuel,FSM,"Born: Sep 28, 1978",B.weight: 61.62,Group: A,1: 140,2: 150,3: 160,Total: 160,62kgMen,CleanJerk,16
Rank: 2,COLE Cody,NZL,"Born: May 28, 1990",B.weight: 61.71,Group: A,1: 117,2: 124,3: -128,Total: 124,62kgMen,CleanJerk,16
Rank: 3,KARI Steven Kukuna,PNG,"Born: May 13, 1993",B.weight: 61.50,Group: A,1: 120,2: -125,3: -125,Total: 120,62kgMen,CleanJerk,16
Rank: 4,AKUBOR Gad,NRU,"Born: Aug 03, 1985",B.weight: 61.84,Group: A,1: 108,2: 113,3: -120,Total: 113,62kgMen,CleanJerk,16
Rank: 5,LOLO Raygori,PNG,"Born: Oct 31, 1984",B.weight: 59.93,Group: A,1: 105,2: -110,3: -110,Total: 105,62kgMen,CleanJerk,16
Rank: 6,ROBERTSON Marotea,TAH,"Born: May 07, 1993",B.weight: 61.04,Group: A,1: 50,2: 58,3: 63,Total: 63,62kgMen,CleanJerk,16
Rank: 1,MINGINFEL Manuel,FSM,"Born: Sep 28, 1978",B.weight: 61.62,Group: A,Snatch: 120,CI&Jerk: 160,Total: 280,,62kgMen,Total,16
Rank: 2,COLE Cody,NZL,"Born: May 28, 1990",B.weight: 61.71,Group: A,Snatch: 101,CI&Jerk: 124,Total: 225,,62kgMen,Total,16
Rank: 3,KARI Steven Kukuna,PNG,"Born: May 13, 1993",B.weight: 61.50,Group: A,Snatch: 90,CI&Jerk: 120,Total: 210,,62kgMen,Total,16
Rank: 4,AKUBOR Gad,NRU,"Born: Aug 03, 1985",B.weight: 61.84,Group: A,Snatch: 82,CI&Jerk: 113,Total: 195,,62kgMen,Total,16
Rank: 5,LOLO Raygori,PNG,"Born: Oct 31, 1984",B.weight: 59.93,Group: A,Snatch: 87,CI&Jerk: 105,Total: 192,,62kgMen,Total,16
Rank: 6,ROBERTSON Marotea,TAH,"Born: May 07, 1993",B.weight: 61.04,Group: A,Snatch: 53,CI&Jerk: 63,Total: 116,,62kgMen,Total,16
Rank: 1,SPOONER Mark,NZL,"Born: Dec 12, 1984",B.weight: 68.93,Group: A,1: 122,2: 127,3: 131,Total: 131,69kgMen,Snatch,16
Rank: 2,ALIKLIK Ika,NRU,"Born: Sep 16, 1985",B.weight: 67.98,Group: A,1: 108,2: 112,3: 117,Total: 117,69kgMen,Snatch,16
Rank: 3,PERIVE Toafitu,SAM,"Born: Jan 07, 1985",B.weight: 68.06,Group: A,1: 103,2: -107,3: -107,Total: 103,69kgMen,Snatch,16
Rank: 4,TEMAKE Tekaei,KIR,"Born: Jun 14, 1986",B.weight: 68.41,Group: A,1: 95,2: 103,3: -110,Total: 103,69kgMen,Snatch,16
Rank: 5,DEIRANAUW Bronco,NRU,"Born: Mar 04, 1991",B.weight: 67.59,Group: A,1: 95,2: 102,3: -107,Total: 102,69kgMen,Snatch,16
Rank: 6,RAMOHAKA Brown Chester,SOL,"Born: Feb 02, 1988",B.weight: 68.15,Group: A,1: 85,2: 90,3: 95,Total: 95,69kgMen,Snatch,16
Rank: 7,ESAU Logona,TUV,"Born: Jan 24, 1986",B.weight: 68.41,Group: A,1: 90,2: 95,3: -100,Total: 95,69kgMen,Snatch,16
Rank: 8,TOROMON Takenibeia,KIR,"Born: Jan 29, 1992",B.weight: 62.98,Group: A,1: 67,2: -72,3: -73,Total: 67,69kgMen,Snatch,16
Rank: 9,FAAGU Saumaleato,ASA,"Born: Jan 16, 1994",B.weight: 67.86,Group: A,1: 60,2: 65,3: - 68,Total: 65,69kgMen,Snatch,16
Rank: 1,SPOONER Mark,NZL,"Born: Dec 12, 1984",B.weight: 68.93,Group: A,1: 153,2: -158,3: -163,Total: 153,69kgMen,CleanJerk,16
Rank: 2,TEMAKE Tekaei,KIR,"Born: Jun 14, 1986",B.weight: 68.41,Group: A,1: 130,2: -140,3: 143,Total: 143,69kgMen,CleanJerk,16
Rank: 3,ALIKLIK Ika,NRU,"Born: Sep 16, 1985",B.weight: 67.98,Group: A,1: 135,2: 140,3: -145,Total: 140,69kgMen,CleanJerk,16
Rank: 4,PERIVE Toafitu,SAM,"Born: Jan 07, 1985",B.weight: 68.06,Group: A,1: 140,2: -144,3: -144,Total: 140,69kgMen,CleanJerk,16
Rank: 5,DEIRANAUW Bronco,NRU,"Born: Mar 04, 1991",B.weight: 67.59,Group: A,1: 125,2: 135,3: -141,Total: 135,69kgMen,CleanJerk,16
Rank: 6,ESAU Logona,TUV,"Born: Jan 24, 1986",B.weight: 68.41,Group: A,1: 130,2: 135,3: -140,Total: 135,69kgMen,CleanJerk,16
Rank: 7,RAMOHAKA Brown Chester,SOL,"Born: Feb 02, 1988",B.weight: 68.15,Group: A,1: 115,2: 122,3: -130,Total: 122,69kgMen,CleanJerk,16
Rank: 8,TOROMON Takenibeia,KIR,"Born: Jan 29, 1992",B.weight: 62.98,Group: A,1: 82,2: 90,3: -98,Total: 90,69kgMen,CleanJerk,16
Rank: 9,FAAGU Saumaleato,ASA,"Born: Jan 16, 1994",B.weight: 67.86,Group: A,1: 75,2: 80,3: - 85,Total: 80,69kgMen,CleanJerk,16
Rank: 1,SPOONER Mark,NZL,"Born: Dec 12, 1984",B.weight: 68.93,Group: A,Snatch: 131,CI&Jerk: 153,Total: 284,,69kgMen,Total,16
Rank: 2,ALIKLIK Ika,NRU,"Born: Sep 16, 1985",B.weight: 67.98,Group: A,Snatch: 117,CI&Jerk: 140,Total: 257,,69kgMen,Total,16
Rank: 3,TEMAKE Tekaei,KIR,"Born: Jun 14, 1986",B.weight: 68.41,Group: A,Snatch: 103,CI&Jerk: 143,Total: 246,,69kgMen,Total,16
Rank: 4,PERIVE Toafitu,SAM,"Born: Jan 07, 1985",B.weight: 68.06,Group: A,Snatch: 103,CI&Jerk: 140,Total: 243,,69kgMen,Total,16
Rank: 5,DEIRANAUW Bronco,NRU,"Born: Mar 04, 1991",B.weight: 67.59,Group: A,Snatch: 102,CI&Jerk: 135,Total: 237,,69kgMen,Total,16
Rank: 6,ESAU Logona,TUV,"Born: Jan 24, 1986",B.weight: 68.41,Group: A,Snatch: 95,CI&Jerk: 135,Total: 230,,69kgMen,Total,16
Rank: 7,RAMOHAKA Brown Chester,SOL,"Born: Feb 02, 1988",B.weight: 68.15,Group: A,Snatch: 95,CI&Jerk: 122,Total: 217,,69kgMen,Total,16
Rank: 8,TOROMON Takenibeia,KIR,"Born: Jan 29, 1992",B.weight: 62.98,Group: A,Snatch: 67,CI&Jerk: 90,Total: 157,,69kgMen,Total,16
Rank: 9,FAAGU Saumaleato,ASA,"Born: Jan 16, 1994",B.weight: 67.86,Group: A,Snatch: 65,CI&Jerk: 80,Total: 145,,69kgMen,Total,16
