rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,MATKERIMOV Ihtiyor,TKM,"Born: Apr 18, 1994",B.weight: 55.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 101,56kgMen,Snatch,194
Rank: 2,SHAHZAD Muhammad,PAK,"Born: Jul 04, 1990",B.weight: 55.85,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 100,56kgMen,Snatch,194
Rank: 3,ISLOM Karimov,UZB,"Born: Jan 01, 1994",B.weight: 53.70,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 80,56kgMen,Snatch,194
Rank: 4,ABDULVAKIL Hamedi,AFG,"Born: Mar 22, 1990",B.weight: 55.80,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 75,56kgMen,Snatch,194
Rank: 1,MATKERIMOV Ihtiyor,TKM,"Born: Apr 18, 1994",B.weight: 55.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 131,56kgMen,CleanJerk,194
Rank: 2,SHAHZAD Muhammad,PAK,"Born: Jul 04, 1990",B.weight: 55.85,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 123,56kgMen,CleanJerk,194
Rank: 3,ISLOM Karimov,UZB,"Born: Jan 01, 1994",B.weight: 53.70,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 100,56kgMen,CleanJerk,194
Rank: 4,ABDULVAKIL Hamedi,AFG,"Born: Mar 22, 1990",B.weight: 55.80,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 80,56kgMen,CleanJerk,194
Rank: 1,MATKERIMOV Ihtiyor,TKM,"Born: Apr 18, 1994",B.weight: 55.90,Group: A,Snatch: 101,CI&Jerk: 131,Total: 232,,56kgMen,Total,194
Rank: 2,SHAHZAD Muhammad,PAK,"Born: Jul 04, 1990",B.weight: 55.85,Group: A,Snatch: 100,CI&Jerk: 123,Total: 223,,56kgMen,Total,194
Rank: 3,ISLOM Karimov,UZB,"Born: Jan 01, 1994",B.weight: 53.70,Group: A,Snatch: 80,CI&Jerk: 100,Total: 180,,56kgMen,Total,194
Rank: 4,ABDULVAKIL Hamedi,AFG,"Born: Mar 22, 1990",B.weight: 55.80,Group: A,Snatch: 75,CI&Jerk: 80,Total: 155,,56kgMen,Total,194
Rank: 1,OSMONALIEV Bekzat,KGZ,"Born: Dec 28, 1985",B.weight: 60.60,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 115,62kgMen,Snatch,194
Rank: 2,HANDURDYYEV Omarguly,TKM,"Born: Dec 17, 1988",B.weight: 61.50,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 105,62kgMen,Snatch,194
Rank: 3,ODILBAEK Nabijonov,UZB,"Born: Jun 27, 1991",B.weight: 59.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 100,62kgMen,Snatch,194
Rank: 4,RUZIMATOV Muhammadjon,UZB,"Born: Oct 26, 1992",B.weight: 61.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 95,62kgMen,Snatch,194
Rank: DSQ,SANGOV Nizom,TJK,"Born: Jun 26, 1983",B.weight: 62.00,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: ---,62kgMen,Snatch,194
Rank: 1,HANDURDYYEV Omarguly,TKM,"Born: Dec 17, 1988",B.weight: 61.50,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 141,62kgMen,CleanJerk,194
Rank: 2,OSMONALIEV Bekzat,KGZ,"Born: Dec 28, 1985",B.weight: 60.60,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 137,62kgMen,CleanJerk,194
Rank: 3,RUZIMATOV Muhammadjon,UZB,"Born: Oct 26, 1992",B.weight: 61.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 126,62kgMen,CleanJerk,194
Rank: 4,ODILBAEK Nabijonov,UZB,"Born: Jun 27, 1991",B.weight: 59.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 125,62kgMen,CleanJerk,194
Rank: DSQ,SANGOV Nizom,TJK,"Born: Jun 26, 1983",B.weight: 62.00,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: ---,62kgMen,CleanJerk,194
Rank: 1,OSMONALIEV Bekzat,KGZ,"Born: Dec 28, 1985",B.weight: 60.60,Group: A,Snatch: 115,CI&Jerk: 137,Total: 252,,62kgMen,Total,194
Rank: 2,HANDURDYYEV Omarguly,TKM,"Born: Dec 17, 1988",B.weight: 61.50,Group: A,Snatch: 105,CI&Jerk: 141,Total: 246,,62kgMen,Total,194
Rank: 3,ODILBAEK Nabijonov,UZB,"Born: Jun 27, 1991",B.weight: 59.90,Group: A,Snatch: 100,CI&Jerk: 125,Total: 225,,62kgMen,Total,194
Rank: 4,RUZIMATOV Muhammadjon,UZB,"Born: Oct 26, 1992",B.weight: 61.65,Group: A,Snatch: 95,CI&Jerk: 126,Total: 221,,62kgMen,Total,194
Rank: DSQ,SANGOV Nizom,TJK,"Born: Jun 26, 1983",B.weight: 62.00,Group: A,Snatch: ---,CI&Jerk: ---,Total: ---,,62kgMen,Total,194
Rank: 1,BEHROUZI Jaber,IRI,"Born: Aug 22, 1991",B.weight: 68.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 140,69kgMen,Snatch,194
Rank: 2,BAZARBAYEV Umurbek,TKM,"Born: Sep 17, 1981",B.weight: 67.35,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 125,69kgMen,Snatch,194
Rank: 3,ABDULLAYEV Alisher,UZB,"Born: Jul 17, 1990",B.weight: 66.85,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 120,69kgMen,Snatch,194
Rank: 4,BEKZOD Yusupov,UZB,"Born: Mar 25, 1989",B.weight: 68.25,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 106,69kgMen,Snatch,194
Rank: ---,LEE Hyeongseop,KOR,"Born: Aug 27, 1988",B.weight: 68.75,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: ---,69kgMen,Snatch,194
Rank: 1,BEHROUZI Jaber,IRI,"Born: Aug 22, 1991",B.weight: 68.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 170,69kgMen,CleanJerk,194
Rank: 2,LEE Hyeongseop,KOR,"Born: Aug 27, 1988",B.weight: 68.75,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 168,69kgMen,CleanJerk,194
Rank: 3,BAZARBAYEV Umurbek,TKM,"Born: Sep 17, 1981",B.weight: 67.35,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 153,69kgMen,CleanJerk,194
Rank: 4,ABDULLAYEV Alisher,UZB,"Born: Jul 17, 1990",B.weight: 66.85,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 150,69kgMen,CleanJerk,194
Rank: 5,BEKZOD Yusupov,UZB,"Born: Mar 25, 1989",B.weight: 68.25,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 130,69kgMen,CleanJerk,194
Rank: 1,BEHROUZI Jaber,IRI,"Born: Aug 22, 1991",B.weight: 68.65,Group: A,Snatch: 140,CI&Jerk: 170,Total: 310,,69kgMen,Total,194
Rank: 2,BAZARBAYEV Umurbek,TKM,"Born: Sep 17, 1981",B.weight: 67.35,Group: A,Snatch: 125,CI&Jerk: 153,Total: 278,,69kgMen,Total,194
Rank: 3,ABDULLAYEV Alisher,UZB,"Born: Jul 17, 1990",B.weight: 66.85,Group: A,Snatch: 120,CI&Jerk: 150,Total: 270,,69kgMen,Total,194
Rank: 4,BEKZOD Yusupov,UZB,"Born: Mar 25, 1989",B.weight: 68.25,Group: A,Snatch: 106,CI&Jerk: 130,Total: 236,,69kgMen,Total,194
Rank: ---,LEE Hyeongseop,KOR,"Born: Aug 27, 1988",B.weight: 68.75,Group: A,Snatch: ---,CI&Jerk: 168,Total: ---,,69kgMen,Total,194
Rank: 2,LEE Jeong-Jae,KOR,"Born: Sep 07, 1981",B.weight: 76.60,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 148,77kgMen,Snatch,194
Rank: 2,TAGHIAN CHADEGANI Rasoul,IRI,"Born: Jan 21, 1987",B.weight: 76.85,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 149,77kgMen,Snatch,194
Rank: 3,MEREDOV Aman,TKM,"Born: Jan 03, 1990",B.weight: 75.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 140,77kgMen,Snatch,194
Rank: 4,ALIMOV Ulugbek,UZB,"Born: Apr 06, 1989",B.weight: 74.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 132,77kgMen,Snatch,194
Rank: 5,ROVSHANBEK Gulyamov,UZB,"Born: Aug 19, 1989",B.weight: 76.15,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 129,77kgMen,Snatch,194
Rank: 6,REJEPOV Rejepbay,TKM,"Born: Feb 23, 1992",B.weight: 75.30,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 128,77kgMen,Snatch,194
Rank: 7,ROUMI Essa Saleh S S,QAT,"Born: Dec 13, 1984",B.weight: 74.40,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 65,77kgMen,Snatch,194
Rank: 8,ALYAZIDI Salah Mohammed N,QAT,"Born: Aug 27, 1986",B.weight: 75.30,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 65,77kgMen,Snatch,194
Rank: ---,ORAZDURDYYEV Baymyrat,TKM,"Born: Oct 20, 1993",B.weight: 71.30,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: ---,77kgMen,Snatch,194
Rank: 1,ALIMOV Ulugbek,UZB,"Born: Apr 06, 1989",B.weight: 74.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 180,77kgMen,CleanJerk,194
Rank: 2,LEE Jeong-Jae,KOR,"Born: Sep 07, 1981",B.weight: 76.60,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 180,77kgMen,CleanJerk,194
Rank: 3,TAGHIAN CHADEGANI Rasoul,IRI,"Born: Jan 21, 1987",B.weight: 76.85,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 179,77kgMen,CleanJerk,194
Rank: 4,MEREDOV Aman,TKM,"Born: Jan 03, 1990",B.weight: 75.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 165,77kgMen,CleanJerk,194
Rank: 5,ORAZDURDYYEV Baymyrat,TKM,"Born: Oct 20, 1993",B.weight: 71.30,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 150,77kgMen,CleanJerk,194
Rank: 6,ROVSHANBEK Gulyamov,UZB,"Born: Aug 19, 1989",B.weight: 76.15,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 150,77kgMen,CleanJerk,194
Rank: 7,REJEPOV Rejepbay,TKM,"Born: Feb 23, 1992",B.weight: 75.30,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 145,77kgMen,CleanJerk,194
Rank: 8,ROUMI Essa Saleh S S,QAT,"Born: Dec 13, 1984",B.weight: 74.40,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 80,77kgMen,CleanJerk,194
Rank: 9,ALYAZIDI Salah Mohammed N,QAT,"Born: Aug 27, 1986",B.weight: 75.30,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 75,77kgMen,CleanJerk,194
Rank: 1,LEE Jeong-Jae,KOR,"Born: Sep 07, 1981",B.weight: 76.60,Group: A,Snatch: 148,CI&Jerk: 180,Total: 328,,77kgMen,Total,194
Rank: 2,TAGHIAN CHADEGANI Rasoul,IRI,"Born: Jan 21, 1987",B.weight: 76.85,Group: A,Snatch: 149,CI&Jerk: 179,Total: 328,,77kgMen,Total,194
Rank: 3,ALIMOV Ulugbek,UZB,"Born: Apr 06, 1989",B.weight: 74.65,Group: A,Snatch: 132,CI&Jerk: 180,Total: 312,,77kgMen,Total,194
Rank: 4,MEREDOV Aman,TKM,"Born: Jan 03, 1990",B.weight: 75.90,Group: A,Snatch: 140,CI&Jerk: 165,Total: 305,,77kgMen,Total,194
Rank: 5,ROVSHANBEK Gulyamov,UZB,"Born: Aug 19, 1989",B.weight: 76.15,Group: A,Snatch: 129,CI&Jerk: 150,Total: 279,,77kgMen,Total,194
Rank: 6,REJEPOV Rejepbay,TKM,"Born: Feb 23, 1992",B.weight: 75.30,Group: A,Snatch: 128,CI&Jerk: 145,Total: 273,,77kgMen,Total,194
Rank: 7,ROUMI Essa Saleh S S,QAT,"Born: Dec 13, 1984",B.weight: 74.40,Group: A,Snatch: 65,CI&Jerk: 80,Total: 145,,77kgMen,Total,194
Rank: 8,ALYAZIDI Salah Mohammed N,QAT,"Born: Aug 27, 1986",B.weight: 75.30,Group: A,Snatch: 65,CI&Jerk: 75,Total: 140,,77kgMen,Total,194
Rank: ---,ORAZDURDYYEV Baymyrat,TKM,"Born: Oct 20, 1993",B.weight: 71.30,Group: A,Snatch: ---,CI&Jerk: 150,Total: ---,,77kgMen,Total,194
Rank: 1,MORADI Sohrab,IRI,"Born: Sep 22, 1988",B.weight: 85.00,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 176,85kgMen,Snatch,194
Rank: 2,REJEPOV Mansur,TKM,"Born: Jan 03, 1982",B.weight: 84.95,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 150,85kgMen,Snatch,194
Rank: 3,JUMAYEV Inoyat,TKM,"Born: Nov 02, 1987",B.weight: 84.50,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 140,85kgMen,Snatch,194
Rank: 4,TOKTONALIEV Kubanychbek,KGZ,"Born: Feb 04, 1987",B.weight: 84.30,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 130,85kgMen,Snatch,194
Rank: 5,JURAEV Azizbek,UZB,"Born: Jan 01, 1994",B.weight: 81.70,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 120,85kgMen,Snatch,194
Rank: 6,KARMAND Mohd Mustafa,AFG,"Born: Nov 07, 1990",B.weight: 82.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 107,85kgMen,Snatch,194
Rank: 7,MUSA Saleh Ahmad,QAT,"Born: May 24, 1983",B.weight: 78.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 80,85kgMen,Snatch,194
Rank: 1,MORADI Sohrab,IRI,"Born: Sep 22, 1988",B.weight: 85.00,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 208,85kgMen,CleanJerk,194
Rank: 2,REJEPOV Mansur,TKM,"Born: Jan 03, 1982",B.weight: 84.95,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 181,85kgMen,CleanJerk,194
Rank: 3,JUMAYEV Inoyat,TKM,"Born: Nov 02, 1987",B.weight: 84.50,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 180,85kgMen,CleanJerk,194
Rank: 4,TOKTONALIEV Kubanychbek,KGZ,"Born: Feb 04, 1987",B.weight: 84.30,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 160,85kgMen,CleanJerk,194
Rank: 5,JURAEV Azizbek,UZB,"Born: Jan 01, 1994",B.weight: 81.70,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 140,85kgMen,CleanJerk,194
Rank: 6,KARMAND Mohd Mustafa,AFG,"Born: Nov 07, 1990",B.weight: 82.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 140,85kgMen,CleanJerk,194
