rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,LOHIA Igo,PNG,"Born: Sep 16, 1999",B.weight: 50.00,Group: A,1: 45,2: 50,3: 55,Total: 55,50kgMen,Snatch,248
Rank: ---,LOHIA Igo,PNG,"Born: Sep 16, 1999",B.weight: 50.00,Group: A,1: 55,2: 65,3: 75,Total: 75,50kgMen,CleanJerk,248
Rank: 1,LOHIA Igo,PNG,"Born: Sep 16, 1999",B.weight: 50.00,Group: A,Snatch: 55,CI&Jerk: 75,Total: 130,,50kgMen,Total,248
Rank: ---,OALA Fred Karoho,PNG,"Born: Sep 12, 1996",B.weight: 55.55,Group: A,1: 80,2: 86,3: -90,Total: 86,56kgMen,Snatch,248
Rank: ---,DELANEY James Joseph,AUS,"Born: Jul 29, 1996",B.weight: 55.15,Group: A,1: 70,2: 73,3: 76,Total: 76,56kgMen,Snatch,248
Rank: ---,MOSS Cameron,NZL,"Born: Apr 17, 1997",B.weight: 55.00,Group: A,1: 70,2: 73,3: -76,Total: 73,56kgMen,Snatch,248
Rank: ---,PUKA Nou,PNG,"Born: Jan 04, 1999",B.weight: 54.55,Group: A,1: 35,2: 43,3: 52,Total: 52,56kgMen,Snatch,248
Rank: ---,ADAM Hamish Theodoros Mackenzie,AUS,"Born: Mar 13, 1997",B.weight: 55.05,Group: A,1: -70,2: 70,3: -75,Total: 70,56kgMen,Snatch,248
Rank: ---,OALA Fred Karoho,PNG,"Born: Sep 12, 1996",B.weight: 55.55,Group: A,1: 105,2: 118,3: -123,Total: 118,56kgMen,CleanJerk,248
Rank: ---,DELANEY James Joseph,AUS,"Born: Jul 29, 1996",B.weight: 55.15,Group: A,1: 90,2: 93,3: 96,Total: 96,56kgMen,CleanJerk,248
Rank: ---,MOSS Cameron,NZL,"Born: Apr 17, 1997",B.weight: 55.00,Group: A,1: 93,2: -96,3: -99,Total: 93,56kgMen,CleanJerk,248
Rank: ---,PUKA Nou,PNG,"Born: Jan 04, 1999",B.weight: 54.55,Group: A,1: 55,2: 60,3: 65,Total: 65,56kgMen,CleanJerk,248
