rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,SCARANTINO Mirco,ITA,"Born: Jan 16, 1995",B.weight: 56.00,Group: A,1: 108,2: -113,3: -116,Total: 108,56kgMen,Snatch,305
Rank: 2,CIOTOIU Ilie-Constantin,ROU,"Born: Jul 11, 1995",B.weight: 55.55,Group: A,1: 96,2: 100,3: 102,Total: 102,56kgMen,Snatch,305
Rank: 3,CALISKAN Emrah,TUR,"Born: Jan 18, 1994",B.weight: 55.55,Group: A,1: 97,2: 101,3: -103,Total: 101,56kgMen,Snatch,305
Rank: 4,HARDAL Ferdi,TUR,"Born: Dec 31, 1996",B.weight: 55.85,Group: A,1: 97,2: -101,3: -101,Total: 97,56kgMen,Snatch,305
Rank: 5,KOMOROWSKI Tomasz Dawid,POL,"Born: Mar 21, 1995",B.weight: 55.70,Group: A,1: 88,2: 90,3: 92,Total: 92,56kgMen,Snatch,305
Rank: 1,SCARANTINO Mirco,ITA,"Born: Jan 16, 1995",B.weight: 56.00,Group: A,1: 132,2: -133,3: ---,Total: 132,56kgMen,CleanJerk,305
Rank: 2,CIOTOIU Ilie-Constantin,ROU,"Born: Jul 11, 1995",B.weight: 55.55,Group: A,1: 118,2: 122,3: -130,Total: 122,56kgMen,CleanJerk,305
Rank: 3,HARDAL Ferdi,TUR,"Born: Dec 31, 1996",B.weight: 55.85,Group: A,1: 117,2: -121,3: 121,Total: 121,56kgMen,CleanJerk,305
Rank: 4,CALISKAN Emrah,TUR,"Born: Jan 18, 1994",B.weight: 55.55,Group: A,1: 111,2: -116,3: 116,Total: 116,56kgMen,CleanJerk,305
Rank: 5,KOMOROWSKI Tomasz Dawid,POL,"Born: Mar 21, 1995",B.weight: 55.70,Group: A,1: 110,2: -113,3: 115,Total: 115,56kgMen,CleanJerk,305
Rank: 1,SCARANTINO Mirco,ITA,"Born: Jan 16, 1995",B.weight: 56.00,Group: A,Snatch: 108,CI&Jerk: 132,Total: 240,,56kgMen,Total,305
Rank: 2,CIOTOIU Ilie-Constantin,ROU,"Born: Jul 11, 1995",B.weight: 55.55,Group: A,Snatch: 102,CI&Jerk: 122,Total: 224,,56kgMen,Total,305
Rank: 3,HARDAL Ferdi,TUR,"Born: Dec 31, 1996",B.weight: 55.85,Group: A,Snatch: 97,CI&Jerk: 121,Total: 218,,56kgMen,Total,305
Rank: 4,CALISKAN Emrah,TUR,"Born: Jan 18, 1994",B.weight: 55.55,Group: A,Snatch: 101,CI&Jerk: 116,Total: 217,,56kgMen,Total,305
Rank: 5,KOMOROWSKI Tomasz Dawid,POL,"Born: Mar 21, 1995",B.weight: 55.70,Group: A,Snatch: 92,CI&Jerk: 115,Total: 207,,56kgMen,Total,305
Rank: 1,ABDULGASHUMOV Asali,RUS,"Born: May 05, 1994",B.weight: 61.80,Group: A,1: 120,2: 126,3: -130,Total: 126,62kgMen,Snatch,305
Rank: 2,VIZITIU Daniel-Florin,ROU,"Born: Jan 30, 1996",B.weight: 61.80,Group: A,1: 119,2: 122,3: 125,Total: 125,62kgMen,Snatch,305
Rank: 3,IMANZADE Rustam,AZE,"Born: Jul 15, 1998",B.weight: 61.35,Group: A,1: 117,2: 122,3: -124,Total: 122,62kgMen,Snatch,305
Rank: 4,SHAMILISHVILI Ramini,GEO,"Born: May 11, 1994",B.weight: 61.75,Group: A,1: 116,2: 119,3: 121,Total: 121,62kgMen,Snatch,305
Rank: 5,AYDIN Emrah,TUR,"Born: Jun 24, 1997",B.weight: 61.70,Group: A,1: 114,2: 118,3: -121,Total: 118,62kgMen,Snatch,305
Rank: 6,OKYAY Ahmet Turan,TUR,"Born: May 06, 1996",B.weight: 61.85,Group: A,1: 111,2: -117,3: 118,Total: 118,62kgMen,Snatch,305
Rank: 7,DI GIUSTO Michael,ITA,"Born: Feb 16, 1995",B.weight: 61.55,Group: A,1: 113,2: 117,3: -120,Total: 117,62kgMen,Snatch,305
Rank: 8,HLUSHKO Vitalii,UKR,"Born: Oct 25, 1994",B.weight: 61.75,Group: A,1: 107,2: 111,3: 114,Total: 114,62kgMen,Snatch,305
Rank: 9,PONIEDZIALEK Piotr,POL,"Born: Apr 14, 1995",B.weight: 61.60,Group: A,1: 107,2: 110,3: 113,Total: 113,62kgMen,Snatch,305
Rank: 10,GALSTYAN Raffi,ARM,"Born: May 04, 1994",B.weight: 61.35,Group: A,1: -105,2: 105,3: 110,Total: 110,62kgMen,Snatch,305
Rank: 11,MAMMADLI Mahammad,AZE,"Born: Oct 31, 1997",B.weight: 61.65,Group: A,1: 100,2: 105,3: -110,Total: 105,62kgMen,Snatch,305
Rank: 12,BAGHDASARYAN Gevorg,ARM,"Born: May 15, 1995",B.weight: 61.75,Group: A,1: -105,2: 105,3: -110,Total: 105,62kgMen,Snatch,305
Rank: 13,ROZNIK NOVAK Jus,SLO,"Born: Nov 15, 1996",B.weight: 61.25,Group: B,1: 83,2: 86,3: 88,Total: 88,62kgMen,Snatch,305
Rank: 1,ABDULGASHUMOV Asali,RUS,"Born: May 05, 1994",B.weight: 61.80,Group: A,1: -155,2: 155,3: -159,Total: 155,62kgMen,CleanJerk,305
Rank: 2,DI GIUSTO Michael,ITA,"Born: Feb 16, 1995",B.weight: 61.55,Group: A,1: 146,2: 149,3: -156,Total: 149,62kgMen,CleanJerk,305
Rank: 3,VIZITIU Daniel-Florin,ROU,"Born: Jan 30, 1996",B.weight: 61.80,Group: A,1: 140,2: 145,3: 148,Total: 148,62kgMen,CleanJerk,305
Rank: 4,AYDIN Emrah,TUR,"Born: Jun 24, 1997",B.weight: 61.70,Group: A,1: 141,2: 147,3: -150,Total: 147,62kgMen,CleanJerk,305
Rank: 5,SHAMILISHVILI Ramini,GEO,"Born: May 11, 1994",B.weight: 61.75,Group: A,1: 141,2: 145,3: -149,Total: 145,62kgMen,CleanJerk,305
Rank: 6,IMANZADE Rustam,AZE,"Born: Jul 15, 1998",B.weight: 61.35,Group: A,1: 143,2: -148,3: ---,Total: 143,62kgMen,CleanJerk,305
Rank: 7,GALSTYAN Raffi,ARM,"Born: May 04, 1994",B.weight: 61.35,Group: A,1: 135,2: 142,3: -150,Total: 142,62kgMen,CleanJerk,305
Rank: 8,BAGHDASARYAN Gevorg,ARM,"Born: May 15, 1995",B.weight: 61.75,Group: A,1: 135,2: -142,3: 142,Total: 142,62kgMen,CleanJerk,305
Rank: 9,PONIEDZIALEK Piotr,POL,"Born: Apr 14, 1995",B.weight: 61.60,Group: A,1: 130,2: 133,3: 136,Total: 136,62kgMen,CleanJerk,305
Rank: 10,MAMMADLI Mahammad,AZE,"Born: Oct 31, 1997",B.weight: 61.65,Group: A,1: 125,2: 132,3: -135,Total: 132,62kgMen,CleanJerk,305
Rank: 11,HLUSHKO Vitalii,UKR,"Born: Oct 25, 1994",B.weight: 61.75,Group: A,1: 127,2: 132,3: -136,Total: 132,62kgMen,CleanJerk,305
Rank: 12,OKYAY Ahmet Turan,TUR,"Born: May 06, 1996",B.weight: 61.85,Group: A,1: 131,2: -142,3: -144,Total: 131,62kgMen,CleanJerk,305
Rank: 13,ROZNIK NOVAK Jus,SLO,"Born: Nov 15, 1996",B.weight: 61.25,Group: B,1: 113,2: 117,3: 120,Total: 120,62kgMen,CleanJerk,305
Rank: 1,ABDULGASHUMOV Asali,RUS,"Born: May 05, 1994",B.weight: 61.80,Group: A,Snatch: 126,CI&Jerk: 155,Total: 281,,62kgMen,Total,305
Rank: 2,VIZITIU Daniel-Florin,ROU,"Born: Jan 30, 1996",B.weight: 61.80,Group: A,Snatch: 125,CI&Jerk: 148,Total: 273,,62kgMen,Total,305
Rank: 3,DI GIUSTO Michael,ITA,"Born: Feb 16, 1995",B.weight: 61.55,Group: A,Snatch: 117,CI&Jerk: 149,Total: 266,,62kgMen,Total,305
Rank: 4,SHAMILISHVILI Ramini,GEO,"Born: May 11, 1994",B.weight: 61.75,Group: A,Snatch: 121,CI&Jerk: 145,Total: 266,,62kgMen,Total,305
Rank: 5,IMANZADE Rustam,AZE,"Born: Jul 15, 1998",B.weight: 61.35,Group: A,Snatch: 122,CI&Jerk: 143,Total: 265,,62kgMen,Total,305
Rank: 6,AYDIN Emrah,TUR,"Born: Jun 24, 1997",B.weight: 61.70,Group: A,Snatch: 118,CI&Jerk: 147,Total: 265,,62kgMen,Total,305
