rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,FERRUZOLA ALAVA Rafael Patricio,ECU,"Born: Oct 16, 1997",B.weight: 55.48,Group: A,1: 100,2: -104,3: 104,Total: 104,56kgMen,Snatch,343
Rank: 2,ZURITA VALLEJO Walter Freddy,ECU,"Born: Nov 18, 1993",B.weight: 55.78,Group: A,1: 104,2: -109,3: -109,Total: 104,56kgMen,Snatch,343
Rank: 3,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.82,Group: A,1: 100,2: -104,3: 104,Total: 104,56kgMen,Snatch,343
Rank: 4,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.76,Group: A,1: -101,2: -101,3: 101,Total: 101,56kgMen,Snatch,343
Rank: 5,GASTELO CARRERA George Ulises,PER,"Born: Feb 28, 1998",B.weight: 53.95,Group: A,1: 85,2: 90,3: 95,Total: 95,56kgMen,Snatch,343
Rank: 1,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.82,Group: A,1: 131,2: 136,3: -140,Total: 136,56kgMen,CleanJerk,343
Rank: 2,ZURITA VALLEJO Walter Freddy,ECU,"Born: Nov 18, 1993",B.weight: 55.78,Group: A,1: 130,2: -135,3: 135,Total: 135,56kgMen,CleanJerk,343
Rank: 3,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.76,Group: A,1: 129,2: -131,3: 131,Total: 131,56kgMen,CleanJerk,343
Rank: 4,FERRUZOLA ALAVA Rafael Patricio,ECU,"Born: Oct 16, 1997",B.weight: 55.48,Group: A,1: 122,2: 126,3: -130,Total: 126,56kgMen,CleanJerk,343
Rank: 5,GASTELO CARRERA George Ulises,PER,"Born: Feb 28, 1998",B.weight: 53.95,Group: A,1: 105,2: 110,3: 115,Total: 115,56kgMen,CleanJerk,343
Rank: 1,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.82,Group: A,Snatch: 104,CI&Jerk: 136,Total: 240,,56kgMen,Total,343
Rank: 2,ZURITA VALLEJO Walter Freddy,ECU,"Born: Nov 18, 1993",B.weight: 55.78,Group: A,Snatch: 104,CI&Jerk: 135,Total: 239,,56kgMen,Total,343
