rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,LEYES Jonatan Martin,ARG,"Born: May 12, 2001",B.weight: 55.16,Group: A,1: 90,2: 95,3: -100,Total: 95,56kgMen,Snatch,440
Rank: ---,CHOMCHUEN Natthawat,THA,"Born: Jul 31, 2001",B.weight: 55.73,Group: A,1: 103,2: 106,3: 109,Total: 109,56kgMen,Snatch,440
Rank: ---,RAJAONA Miharintsoa Jose Paselliaz,MAD,"Born: Aug 04, 2001",B.weight: 54.46,Group: A,1: 85,2: -90,3: -90,Total: 85,56kgMen,Snatch,440
Rank: ---,POLAK Frantisek,CZE,"Born: Jul 01, 2001",B.weight: 55.87,Group: A,1: 92,2: 97,3: 104,Total: 104,56kgMen,Snatch,440
Rank: ---,NGO Son Dinh,VIE,"Born: Aug 02, 2001",B.weight: 55.62,Group: A,1: 108,2: 111,3: 114,Total: 114,56kgMen,Snatch,440
Rank: ---,PERALES GARCIA Jose David,ESP,"Born: Jan 27, 2001",B.weight: 55.61,Group: A,1: -88,2: -88,3: 88,Total: 88,56kgMen,Snatch,440
Rank: ---,LEYES Jonatan Martin,ARG,"Born: May 12, 2001",B.weight: 55.16,Group: A,1: 110,2: 115,3: 120,Total: 120,56kgMen,CleanJerk,440
Rank: ---,CHOMCHUEN Natthawat,THA,"Born: Jul 31, 2001",B.weight: 55.73,Group: A,1: 130,2: -148,3: -154,Total: 130,56kgMen,CleanJerk,440
Rank: ---,RAJAONA Miharintsoa Jose Paselliaz,MAD,"Born: Aug 04, 2001",B.weight: 54.46,Group: A,1: 105,2: 110,3: -115,Total: 110,56kgMen,CleanJerk,440
Rank: ---,POLAK Frantisek,CZE,"Born: Jul 01, 2001",B.weight: 55.87,Group: A,1: 116,2: 121,3: 129,Total: 129,56kgMen,CleanJerk,440
Rank: ---,NGO Son Dinh,VIE,"Born: Aug 02, 2001",B.weight: 55.62,Group: A,1: 138,2: 142,3: 148,Total: 148,56kgMen,CleanJerk,440
Rank: ---,PERALES GARCIA Jose David,ESP,"Born: Jan 27, 2001",B.weight: 55.61,Group: A,1: 105,2: 110,3: -115,Total: 110,56kgMen,CleanJerk,440
Rank: 1,NGO Son Dinh,VIE,"Born: Aug 02, 2001",B.weight: 55.62,Group: A,Snatch: 114,CI&Jerk: 148,Total: 262,,56kgMen,Total,440
Rank: 2,CHOMCHUEN Natthawat,THA,"Born: Jul 31, 2001",B.weight: 55.73,Group: A,Snatch: 109,CI&Jerk: 130,Total: 239,,56kgMen,Total,440
