rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,PENA Juan,COL,"Born: Jun 05, 2003",B.weight: 48.60,Group: A,1: 78,2: 80,3: 83*,Total: 80,49kgMen,Snatch,504
Rank: 2,TORTOLERO Angel,VEN,"Born: Oct 01, 2002",B.weight: 48.80,Group: A,1: 75,2: 79*,3: 79*,Total: 75,49kgMen,Snatch,504
Rank: 3,VARGAS SANTOS Joe Isaac,ECU,"Born: Apr 20, 2003",B.weight: 48.60,Group: A,1: 70,2: 75*,3: 75*,Total: 70,49kgMen,Snatch,504
Rank: 1,TORTOLERO Angel,VEN,"Born: Oct 01, 2002",B.weight: 48.80,Group: A,1: 98,2: 104*,3: 104*,Total: 98,49kgMen,CleanJerk,504
Rank: 2,PENA Juan,COL,"Born: Jun 05, 2003",B.weight: 48.60,Group: A,1: 98,2: 102*,3: 102*,Total: 98,49kgMen,CleanJerk,504
Rank: 3,VARGAS SANTOS Joe Isaac,ECU,"Born: Apr 20, 2003",B.weight: 48.60,Group: A,1: 90,2: 95*,3: 95,Total: 95,49kgMen,CleanJerk,504
Rank: 1,PENA Juan,COL,"Born: Jun 05, 2003",B.weight: 48.60,Group: A,Snatch: 80,CI&Jerk: 98,Total: 178,,49kgMen,Total,504
Rank: 2,TORTOLERO Angel,VEN,"Born: Oct 01, 2002",B.weight: 48.80,Group: A,Snatch: 75,CI&Jerk: 98,Total: 173,,49kgMen,Total,504
Rank: 3,VARGAS SANTOS Joe Isaac,ECU,"Born: Apr 20, 2003",B.weight: 48.60,Group: A,Snatch: 70,CI&Jerk: 95,Total: 165,,49kgMen,Total,504
Rank: 1,ZURITA VALLEJO Benjamin Jose,ECU,"Born: Jun 27, 2002",B.weight: 54.40,Group: A,1: 92,2: 94,3: 97,Total: 97,55kgMen,Snatch,504
Rank: 2,BRYANT Kye,USA,"Born: Mar 28, 2003",B.weight: 55.00,Group: A,1: 85,2: 90,3: 93,Total: 93,55kgMen,Snatch,504
Rank: 1,ZURITA VALLEJO Benjamin Jose,ECU,"Born: Jun 27, 2002",B.weight: 54.40,Group: A,1: 115,2: 120,3: 130*,Total: 120,55kgMen,CleanJerk,504
Rank: 2,BRYANT Kye,USA,"Born: Mar 28, 2003",B.weight: 55.00,Group: A,1: 104,2: 109,3: 113,Total: 113,55kgMen,CleanJerk,504
Rank: 1,ZURITA VALLEJO Benjamin Jose,ECU,"Born: Jun 27, 2002",B.weight: 54.40,Group: A,Snatch: 97,CI&Jerk: 120,Total: 217,,55kgMen,Total,504
Rank: 2,BRYANT Kye,USA,"Born: Mar 28, 2003",B.weight: 55.00,Group: A,Snatch: 93,CI&Jerk: 113,Total: 206,,55kgMen,Total,504
Rank: 1,MORRIS Hampton Miller,USA,"Born: Feb 17, 2004",B.weight: 60.60,Group: A,1: 98,2: 102,3: 106,Total: 106,61kgMen,Snatch,504
Rank: 2,CHAVEZ RODRIGUEZ Andy Rafael,ECU,"Born: Apr 06, 2002",B.weight: 58.60,Group: A,1: 100,2: 105,3: 107*,Total: 105,61kgMen,Snatch,504
Rank: 3,CANO Luis,COL,"Born: Apr 30, 2002",B.weight: 59.40,Group: A,1: 98*,2: 98,3: 102*,Total: 98,61kgMen,Snatch,504
Rank: 4,RHODES Coby Donovan,USA,"Born: Mar 20, 2003",B.weight: 60.60,Group: A,1: 91,2: 95*,3: 95,Total: 95,61kgMen,Snatch,504
Rank: ---,CAMEY Wilfredo,GUA,"Born: Jun 25, 2002",B.weight: 57.00,Group: A,1: 88*,2: 88*,3: 88*,Total: ---,61kgMen,Snatch,504
