rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,DUDOGLO Ghenadie,MDA,"Born: Jun 27, 1986",B.weight: 55.62,Group: A,1: 104,2: 107,3: 109,Total: 109,56kgMen,Snatch,53
Rank: 2,KILIC Gokhan,TUR,"Born: Jan 06, 1988",B.weight: 55.52,Group: A,1: 100,2: 105,3: 107,Total: 107,56kgMen,Snatch,53
Rank: 3,LAPTEV Oleg,RUS,"Born: Apr 17, 1987",B.weight: 55.90,Group: A,1: 99,2: -104,3: 104,Total: 104,56kgMen,Snatch,53
Rank: 4,PRZEPIORKIEWICZ Maciej,POL,"Born: Nov 14, 1987",B.weight: 55.78,Group: A,1: 98,2: 101,3: 103,Total: 103,56kgMen,Snatch,53
Rank: 5,MARGARYAN Smbat,ARM,"Born: Mar 17, 1993",B.weight: 55.72,Group: A,1: 97,2: 101,3: -103,Total: 101,56kgMen,Snatch,53
Rank: 6,CRILIC Vadim,MDA,"Born: Jul 11, 1987",B.weight: 55.52,Group: A,1: -100,2: 100,3: -104,Total: 100,56kgMen,Snatch,53
Rank: 7,OTERO MARTINEZ Michael Steven,ESP,"Born: Jul 29, 1990",B.weight: 55.26,Group: A,1: 93,2: -98,3: 98,Total: 98,56kgMen,Snatch,53
Rank: 8,SAMUKASHVILI Zviadi,GEO,"Born: Nov 22, 1987",B.weight: 55.62,Group: A,1: 98,2: -100,3: -100,Total: 98,56kgMen,Snatch,53
Rank: 9,OLARU Gabriel,ROU,"Born: Nov 23, 1988",B.weight: 55.74,Group: A,1: 96,2: -101,3: -101,Total: 96,56kgMen,Snatch,53
Rank: 10,BRACHI GARCIA Josue,ESP,"Born: Sep 08, 1992",B.weight: 55.96,Group: A,1: 90,2: -95,3: -95,Total: 90,56kgMen,Snatch,53
Rank: 1,MARGARYAN Smbat,ARM,"Born: Mar 17, 1993",B.weight: 55.72,Group: A,1: 131,2: 137,3: -143,Total: 137,56kgMen,CleanJerk,53
Rank: 2,OLARU Gabriel,ROU,"Born: Nov 23, 1988",B.weight: 55.74,Group: A,1: 127,2: 131,3: 135,Total: 135,56kgMen,CleanJerk,53
Rank: 3,SAMUKASHVILI Zviadi,GEO,"Born: Nov 22, 1987",B.weight: 55.62,Group: A,1: 130,2: -134,3: -134,Total: 130,56kgMen,CleanJerk,53
Rank: 4,PRZEPIORKIEWICZ Maciej,POL,"Born: Nov 14, 1987",B.weight: 55.78,Group: A,1: 129,2: -131,3: -131,Total: 129,56kgMen,CleanJerk,53
Rank: 5,DUDOGLO Ghenadie,MDA,"Born: Jun 27, 1986",B.weight: 55.62,Group: A,1: 125,2: 128,3: -130,Total: 128,56kgMen,CleanJerk,53
Rank: 6,KILIC Gokhan,TUR,"Born: Jan 06, 1988",B.weight: 55.52,Group: A,1: 126,2: -130,3: -130,Total: 126,56kgMen,CleanJerk,53
Rank: 7,CRILIC Vadim,MDA,"Born: Jul 11, 1987",B.weight: 55.52,Group: A,1: 120,2: 125,3: -129,Total: 125,56kgMen,CleanJerk,53
Rank: 8,LAPTEV Oleg,RUS,"Born: Apr 17, 1987",B.weight: 55.90,Group: A,1: -125,2: 125,3: -130,Total: 125,56kgMen,CleanJerk,53
Rank: 9,OTERO MARTINEZ Michael Steven,ESP,"Born: Jul 29, 1990",B.weight: 55.26,Group: A,1: 122,2: -127,3: -127,Total: 122,56kgMen,CleanJerk,53
Rank: 10,BRACHI GARCIA Josue,ESP,"Born: Sep 08, 1992",B.weight: 55.96,Group: A,1: 110,2: 115,3: -118,Total: 115,56kgMen,CleanJerk,53
Rank: 1,MARGARYAN Smbat,ARM,"Born: Mar 17, 1993",B.weight: 55.72,Group: A,Snatch: 101,CI&Jerk: 137,Total: 238,,56kgMen,Total,53
Rank: 2,DUDOGLO Ghenadie,MDA,"Born: Jun 27, 1986",B.weight: 55.62,Group: A,Snatch: 109,CI&Jerk: 128,Total: 237,,56kgMen,Total,53
Rank: 3,KILIC Gokhan,TUR,"Born: Jan 06, 1988",B.weight: 55.52,Group: A,Snatch: 107,CI&Jerk: 126,Total: 233,,56kgMen,Total,53
Rank: 4,PRZEPIORKIEWICZ Maciej,POL,"Born: Nov 14, 1987",B.weight: 55.78,Group: A,Snatch: 103,CI&Jerk: 129,Total: 232,,56kgMen,Total,53
Rank: 5,OLARU Gabriel,ROU,"Born: Nov 23, 1988",B.weight: 55.74,Group: A,Snatch: 96,CI&Jerk: 135,Total: 231,,56kgMen,Total,53
Rank: 6,LAPTEV Oleg,RUS,"Born: Apr 17, 1987",B.weight: 55.90,Group: A,Snatch: 104,CI&Jerk: 125,Total: 229,,56kgMen,Total,53
Rank: 7,SAMUKASHVILI Zviadi,GEO,"Born: Nov 22, 1987",B.weight: 55.62,Group: A,Snatch: 98,CI&Jerk: 130,Total: 228,,56kgMen,Total,53
Rank: 8,CRILIC Vadim,MDA,"Born: Jul 11, 1987",B.weight: 55.52,Group: A,Snatch: 100,CI&Jerk: 125,Total: 225,,56kgMen,Total,53
Rank: 9,OTERO MARTINEZ Michael Steven,ESP,"Born: Jul 29, 1990",B.weight: 55.26,Group: A,Snatch: 98,CI&Jerk: 122,Total: 220,,56kgMen,Total,53
Rank: 10,BRACHI GARCIA Josue,ESP,"Born: Sep 08, 1992",B.weight: 55.96,Group: A,Snatch: 90,CI&Jerk: 115,Total: 205,,56kgMen,Total,53
Rank: 1,SEZER Bunyami,TUR,"Born: Jul 04, 1988",B.weight: 61.20,Group: A,1: 123,2: 128,3: 130,Total: 130,62kgMen,Snatch,53
Rank: 2,WISNIEWSKI Damian,POL,"Born: Nov 23, 1986",B.weight: 61.70,Group: A,1: -118,2: 118,3: 122,Total: 122,62kgMen,Snatch,53
Rank: 3,PIPA Artiom,MDA,"Born: Jul 19, 1992",B.weight: 61.15,Group: A,1: 114,2: 118,3: 120,Total: 120,62kgMen,Snatch,53
Rank: 4,AVETISYAN Vanik,ARM,"Born: Mar 05, 1987",B.weight: 61.60,Group: A,1: 115,2: 119,3: -123,Total: 119,62kgMen,Snatch,53
Rank: 5,HERNANDEZ MENDOZA Acoran Juan,ESP,"Born: Dec 30, 1990",B.weight: 61.75,Group: A,1: -113,2: -113,3: 113,Total: 113,62kgMen,Snatch,53
Rank: 6,BOSCO Alessandro,ITA,"Born: Oct 06, 1988",B.weight: 61.40,Group: A,1: -110,2: 110,3: -113,Total: 110,62kgMen,Snatch,53
Rank: 7,PETROV Petr,CZE,"Born: Oct 19, 1989",B.weight: 61.55,Group: A,1: -105,2: 105,3: 110,Total: 110,62kgMen,Snatch,53
Rank: 1,WISNIEWSKI Damian,POL,"Born: Nov 23, 1986",B.weight: 61.70,Group: A,1: 145,2: 148,3: 152,Total: 152,62kgMen,CleanJerk,53
Rank: 2,AVETISYAN Vanik,ARM,"Born: Mar 05, 1987",B.weight: 61.60,Group: A,1: 145,2: -151,3: 151,Total: 151,62kgMen,CleanJerk,53
Rank: 3,PIPA Artiom,MDA,"Born: Jul 19, 1992",B.weight: 61.15,Group: A,1: 143,2: 145,3: -148,Total: 145,62kgMen,CleanJerk,53
Rank: 4,SEZER Bunyami,TUR,"Born: Jul 04, 1988",B.weight: 61.20,Group: A,1: 137,2: 140,3: 143,Total: 143,62kgMen,CleanJerk,53
Rank: 5,PETROV Petr,CZE,"Born: Oct 19, 1989",B.weight: 61.55,Group: A,1: -131,2: 131,3: 138,Total: 138,62kgMen,CleanJerk,53
Rank: 6,HERNANDEZ MENDOZA Acoran Juan,ESP,"Born: Dec 30, 1990",B.weight: 61.75,Group: A,1: 130,2: -135,3: 135,Total: 135,62kgMen,CleanJerk,53
Rank: 7,BOSCO Alessandro,ITA,"Born: Oct 06, 1988",B.weight: 61.40,Group: A,1: -130,2: 130,3: -133,Total: 130,62kgMen,CleanJerk,53
Rank: 1,WISNIEWSKI Damian,POL,"Born: Nov 23, 1986",B.weight: 61.70,Group: A,Snatch: 122,CI&Jerk: 152,Total: 274,,62kgMen,Total,53
Rank: 2,SEZER Bunyami,TUR,"Born: Jul 04, 1988",B.weight: 61.20,Group: A,Snatch: 130,CI&Jerk: 143,Total: 273,,62kgMen,Total,53
Rank: 3,AVETISYAN Vanik,ARM,"Born: Mar 05, 1987",B.weight: 61.60,Group: A,Snatch: 119,CI&Jerk: 151,Total: 270,,62kgMen,Total,53
Rank: 4,PIPA Artiom,MDA,"Born: Jul 19, 1992",B.weight: 61.15,Group: A,Snatch: 120,CI&Jerk: 145,Total: 265,,62kgMen,Total,53
Rank: 5,PETROV Petr,CZE,"Born: Oct 19, 1989",B.weight: 61.55,Group: A,Snatch: 110,CI&Jerk: 138,Total: 248,,62kgMen,Total,53
Rank: 6,HERNANDEZ MENDOZA Acoran Juan,ESP,"Born: Dec 30, 1990",B.weight: 61.75,Group: A,Snatch: 113,CI&Jerk: 135,Total: 248,,62kgMen,Total,53
Rank: 7,BOSCO Alessandro,ITA,"Born: Oct 06, 1988",B.weight: 61.40,Group: A,Snatch: 110,CI&Jerk: 130,Total: 240,,62kgMen,Total,53
Rank: 1,BILGIN Erol,TUR,"Born: Feb 20, 1987",B.weight: 68.05,Group: A,1: 135,2: 140,3: 143,Total: 143,69kgMen,Snatch,53
Rank: 2,PETROSYAN Sergey,RUS,"Born: Jun 07, 1988",B.weight: 68.70,Group: A,1: 135,2: 140,3: 143,Total: 143,69kgMen,Snatch,53
Rank: 3,CHEN Oleg,RUS,"Born: Nov 22, 1988",B.weight: 68.75,Group: A,1: -137,2: 137,3: 143,Total: 143,69kgMen,Snatch,53
