rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,GONZALEZ SOTOMAYOR Alejandro,CHI,"Born: Dec 20, 1994",B.weight: 47.08,Group: A,1: -60,2: -62,3: 62,Total: 62,50kgMen,Snatch,61
Rank: ---,GUZMAN PEREZ Bryan Gilberto,PUR,"Born: Nov 30, 1997",B.weight: 43.74,Group: A,1: 45,2: 50,3: 53,Total: 53,50kgMen,Snatch,61
Rank: ---,RODRIGUEZ CORTES Yabdiell,PUR,"Born: Oct 23, 1998",B.weight: 45.60,Group: A,1: 28,2: 31,3: 32,Total: 32,50kgMen,Snatch,61
Rank: ---,GONZALEZ SOTOMAYOR Alejandro,CHI,"Born: Dec 20, 1994",B.weight: 47.08,Group: A,1: 75,2: 80,3: -85,Total: 80,50kgMen,CleanJerk,61
Rank: ---,GUZMAN PEREZ Bryan Gilberto,PUR,"Born: Nov 30, 1997",B.weight: 43.74,Group: A,1: 55,2: 60,3: 65,Total: 65,50kgMen,CleanJerk,61
Rank: ---,RODRIGUEZ CORTES Yabdiell,PUR,"Born: Oct 23, 1998",B.weight: 45.60,Group: A,1: 38,2: 41,3: -43,Total: 41,50kgMen,CleanJerk,61
Rank: 1,GONZALEZ SOTOMAYOR Alejandro,CHI,"Born: Dec 20, 1994",B.weight: 47.08,Group: A,Snatch: 62,CI&Jerk: 80,Total: 142,,50kgMen,Total,61
Rank: 2,GUZMAN PEREZ Bryan Gilberto,PUR,"Born: Nov 30, 1997",B.weight: 43.74,Group: A,Snatch: 53,CI&Jerk: 65,Total: 118,,50kgMen,Total,61
Rank: 3,RODRIGUEZ CORTES Yabdiell,PUR,"Born: Oct 23, 1998",B.weight: 45.60,Group: A,Snatch: 32,CI&Jerk: 41,Total: 73,,50kgMen,Total,61
Rank: ---,APPLEWHAITE Altmark Sir Henry,BAR,"Born: Jun 12, 1994",B.weight: 55.72,Group: A,1: -65,2: 65,3: 70,Total: 70,56kgMen,Snatch,61
Rank: ---,LUIS Lebron Colon,PUR,"Born: Sep 01, 1995",B.weight: 55.82,Group: A,1: -65,2: 65,3: 71,Total: 71,56kgMen,Snatch,61
Rank: ---,APPLEWHAITE Altmark Sir Henry,BAR,"Born: Jun 12, 1994",B.weight: 55.72,Group: A,1: 85,2: 90,3: 95,Total: 95,56kgMen,CleanJerk,61
Rank: ---,LUIS Lebron Colon,PUR,"Born: Sep 01, 1995",B.weight: 55.82,Group: A,1: 82,2: 90,3: 94,Total: 94,56kgMen,CleanJerk,61
Rank: 1,APPLEWHAITE Altmark Sir Henry,BAR,"Born: Jun 12, 1994",B.weight: 55.72,Group: A,Snatch: 70,CI&Jerk: 95,Total: 165,,56kgMen,Total,61
Rank: 2,LUIS Lebron Colon,PUR,"Born: Sep 01, 1995",B.weight: 55.82,Group: A,Snatch: 71,CI&Jerk: 94,Total: 165,,56kgMen,Total,61
Rank: ---,EDWARD Viera,PUR,"Born: May 13, 1996",B.weight: 57.90,Group: A,1: 47,2: 50,3: 53,Total: 53,62kgMen,Snatch,61
Rank: ---,WILLIAM Aviles Cruz,PUR,"Born: Dec 12, 1994",B.weight: 56.92,Group: A,1: 65,2: 70,3: -75,Total: 70,62kgMen,Snatch,61
Rank: ---,LOPEZ FARIAS Bastian Andres,CHI,"Born: Sep 26, 1995",B.weight: 61.78,Group: A,1: 80,2: 85,3: 90,Total: 90,62kgMen,Snatch,61
Rank: ---,EDWARD Viera,PUR,"Born: May 13, 1996",B.weight: 57.90,Group: A,1: 60,2: -65,3: 66,Total: 66,62kgMen,CleanJerk,61
Rank: ---,WILLIAM Aviles Cruz,PUR,"Born: Dec 12, 1994",B.weight: 56.92,Group: A,1: 80,2: -87,3: 87,Total: 87,62kgMen,CleanJerk,61
Rank: ---,LOPEZ FARIAS Bastian Andres,CHI,"Born: Sep 26, 1995",B.weight: 61.78,Group: A,1: -95,2: 100,3: 105,Total: 105,62kgMen,CleanJerk,61
Rank: 1,LOPEZ FARIAS Bastian Andres,CHI,"Born: Sep 26, 1995",B.weight: 61.78,Group: A,Snatch: 90,CI&Jerk: 105,Total: 195,,62kgMen,Total,61
Rank: 2,WILLIAM Aviles Cruz,PUR,"Born: Dec 12, 1994",B.weight: 56.92,Group: A,Snatch: 70,CI&Jerk: 87,Total: 157,,62kgMen,Total,61
Rank: 3,EDWARD Viera,PUR,"Born: May 13, 1996",B.weight: 57.90,Group: A,Snatch: 53,CI&Jerk: 66,Total: 119,,62kgMen,Total,61
Rank: ---,BEST Brien Anderson,BAR,"Born: Apr 03, 1996",B.weight: 63.06,Group: A,1: 70,2: 75,3: 76,Total: 76,69kgMen,Snatch,61
Rank: ---,ADRIAN Marte,PUR,"Born: Aug 08, 1994",B.weight: 64.86,Group: A,1: 65,2: 70,3: 75,Total: 75,69kgMen,Snatch,61
