rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,HOANG Anh Tuan,VIE,"Born: Feb 12, 1985",B.weight: 55.93,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 125,56kgMen,Snatch,64
Rank: ---,AMIRUL Hamizan Bin Ibrahim,MAS,"Born: Dec 03, 1981",B.weight: 55.93,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 118,56kgMen,Snatch,64
Rank: ---,PYAE Phyo,MYA,"Born: Dec 14, 1989",B.weight: 55.03,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 119,56kgMen,Snatch,64
Rank: ---,SETIADI Jadi,INA,"Born: Feb 02, 1985",B.weight: 55.47,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 126,56kgMen,Snatch,64
Rank: ---,HOANG Anh Tuan,VIE,"Born: Feb 12, 1985",B.weight: 55.93,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: ---,56kgMen,CleanJerk,64
Rank: ---,AMIRUL Hamizan Bin Ibrahim,MAS,"Born: Dec 03, 1981",B.weight: 55.93,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 147,56kgMen,CleanJerk,64
Rank: ---,PYAE Phyo,MYA,"Born: Dec 14, 1989",B.weight: 55.03,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 147,56kgMen,CleanJerk,64
Rank: ---,SETIADI Jadi,INA,"Born: Feb 02, 1985",B.weight: 55.47,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 148,56kgMen,CleanJerk,64
Rank: 1,SETIADI Jadi,INA,"Born: Feb 02, 1985",B.weight: 55.47,Group: A,Snatch: 126,CI&Jerk: 148,Total: 274,,56kgMen,Total,64
Rank: 2,PYAE Phyo,MYA,"Born: Dec 14, 1989",B.weight: 55.03,Group: A,Snatch: 119,CI&Jerk: 147,Total: 266,,56kgMen,Total,64
Rank: 3,AMIRUL Hamizan Bin Ibrahim,MAS,"Born: Dec 03, 1981",B.weight: 55.93,Group: A,Snatch: 118,CI&Jerk: 147,Total: 265,,56kgMen,Total,64
Rank: ---,HOANG Anh Tuan,VIE,"Born: Feb 12, 1985",B.weight: 55.93,Group: A,Snatch: 125,CI&Jerk: ---,Total: ---,,56kgMen,Total,64
